company_code,company_name,report_year,indicator_code,value,status,source_url,source_file,source_page,evidence_text,confidence
600236.SH,桂冠电力,2025,Q_G_AR_TURNOVER,4.8559,confirmed,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-31/600236_20260331_HG2A.pdf,data/raw/600236.SH/2025/annual_report.pdf,101,"合并报表自动派生: 营业收入=1.03929e+10 | 应收账款 七、5 2,208,190,980.95 2,072,353,961.63 应收款项融资 七、7 6,370,002.00 504,025.20 预付款项 七、8 95,176,252.25 111,162,074.29 应收保费 应收分保账款 应收分保合同准备金 其他应收款 七、9 60,095,305.52 74,517,552.29 其中：应收利息 [auto-confirm:public-disclosure-v3]",0.94
600236.SH,桂冠电力,2025,Q_G_ASSET_TURNOVER,0.3382,confirmed,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-31/600236_20260331_HG2A.pdf,data/raw/600236.SH/2025/annual_report.pdf,102,"合并报表自动派生: 营业收入=1.03929e+10 | 资产总计 52,567,354,531.62 流动负债： 短期借款 七、32 8,889,333,851.96 向中央银行借款 拆入资金 交易性金融负债 衍生金融负债 应付票据 七、35 18,926,495.85 应付账款 七、36 2,134,418,524.16 预收款项 七、37 10,776,902.68 合同负债 七、38 1,337,048.59 卖出 [auto-confirm:public-disclosure-v3]",0.94
600236.SH,桂冠电力,2025,Q_G_CASH_CURRENT_LIABILITY,51.9976,confirmed,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-31/600236_20260331_HG2A.pdf,data/raw/600236.SH/2025/annual_report.pdf,110,"合并利润/现金流量表自动派生: 营业收入=1.03929e+10 | 经营活动产生的现金流 量净额 七、78 6,957,390,577.01 二、投资活动产生的现金流量： 收回投资收到的现金 取得投资收益收到的现金 46,094,602.47 处置固定资产、无形资产和 其他长期资产收回的现金净额 249,682.90 处置子公司及其他营业单位 收到的现金净额 收到其他与投资活动有关的 现金 投资活动现金流入小计 46,344,285.37 购建固定资产 | 流动负债合计 13,380,205,655.41 非流动负债： 保险合同准备金 长期借款 七、45 11,385,369,012.04 应付债券 七、46 2,398,483,018.86 其中：优先股 永续债 租赁负债 七、47 782,983,876.35 长期应付款 七、48 42,528,564.00 长期应付职工薪酬 预计负债 102 / 293 1,166, [auto-confirm:public-disclosure-v3]",0.94
600236.SH,桂冠电力,2025,Q_G_CASH_REALIZATION,113.9354,confirmed,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-31/600236_20260331_HG2A.pdf,data/raw/600236.SH/2025/annual_report.pdf,109,"合并利润/现金流量表自动派生: 营业收入=1.03929e+10 | 经营活动现金流入小计 11,841,234,169.04 10,694,054,323.08 购买商品、接受劳务支付的 现金 656,370,602.54 1,654,794,686.09 客户贷款及垫款净增加额 存放中央银行和同业款项净 增加额 支付原保险合同赔付款项的 现金 拆出资金净增加额 支付利息、手续费及佣金的 现金 支付保单红利的现金 支付给职工及为职工支付的 现金 [auto-confirm:public-disclosure-v3]",0.94
600236.SH,桂冠电力,2025,Q_G_COST_REVENUE_RATE,58.5211,confirmed,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-31/600236_20260331_HG2A.pdf,data/raw/600236.SH/2025/annual_report.pdf,105,"合并利润/现金流量表自动派生: 营业收入=1.03929e+10 | 营业总成本 6,082,058,433.37 6,358,980,337.47 其中：营业成本 七、61 4,782,990,068.94 5,307,510,155.01 利息支出 手续费及佣金支出 退保金 赔付支出净额 提取保险责任准备金净额 保单红利支出 分保费用 税金及附加 七、62 411,066,617.21 149,761,706.24 销售费用 管理费 [auto-confirm:public-disclosure-v3]",0.94
600236.SH,桂冠电力,2025,Q_G_CURRENT_ASSET_TURNOVER,2.1657,confirmed,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-31/600236_20260331_HG2A.pdf,data/raw/600236.SH/2025/annual_report.pdf,101,"合并报表自动派生: 营业收入=1.03929e+10 | 流动资产合计 5,223,879,372.06 4,373,935,206.92 非流动资产： 发放贷款和垫款 债权投资 其他债权投资 长期应收款 长期股权投资 七、17 1,376,515,274.11 1,291,637,899.41 其他权益工具投资 七、18 241,658,724.16 240,360,926.39 其他非流动金融资产 投资性房地产 固定资产 [auto-confirm:public-disclosure-v3]",0.94
600236.SH,桂冠电力,2025,Q_G_DEBT_ASSET_RATE,54.2174,confirmed,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-31/600236_20260331_HG2A.pdf,data/raw/600236.SH/2025/annual_report.pdf,103,"合并报表自动派生: 负债合计 28,500,650,943.98 28,267,487,975.59 所有者权益（或股东权益）： 实收资本（或股本） 七、53 7,882,377,802.00 7,882,377,802.00 其他权益工具 七、54 2,518,652,655.25 2,524,505,452.06 其中：优先股 永续债 七、54 2,518,652,655.25 2 | 资产总计 52,567,354,531.62 流动负债： 短期借款 七、32 8,889,333,851.96 向中央银行借款 拆入资金 交易性金融负债 衍生金融负债 应付票据 七、35 18,926,495.85 应付账款 七、36 2,134,418,524.16 预收款项 七、37 10,776,902.68 合同负债 七、38 1,337,048.59 卖出 [auto-confirm:public-disclosure-v3]",0.94
600236.SH,桂冠电力,2025,Q_G_EBITDA_INTEREST,9.7414,confirmed,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-31/600236_20260331_HG2A.pdf,data/raw/600236.SH/2025/annual_report.pdf,106,"合并利润/现金流量表自动派生: 营业收入=1.03929e+10 | 利润总额（亏损总额以“ － ”号 填列） 4,425,753,230.71 减：所得税费用 七、76 713,117,048.77 五、净利润（净亏损以“ － ”号填 列） 3,712,636,181.94 （一）按经营持续性分类 “ 1.持续经营净利润（净亏损以 － ”号填列） 3,712,636,181.94 “ 2.终止经营净利润（净亏损以 － ”号填列） （ | 利息费用 七、66 506,295,946.31 利息收入 七、66 776,139.24 加：其他收益 七、67 32,001,402.07 投资收益（损失以“－”号 填列） 七、68 130,709,311.90 其中：对联营企业和合营企 业的投资收益 七、68 111,014,709.43 以摊余成本计量的金融 资产终止确认收益 汇兑收益（损失以“－”号 填列 [auto-confirm:public-disclosure-v3]",0.94
600236.SH,桂冠电力,2025,Q_G_OPERATING_MARGIN,42.8375,confirmed,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-31/600236_20260331_HG2A.pdf,data/raw/600236.SH/2025/annual_report.pdf,106,"合并利润/现金流量表自动派生: 营业收入=1.03929e+10 | 营业利润（亏损以“－”号填 列） 4,452,075,564.09 加：营业外收入 七、74 62,163,417.22 减：营业外支出 七、75 88,485,750.60 四、利润总额（亏损总额以“ － ”号 填列） 4,425,753,230.71 减：所得税费用 七、76 713,117,048.77 五、净利润（净亏损以“ － ”号填 列） 3,712,6 [auto-confirm:public-disclosure-v3]",0.94
600236.SH,桂冠电力,2025,Q_G_REVENUE_GROWTH,8.2781,confirmed,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-31/600236_20260331_HG2A.pdf,data/raw/600236.SH/2025/annual_report.pdf,6,"营业收入 10,392,934,752.84 9,598,376,231.50 8.28 8,091,005,363.59 [auto-confirm:public-disclosure-v3]",0.91
