company_code,company_name,report_year,document_type,source_url,published_date,title,headline,stock_id
00003.HK,HK & CHINA GAS,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042801254.pdf,2026-04-28,Annual Report,Financial Statements/ESG Information - [Annual Report],3
00276.HK,MONGOLIA ENERGY,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0724/2025072400415.pdf,2025-07-24,ANNUAL REPORT 2025,Financial Statements/ESG Information - [Annual Report],486
00332.HK,YUANHENG GAS,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0730/2025073001292.pdf,2025-07-30,ANNUAL REPORT 2025,Financial Statements/ESG Information - [Annual Report],600
00353.HK,ENERGY INTINV,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0725/2025072500637.pdf,2025-07-25,Annual Report 2024/25,Financial Statements/ESG Information - [Annual Report],666
00650.HK,PRODUCTIVE TECH,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0730/2025073000464.pdf,2025-07-30,Annual Report 2024/2025,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",1516
00704.HK,HUSCOKE HLDGS,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0730/2025073000498.pdf,2025-07-30,2024/25 ANNUAL REPORT,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",1648
00931.HK,CHINA HK POWER,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0725/2025072501045.pdf,2025-07-25,Annual report 2025,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",2224
01229.HK,NAN NAN RES,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0724/2025072400401.pdf,2025-07-24,Annual Report 2025,Financial Statements/ESG Information - [Annual Report],2737
08347.HK,F8 ENT,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/gem/2025/0709/2025070900009.pdf,2025-07-09,Annual Report 2025,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",153967
08631.HK,YUFENGCHANG HLD,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/gem/2025/0707/2025070701740.pdf,2025-07-07,Annual Report 2024/2025,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",210246
