company_code,company_name,report_year,document_type,source_url,published_date,title,headline,stock_id
00003.HK,HK & CHINA GAS,2019,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0421/2020042100391.pdf,2020-04-21,Annual Report,Financial Statements/ESG Information - [Annual Report],3
00003.HK,HK & CHINA GAS,2019,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0421/2020042100557.pdf,2020-04-21,"Environmental, Social and Governance Report 2019","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",3
00003.HK,HK & CHINA GAS,2020,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2021/0421/2021042100496.pdf,2021-04-21,Annual Report,Financial Statements/ESG Information - [Annual Report],3
00003.HK,HK & CHINA GAS,2020,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2021/0421/2021042100754.pdf,2021-04-21,"Environmental, Social and Governance Report 2020","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",3
00003.HK,HK & CHINA GAS,2021,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/0420/2022042000719.pdf,2022-04-20,Annual Report,Financial Statements/ESG Information - [Annual Report],3
00003.HK,HK & CHINA GAS,2021,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/0420/2022042000867.pdf,2022-04-20,"Letter to Existing Registered Shareholders and Change Request Form - Publication of 2021 Annual Report, Circular and Proxy Form and Environmental, Social and Governance Report 2021",Circulars - [Other],3
00003.HK,HK & CHINA GAS,2021,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/0420/2022042000871.pdf,2022-04-20,"Letter to Non-Registered Holders and Request Form - Publication of 2021 Annual Report and Circular and Environmental, Social and Governance Report 2021",Circulars - [Other],3
00003.HK,HK & CHINA GAS,2021,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/0420/2022042000892.pdf,2022-04-20,"Environmental, Social and Governance Report 2021","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",3
00003.HK,HK & CHINA GAS,0,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0320/2023032000655.pdf,2023-03-20,"Terms of Reference of the Board Environmental, Social and Governance Committee",Announcements and Notices - [Terms of Reference of Other Board Committees],3
00003.HK,HK & CHINA GAS,2022,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0424/2023042400563.pdf,2023-04-24,Annual Report,Financial Statements/ESG Information - [Annual Report],3
00003.HK,HK & CHINA GAS,2022,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0424/2023042400812.pdf,2023-04-24,"Letter to Existing Registered Shareholders and Change Request Form - Publication of 2022 Annual Report, Circular and Proxy Form and Environmental, Social and Governance Report 2022",Circulars - [Other],3
00003.HK,HK & CHINA GAS,2022,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0424/2023042400838.pdf,2023-04-24,"Letter to Non-Registered Holders and Request Form - Publication of 2022 Annual Report and Circular and Environmental, Social and Governance Report 2022",Circulars - [Other],3
00003.HK,HK & CHINA GAS,2022,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0424/2023042400967.pdf,2023-04-24,"Environmental, Social and Governance Report 2022","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",3
00003.HK,HK & CHINA GAS,2023,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0423/2024042300494.pdf,2024-04-23,Annual Report,Financial Statements/ESG Information - [Annual Report],3
00003.HK,HK & CHINA GAS,2023,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0423/2024042300776.pdf,2024-04-23,"Letter to Registered Shareholders and Reply Form - Publication of 2023 Annual Report, Circular and Proxy Form, Environmental, Social and Governance Report 2023 and Arrangement of Electronic Dissemination of Corporate Communications",Circulars - [Other],3
00003.HK,HK & CHINA GAS,2023,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0423/2024042300852.pdf,2024-04-23,"Letter to Non-Registered Holders and Reply Form - Publication of 2023 Annual Report, Circular, Environmental, Social and Governance Report 2023 and Arrangement of Electronic Dissemination of Corporate Communications",Circulars - [Other],3
00003.HK,HK & CHINA GAS,2023,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0423/2024042300905.pdf,2024-04-23,"Environmental, Social and Governance Report 2023","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",3
00003.HK,HK & CHINA GAS,0,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0319/2025031900552.pdf,2025-03-19,"Terms of Reference of the Board Environmental, Social and Governance Committee",Announcements and Notices - [Terms of Reference of Other Board Committees],3
00003.HK,HK & CHINA GAS,2024,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0423/2025042300667.pdf,2025-04-23,Annual Report,Financial Statements/ESG Information - [Annual Report],3
00003.HK,HK & CHINA GAS,2024,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0423/2025042301141.pdf,2025-04-23,"Letter to New Registered Shareholders and Reply Form - Publication of 2024 Annual Report, Circular and Proxy Form, Environmental, Social and Governance Report 2024 and Arrangement of Electronic Dissemination of Corporate Communications",Circulars - [Other],3
00003.HK,HK & CHINA GAS,2024,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0423/2025042301217.pdf,2025-04-23,"Letter to Existing Registered Shareholders and Reply Form - Publication of 2024 Annual Report, Circular and Proxy Form, Environmental, Social and Governance Report 2024 and Arrangement of Electronic Dissemination of Corporate Communications",Circulars - [Other],3
00003.HK,HK & CHINA GAS,2024,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0423/2025042301282.pdf,2025-04-23,"Letter to Non-Registered Holders and Reply Form - Publication of 2024 Annual Report, Circular, Environmental, Social and Governance Report 2024 and Arrangement of Electronic Dissemination of Corporate Communications",Circulars - [Other],3
00003.HK,HK & CHINA GAS,2024,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0423/2025042301446.pdf,2025-04-23,"Environmental, Social and Governance Report 2024","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",3
00003.HK,HK & CHINA GAS,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042801254.pdf,2026-04-28,Annual Report,Financial Statements/ESG Information - [Annual Report],3
00003.HK,HK & CHINA GAS,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042801518.pdf,2026-04-28,"Letter to Registered Shareholders and Reply Form - Publication of 2025 Annual Report, Circular and Proxy Form, Environmental, Social and Governance Report 2025 and New Arrangement of Electronic Dissemination of Corporate Communications",Circulars - [Other],3
00003.HK,HK & CHINA GAS,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042801564.pdf,2026-04-28,"Letter to Non-Registered Holders and Reply Form - Publication of 2025 Annual Report, Circular, Environmental, Social and Governance Report 2025 and New Arrangement of Electronic Dissemination of Corporate Communications",Circulars - [Other],3
00003.HK,HK & CHINA GAS,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042801669.pdf,2026-04-28,"Environmental, Social and Governance Report 2025","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",3
00276.HK,MONGOLIA ENERGY,2020,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0721/2020072100601.pdf,2020-07-21,Annual Report 2020,Financial Statements/ESG Information - [Annual Report],486
00276.HK,MONGOLIA ENERGY,2020,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0930/2020093000528.pdf,2020-09-30,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2020","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",486
00276.HK,MONGOLIA ENERGY,2021,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2021/0722/2021072200673.pdf,2021-07-22,Annual Report 2021,Financial Statements/ESG Information - [Annual Report],486
00276.HK,MONGOLIA ENERGY,2021,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2021/0827/2021082700448.pdf,2021-08-27,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2021","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",486
00276.HK,MONGOLIA ENERGY,2022,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/0824/2022082400510.pdf,2022-08-24,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2022","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",486
00276.HK,MONGOLIA ENERGY,2022,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/1109/2022110900291.pdf,2022-11-09,Annual Report 2022,Financial Statements/ESG Information - [Annual Report],486
00276.HK,MONGOLIA ENERGY,2023,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0720/2023072000232.pdf,2023-07-20,Annual Report 2023,Financial Statements/ESG Information - [Annual Report],486
00276.HK,MONGOLIA ENERGY,2023,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0720/2023072000393.pdf,2023-07-20,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2023","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",486
00276.HK,MONGOLIA ENERGY,2024,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0718/2024071800249.pdf,2024-07-18,Annual Report 2024,Financial Statements/ESG Information - [Annual Report],486
00276.HK,MONGOLIA ENERGY,2024,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0718/2024071800325.pdf,2024-07-18,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2024","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",486
00276.HK,MONGOLIA ENERGY,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0724/2025072400415.pdf,2025-07-24,ANNUAL REPORT 2025,Financial Statements/ESG Information - [Annual Report],486
00276.HK,MONGOLIA ENERGY,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0724/2025072400479.pdf,2025-07-24,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2025","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",486
00276.HK,MONGOLIA ENERGY,2026,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0723/2026072300316.pdf,2026-07-23,ANNUAL REPORT 2026,Financial Statements/ESG Information - [Annual Report],486
00276.HK,MONGOLIA ENERGY,2026,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0723/2026072300568.pdf,2026-07-23,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2026","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",486
00332.HK,YUANHENG GAS,2020,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0729/2020072900836.pdf,2020-07-29,ANNUAL REPORT 2020,Financial Statements/ESG Information - [Annual Report],600
00332.HK,YUANHENG GAS,2020,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/1028/2020102801442.pdf,2020-10-28,"Environmental, social and governance report 2019/20","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",600
00332.HK,YUANHENG GAS,2021,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2021/0726/2021072601350.pdf,2021-07-26,ANNUAL REPORT 2021,Financial Statements/ESG Information - [Annual Report],600
00332.HK,YUANHENG GAS,2020,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2021/0820/2021082000837.pdf,2021-08-20,SUPPLEMENTAL ANNOUNCEMENT IN RELATION TO THE ANNUAL REPORT OF THE COMPANY FOR THE YEAR ENDED 31 MARCH 2020,Announcements and Notices - [Revision of Published Financial Statements and Reports],600
00332.HK,YUANHENG GAS,2021,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2021/1026/2021102600427.pdf,2021-10-26,"Environmental, social and governance report 2020/21","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",600
00332.HK,YUANHENG GAS,2021,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/0112/2022011200683.pdf,2022-01-12,SUPPLEMENTAL ANNOUNCEMENT IN RELATION TO THE ANNUAL REPORT OF THE COMPANY FOR THE YEAR ENDED 31 MARCH 2021,Announcements and Notices - [Revision of Published Financial Statements and Reports],600
00332.HK,YUANHENG GAS,2022,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/0727/2022072700872.pdf,2022-07-27,ANNUAL REPORT 2022,Financial Statements/ESG Information - [Annual Report],600
00332.HK,YUANHENG GAS,2022,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/0826/2022082601082.pdf,2022-08-26,"Environmental, social and governance report 2021/22","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",600
00332.HK,YUANHENG GAS,2023,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0726/2023072601039.pdf,2023-07-26,ANNUAL REPORT 2023,Financial Statements/ESG Information - [Annual Report],600
00332.HK,YUANHENG GAS,2023,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0726/2023072601045.pdf,2023-07-26,"Environmental, social and governance report 2022/23","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",600
00332.HK,YUANHENG GAS,2024,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0726/2024072601427.pdf,2024-07-26,ANNUAL REPORT 2024,Financial Statements/ESG Information - [Annual Report],600
00332.HK,YUANHENG GAS,2024,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0726/2024072601435.pdf,2024-07-26,"Environmental, social and governance report 2023/24","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",600
00332.HK,YUANHENG GAS,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0730/2025073001292.pdf,2025-07-30,ANNUAL REPORT 2025,Financial Statements/ESG Information - [Annual Report],600
00332.HK,YUANHENG GAS,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0730/2025073001294.pdf,2025-07-30,"Environmental, social and governance report 2024/25","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",600
00332.HK,YUANHENGGAS-NEW,2026,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0727/2026072700847.pdf,2026-07-27,ANNUAL REPORT 2026,Financial Statements/ESG Information - [Annual Report],600
00332.HK,YUANHENGGAS-NEW,2026,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0727/2026072700855.pdf,2026-07-27,"Environmental, social and governance report 2025/26","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",600
00353.HK,ENERGY INTINV,2019,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0907/2020090701087.pdf,2020-09-07,Annual Report 2019,Financial Statements/ESG Information - [Annual Report],666
00353.HK,ENERGY INTINV,2019,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0907/2020090701102.pdf,2020-09-07,"2019 Environmental, Social and Governance Report","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",666
00353.HK,ENERGY INTINV,2021,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2021/1223/2021122300450.pdf,2021-12-23,Annual Report 2020/21,Financial Statements/ESG Information - [Annual Report],666
00353.HK,ENERGY INTINV,2021,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2021/1223/2021122300483.pdf,2021-12-23,"2020/21 Environmental, Social and Governance Report","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",666
00353.HK,ENERGY INTINV,2022,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/0812/2022081201816.pdf,2022-08-12,Annual Report 2021/22,Financial Statements/ESG Information - [Annual Report],666
