company_code,company_name,report_year,document_type,source_url,published_date,title,headline,stock_id
00003.HK,HK & CHINA GAS,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042801254.pdf,2026-04-28,Annual Report,Financial Statements/ESG Information - [Annual Report],3
00003.HK,HK & CHINA GAS,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042801669.pdf,2026-04-28,"Environmental, Social and Governance Report 2025","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",3
00276.HK,MONGOLIA ENERGY,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0724/2025072400415.pdf,2025-07-24,ANNUAL REPORT 2025,Financial Statements/ESG Information - [Annual Report],486
00276.HK,MONGOLIA ENERGY,2026,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0723/2026072300568.pdf,2026-07-23,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2026","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",486
00332.HK,YUANHENG GAS,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0730/2025073001292.pdf,2025-07-30,ANNUAL REPORT 2025,Financial Statements/ESG Information - [Annual Report],600
00332.HK,YUANHENGGAS-NEW,2026,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0727/2026072700855.pdf,2026-07-27,"Environmental, social and governance report 2025/26","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",600
00353.HK,ENERGY INTINV,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0725/2025072500637.pdf,2025-07-25,Annual Report 2024/25,Financial Statements/ESG Information - [Annual Report],666
00353.HK,ENERGY INTINV,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0725/2025072500817.pdf,2025-07-25,"2024/25 Environmental, Social and Governance Report","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",666
00650.HK,PRODUCTIVE TECH,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0730/2025073000464.pdf,2025-07-30,Annual Report 2024/2025,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",1516
00650.HK,IDG ENERGY INV,2022,name_change_announcement,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/0622/2022062200991.pdf,2022-06-22,POLL RESULTS OF THE SGM HELD ON 22 JUNE 2022,Announcements and Notices - [Results of EGM/SGM / Change of Company Name],1516
00702.HK,SINO OIL & GAS,2023,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0426/2024042602887.pdf,2024-04-26,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2023","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",1641
00704.HK,HUSCOKE HLDGS,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0730/2025073000498.pdf,2025-07-30,2024/25 ANNUAL REPORT,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",1648
00704.HK,HUSCOKE HLDGS,0,listing_document,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0804/2023080401736.pdf,2023-08-04,SUPPLEMENTAL ANNOUNCEMENT IN RELATION TO (I) REVISED EXPECTED TIMETABLE AND FURTHER DELAY IN DESPATCH OF PROSPECTUS DOCUMENTS IN RELATION TO THE OPEN OFFER; AND (II) EXTENSION OF LONG STOP DATE OF THE CB SUBSCRIPTION,Announcements and Notices - [Delay in Dispatch of Circular or other Document / Open Offer / Trading Arrangements (other... More,1648
00931.HK,CHINA HK POWER,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0725/2025072501045.pdf,2025-07-25,Annual report 2025,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",2224
00931.HK,CHINA LNG,2023,name_change_announcement,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/1103/2023110301972.pdf,2023-11-03,POLL RESULTS OF THE EXTRAORDINARY GENERAL MEETING HELD ON 3 NOVEMBER 2023,Announcements and Notices - [Results of EGM/SGM / Change of Company Name],2224
01229.HK,NAN NAN RES,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0724/2025072400401.pdf,2025-07-24,Annual Report 2025,Financial Statements/ESG Information - [Annual Report],2737
01229.HK,NAN NAN RES,2026,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0723/2026072300366.pdf,2026-07-23,"Environmental, Social and Governance Report 2025/26","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",2737
08347.HK,F8 ENT,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/gem/2025/0709/2025070900009.pdf,2025-07-09,Annual Report 2025,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",153967
08347.HK,F8 ENT,2021,esg_report,https://www1.hkexnews.hk/listedco/listconews/gem/2021/0831/2021083101339.pdf,2021-08-31,"Environmental, Social & Governance Report 2021","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",153967
08347.HK,F8 ENT,0,listing_document,https://www1.hkexnews.hk/listedco/listconews/gem/2022/0822/2022082201056.pdf,2022-08-22,EXCESS APPLICATION FORM,Listing Documents - [Rights Issue],153967
08631.HK,YUFENGCHANG HLD,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/gem/2025/0707/2025070701740.pdf,2025-07-07,Annual Report 2024/2025,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",210246
08631.HK,SUN KONG-NEW,0,listing_document,https://www1.hkexnews.hk/listedco/listconews/gem/2024/0313/2024031301015.pdf,2024-03-13,DELAY IN DESPATCH OF PROSPECTUS DOCUMENTS AND REVISED EXPECTED TIMETABLE IN RELATION TO PROPOSED RIGHTS ISSUE ON THE BASIS OF TWO (2) RIGHTS SHARES FOR EVERY ONE (1) CONSOLIDATED SHARE HELD ON THE RECORD DATE,Announcements and Notices - [Capital Reorganisation / Rights Issue / Trading Arrangements (other than Change in Board Lot... More,210246
08631.HK,YUFENGCHANG HLD,0,name_change_announcement,https://www1.hkexnews.hk/listedco/listconews/gem/2026/0213/2026021300996.pdf,2026-02-13,"CHANGE OF COMPANY NAME, CHANGE OF STOCK SHORT NAME AND CESSATION OF USE OF COMPANY'S LOGO",Announcements and Notices - [Change of Company Name / Trading Arrangements (other than Change in Board Lot Size)],210246
