company_code,company_name,report_year,document_type,source_url,published_date,title,headline,stock_id
00702.HK,SINO OIL & GAS,2019,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0505/2020050501606.pdf,2020-05-05,ANNUAL REPORT 2019,Financial Statements/ESG Information - [Annual Report],1641
00702.HK,SINO OIL & GAS,2019,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0731/2020073100213.pdf,2020-07-31,"ENVIRONMENTAL,SOCIAL AND GOVERNANCE REPORT 2019","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",1641
00702.HK,SINO OIL & GAS,2020,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2021/0428/2021042801499.pdf,2021-04-28,ANNUAL REPORT 2020,Financial Statements/ESG Information - [Annual Report],1641
00702.HK,SINO OIL & GAS,2020,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2021/0722/2021072200951.pdf,2021-07-22,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2020","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",1641
00702.HK,SINO OIL & GAS,2021,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/0512/2022051200599.pdf,2022-05-12,ANNUAL REPORT 2021,Financial Statements/ESG Information - [Annual Report],1641
00702.HK,SINO OIL & GAS,2021,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/0531/2022053101170.pdf,2022-05-31,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2021","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",1641
00702.HK,SINO OIL & GAS,2022,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0424/2023042401013.pdf,2023-04-24,ANNUAL REPORT 2022,Financial Statements/ESG Information - [Annual Report],1641
00702.HK,SINO OIL & GAS,2022,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0424/2023042401189.pdf,2023-04-24,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2022","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",1641
00702.HK,SINO OIL & GAS,2023,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0426/2024042602791.pdf,2024-04-26,ANNUAL REPORT 2023,Financial Statements/ESG Information - [Annual Report],1641
00702.HK,SINO OIL & GAS,2023,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0426/2024042602887.pdf,2024-04-26,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2023","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",1641
01101.HK,HUARONG ENERGY,2019,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0511/2020051100401.pdf,2020-05-11,ANNUAL REPORT 2019,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",55321
01101.HK,HUARONG ENERGY,2020,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2021/0421/2021042100880.pdf,2021-04-21,ANNUAL REPORT 2020,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",55321
01101.HK,HUARONG ENERGY,2021,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/0421/2022042100888.pdf,2022-04-21,ANNUAL REPORT 2021,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",55321
01101.HK,HUARONG ENERGY,2022,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0420/2023042001060.pdf,2023-04-20,ANNUAL REPORT 2022,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",55321
01101.HK,HUARONG ENERGY,2023,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0430/2024043001896.pdf,2024-04-30,ANNUAL REPORT 2023,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",55321
