company_code,company_name,report_year,document_type,source_url,published_date,title,headline,stock_id
00042.HK,NE ELECTRIC,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0429/2026042906260.pdf,2026-04-29,Annual Report 2025,Financial Statements/ESG Information - [Annual Report],62
00042.HK,NE ELECTRIC,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0429/2026042900377.pdf,2026-04-29,"Environmental,Social and Governance Report 2025","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",62
00042.HK,NE ELECTRIC,2024,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0428/2025042804727.pdf,2025-04-28,Annual Report 2024,Financial Statements/ESG Information - [Annual Report],62
00042.HK,NE ELECTRIC,2024,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0428/2025042804043.pdf,2025-04-28,"Environmental, Social and Governance Report 2024","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",62
00600.HK,AXERA,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042800542.pdf,2026-04-28,2025 ANNUAL REPORT,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",1000291040
00600.HK,AXERA,0,listing_document,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0130/2026013000009.pdf,2026-01-30,GLOBAL OFFERING,Listing Documents - [Offer for Subscription],1000291040
00600.HK,AXERA,0,listing_document,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0130/2026013000005.pdf,2026-01-30,Global Offering,Announcements and Notices - [Formal Notice],1000291040
00607.HK,FULLSHARE,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0626/2026062601805.pdf,2026-06-26,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2025","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",1413
00607.HK,FULLSHARE,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0626/2026062601793.pdf,2026-06-26,Annual Report 2025,Financial Statements/ESG Information - [Annual Report],1413
00607.HK,FULLSHARE,2024,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0429/2025042904078.pdf,2025-04-29,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2024","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",1413
00607.HK,FULLSHARE,2024,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0429/2025042904054.pdf,2025-04-29,Annual Report 2024,Financial Statements/ESG Information - [Annual Report],1413
00650.HK,PRODUCTIVE TECH,2024,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0730/2025073000464.pdf,2025-07-30,Annual Report 2024/2025,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",1516
