company_code,company_name,report_year,document_type,source_url,published_date,title
000819.SZ,岳阳兴长,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-21/a6eb81b5-6e76-4f83-a670-06d97439595d.PDF,2026-04-21,岳阳兴长：2025年年度报告
001283.SZ,豪鹏科技,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-03/7c730243-2ecc-4169-9bda-1a44011d3de6.PDF,2026-04-03,豪鹏科技：2025年年度报告
002028.SZ,思源电气,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-18/e1ce7b05-0a5c-4746-bb9f-2f32b65301f9.PDF,2026-04-18,思源电气：2025年年度报告
002028.SZ,思源电气,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-18/e5e14a33-220c-4363-950a-cf7a05fec667.PDF,2026-04-18,思源电气：2025年可持续发展报告
002441.SZ,众业达,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-18/624c799e-37c4-4078-99e7-11d97fcd6979.PDF,2026-04-18,众业达：2025年年度报告
002459.SZ,晶澳科技,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/a57bca74-1249-448c-bac4-ac61901740f1.PDF,2026-04-29,晶澳科技：2025年年度报告
002459.SZ,晶澳科技,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/4047f072-230c-4aec-b4b8-ae5e6c23ed92.PDF,2026-04-29,晶澳科技：2025年度可持续发展暨ESG报告
002576.SZ,通达动力,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-31/eac49b2e-9e2a-48f8-aaac-9f72ccb11094.PDF,2026-03-31,通达动力：2025年年度报告
002629.SZ,仁智股份,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-16/5ad4bb98-7d13-4684-a8ce-2783d973548a.PDF,2026-04-16,仁智股份：2025年年度报告
002812.SZ,恩捷股份,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-23/b3b3b2cc-1912-4850-a013-1db6c99bfd72.PDF,2026-04-23,恩捷股份：2025年年度报告
002851.SZ,麦格米特,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/43d7d7d2-7f30-47f6-a047-5b8a77e4162a.PDF,2026-04-29,麦格米特：2025年年度报告
003816.SZ,中国广核,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-26/9ab2d2e1-0fbc-43a7-98ea-7f8e02043b16.PDF,2026-03-26,中国广核：2025年年度报告
300274.SZ,阳光电源,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-01/81f0821a-02a0-447f-ac41-73f0805ba1b1.PDF,2026-04-01,阳光电源：2025年年度报告
300274.SZ,阳光电源,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/c5e18435-285a-4033-b754-c92e9a566f34.PDF,2026-04-28,阳光电源：2025年可持续发展报告
300360.SZ,炬华科技,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/244b829b-72ec-407e-97c5-9d9aed8f8d7a.PDF,2026-04-28,炬华科技：2025年年度报告
300776.SZ,帝尔激光,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-31/f300ad54-b80a-4083-b8c6-31978e618e90.PDF,2026-03-31,帝尔激光：2025年年度报告
300776.SZ,帝尔激光,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/0477fee1-fb54-42dd-87b4-3f1953aaaa9b.PDF,2026-04-28,帝尔激光：2025年可持续发展报告
300870.SZ,欧陆通,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-22/0ff40602-b230-465c-8318-2b3375833531.PDF,2026-04-22,欧陆通：2025年年度报告
300870.SZ,欧陆通,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-22/bc454829-76f8-46a7-b546-779b77b22b50.PDF,2026-04-22,欧陆通：欧陆通2025年可持续发展报告
301386.SZ,未来电器,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-24/312e3e3e-a69e-4651-9baa-4cef44d9a873.pdf,2026-04-24,未来电器：2025年年度报告
301386.SZ,未来电器,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-24/ddccaa27-02a0-4fab-be44-9a2edf73f172.PDF,2026-04-24,未来电器：2025年度可持续发展报告
000922.SZ,佳电股份,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-28/7f01451a-549d-4f35-a16c-8fab1627581e.PDF,2026-03-28,佳电股份：公司2025年度ESG报告
002506.SZ,协鑫集成,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/4459191c-6588-4d4d-9a3b-7e2d087332e9.PDF,2026-04-29,协鑫集成：协鑫集成2025年可持续发展报告
002531.SZ,天顺风能,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-31/60b7eb01-31c1-4e48-b111-af7537a9ae90.PDF,2026-03-31,天顺风能：2025年度可持续发展报告(中文版)
002706.SZ,良信股份,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-11/958be8bb-584f-4124-961a-7b81184348d4.PDF,2026-04-11,良信股份：良信股份2025年度ESG报告
300001.SZ,特锐德,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-09/d4d8b614-35bc-4f5a-ad6d-38fee5fd4ba8.PDF,2026-04-09,特锐德：2025年度可持续发展报告暨ESG报告
300207.SZ,欣旺达,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-24/45d6ae3e-6fea-40f6-87e8-df0d65a12052.PDF,2026-04-24,欣旺达：2025年可持续发展报告（中文版）
300850.SZ,新强联,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-27/420d57c6-81e7-4f24-aff0-965f82f2988f.PDF,2026-03-27,新强联：2025年度可持续发展报告
300880.SZ,迦南智能,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-21/281163ae-9832-4b46-9f78-ee015f085a6f.PDF,2026-04-21,迦南智能：2025年度可持续发展报告（中文版）
301325.SZ,曼恩斯特,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/f6803551-f7de-4495-818a-c19825533c07.PDF,2026-04-29,曼恩斯特：2025年度可持续发展报告
600011.SH,华能国际,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-25/600011_20260325_CS0B.pdf,2026-03-25,华能国际2025年年度报告
600346.SH,恒力石化,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-15/600346_20260415_SQ4O.pdf,2026-04-15,恒力石化2025年年度报告
600346.SH,恒力石化,2025,esg_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-15/600346_20260415_0WCZ.pdf,2026-04-15,恒力石化2025年度可持续发展报告
600438.SH,通威股份,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-30/600438_20260430_83VD.pdf,2026-04-30,通威股份有限公司2025年年度报告
600438.SH,通威股份,2025,esg_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-30/600438_20260430_UQ50.pdf,2026-04-30,通威股份有限公司2025年环境、社会与公司治理报告暨可持续发展报告
601808.SH,中海油服,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-25/601808_20260325_9TQK.pdf,2026-03-25,中海油服2025年年度报告
