company_code,company_name,report_year,document_type,source_url,published_date,title
600011.SH,华能国际,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-18/600011_20260418_OYK6.pdf,2026-04-18,华能国际H股2025年度报告
600021.SH,上海电力,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-14/600021_20260414_EJKO.pdf,2026-04-14,上海电力股份有限公司2025年年度报告（全文）
600023.SH,浙能电力,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-28/600023_20260428_3M3A.pdf,2026-04-28,2025年年度报告
600023.SH,浙能电力,2025,esg_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-28/600023_20260428_8L48.pdf,2026-04-28,2025年度可持续发展报告
600025.SH,华能水电,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-29/600025_20260429_EN00.pdf,2026-04-29,2025年年度报告
600027.SH,华电国际,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-27/600027_20260327_VSUM.pdf,2026-03-27,2025年年度报告
600028.SH,中国石化,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-23/600028_20260323_J1IG.pdf,2026-03-23,中国石化2025年度报告
600028.SH,中国石化,2025,esg_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-23/600028_20260323_QZ7Y.pdf,2026-03-23,中国石化2025年可持续发展报告
600032.SH,浙江新能,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-28/600032_20260428_EBCT.pdf,2026-04-28,浙江新能2025年年度报告
600032.SH,浙江新能,2025,esg_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-28/600032_20260428_I4YS.pdf,2026-04-28,浙江省新能源投资集团股份有限公司2025年环境、社会和公司治理报告
