company_code,company_name,report_year,document_type,source_url,published_date,title
600900.SH,长江电力,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-30/600900_20260430_WC8R.pdf,2026-04-30,长江电力2025年年度报告
600900.SH,长江电力,2025,esg_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-30/600900_20260430_0VWG.pdf,2026-04-30,长江电力2025年度环境、社会和公司治理报告
600995.SH,南网储能,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-31/600995_20260331_DFTM.pdf,2026-03-31,南方电网储能股份有限公司2025年年度报告
600995.SH,南网储能,2025,esg_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-31/600995_20260331_JL44.pdf,2026-03-31,南方电网储能股份有限公司2025年度可持续发展报告（ESG报告）
601567.SH,三星电气,2025,esg_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-25/601567_20260425_IJJK.pdf,2026-04-25,三星电气2025可持续发展报告
601567.SH,三星电气,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-25/601567_20260425_YPP2.pdf,2026-04-25,三星电气2025年年度报告
688676.SH,金盘科技,2025,esg_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-21/688676_20260321_RGI3.pdf,2026-03-21,2025年可持续发展报告暨环境、社会及公司治理报告
688676.SH,金盘科技,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-21/688676_20260321_XTVS.pdf,2026-03-21,2025年年度报告
600339.SH,中油工程,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-11/600339_20260411_1IH9.pdf,2026-04-11,中油工程2025年年度报告
688408.SH,中信博,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-17/688408_20260417_UUI3.pdf,2026-04-17,中信博2025年年度报告全文
600406.SH,国电南瑞,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-30/600406_20260430_JEME.pdf,2026-04-30,国电南瑞2025年年度报告
