stock_code,company_name,published_date,title,document_type,source_url,source
['300274'].SZ,['阳光电源'],2026-04-01,阳光电源：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-01/81f0821a-02a0-447f-ac41-73f0805ba1b1.PDF,SZSE
['000400'].SZ,['许继电气'],2026-04-11,许继电气：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-11/3ffe5f89-4106-4c37-889e-63181d32aef6.PDF,SZSE
['002459'].SZ,['晶澳科技'],2026-04-29,晶澳科技：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/a57bca74-1249-448c-bac4-ac61901740f1.PDF,SZSE
['002129'].SZ,['TCL中环'],2026-03-25,TCL中环：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-25/8f0198a5-861c-4515-acfd-adc1f573d502.PDF,SZSE
['301327'].SZ,['华宝新能'],2026-04-25,华宝新能：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-25/f4801973-f1fd-478a-a750-223ce1947dfc.PDF,SZSE
['300569'].SZ,['天能重工'],2026-04-23,天能重工：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-23/97f440c7-12c6-4f14-b2f1-f033bcc6a2f2.PDF,SZSE
['002851'].SZ,['麦格米特'],2026-04-29,麦格米特：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/43d7d7d2-7f30-47f6-a047-5b8a77e4162a.PDF,SZSE
['300750'].SZ,['宁德时代'],2026-03-10,宁德时代：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-10/f019f96b-b960-410b-b88f-08838a36d81b.PDF,SZSE
['000155'].SZ,['川能动力'],2026-04-10,川能动力：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-10/0b85e5a8-fab9-44e9-89ce-b4c5ff94c4a3.PDF,SZSE
['002506'].SZ,['协鑫集成'],2026-04-29,协鑫集成：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/ac31e6a4-4483-47d6-af86-1af648a92e57.PDF,SZSE
['002202'].SZ,['金风科技'],2026-03-28,金风科技：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-28/7c7c2787-dabb-4ae2-8802-72b5b47a462a.PDF,SZSE
['003816'].SZ,['中国广核'],2026-03-26,中国广核：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-26/9ab2d2e1-0fbc-43a7-98ea-7f8e02043b16.PDF,SZSE
['000862'].SZ,['银星能源'],2026-03-26,银星能源：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-26/30eecae4-5a04-406a-840b-f367bb859c3c.PDF,SZSE
['300014'].SZ,['亿纬锂能'],2026-03-28,亿纬锂能：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-28/5c838bd3-422f-423d-a98c-d47ba58a06bf.PDF,SZSE
['003035'].SZ,['南网能源'],2026-03-28,南网能源：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-28/5f393f3c-af60-4cc7-83f6-ba2855765328.PDF,SZSE
['000682'].SZ,['东方电子'],2026-04-24,东方电子：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-24/a512cf37-75dd-4d0d-96e8-76bf6eb22bdf.PDF,SZSE
['002249'].SZ,['大洋电机'],2026-03-24,大洋电机：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-24/1fc38dbb-a7f8-4434-ae5c-aee14648d4a2.PDF,SZSE
['001289'].SZ,['龙源电力'],2026-04-01,龙源电力：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-01/fac89145-0b4c-4e33-8bf0-d72fb2f548d4.PDF,SZSE
['300118'].SZ,['东方日升'],2026-04-25,东方日升：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-25/f158a04e-b7dc-498d-90d6-b5331a9e4ad6.PDF,SZSE
['300693'].SZ,['盛弘股份'],2026-04-10,盛弘股份：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-10/8580f872-63c3-4ebe-9493-4acc16b36a26.PDF,SZSE
['300882'].SZ,['万胜智能'],2026-04-28,万胜智能：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/8eb13c8f-e094-4832-b06e-5b2781ae875a.PDF,SZSE
['000883'].SZ,['湖北能源'],2026-04-29,湖北能源：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/7cb29321-483e-4cc9-82de-4ecc59dbb3b6.PDF,SZSE
['300105'].SZ,['龙源技术'],2026-04-11,龙源技术：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-11/e114a677-6cd4-42f3-a062-ecae830e1bda.PDF,SZSE
['002493'].SZ,['荣盛石化'],2026-04-28,荣盛石化：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/7d9ecbc3-2a3e-4d91-bfff-35bff069056b.PDF,SZSE
['300316'].SZ,['晶盛机电'],2026-04-11,晶盛机电：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-11/abdb4926-b75d-4c90-b255-4efcc37ad6f8.PDF,SZSE
['000922'].SZ,['佳电股份'],2026-03-28,佳电股份：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-28/be00e823-5d01-4cb9-a50c-35ecc85e0f97.PDF,SZSE
['002479'].SZ,['富春环保'],2026-04-15,富春环保：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-15/3cce9fc8-99a1-4baf-8427-45389448583c.PDF,SZSE
['002267'].SZ,['陕天然气'],2026-04-28,陕天然气：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/a57a38df-881c-4609-b9f0-b3944a2ab170.PDF,SZSE
['002709'].SZ,['天赐材料'],2026-03-10,天赐材料：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-10/ec4e9518-be76-457d-9a6d-9ef0ac247297.PDF,SZSE
['002911'].SZ,['佛燃能源'],2026-03-25,佛燃能源：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-25/421ea001-e587-4e69-9c11-4f96f88b41b8.PDF,SZSE
['002608'].SZ,['江苏国信'],2026-04-21,江苏国信：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-21/c7d1055e-81f8-444a-97d4-e3c96c701add.PDF,SZSE
['002074'].SZ,['国轩高科'],2026-04-29,国轩高科：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/24ee6bf9-6daa-4f4f-ae46-12dfbe099287.pdf,SZSE
['002531'].SZ,['天顺风能'],2026-03-31,天顺风能：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-31/71506d41-34b8-48e6-8d9e-0de347776e7e.PDF,SZSE
['000723'].SZ,['美锦能源'],2026-04-25,美锦能源：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-25/90902e19-f604-493b-bcde-74396cf3858a.PDF,SZSE
['000875'].SZ,['电投绿能'],2026-04-21,电投绿能：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-21/64af4bfa-5ad4-4edf-b789-beb9eee1d5e4.PDF,SZSE
['300626'].SZ,['华瑞股份'],2026-04-29,华瑞股份：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/633dba24-c3a7-4acc-8ad2-03cdc9ecee06.PDF,SZSE
['300185'].SZ,['通裕重工'],2026-04-22,通裕重工：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-22/c2477335-6c1f-45d0-8693-95c0a3593faf.PDF,SZSE
['001258'].SZ,['立新能源'],2026-04-23,立新能源：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-23/c4de7ed7-ade8-4b19-862a-a453dfedb428.PDF,SZSE
['001208'].SZ,['华菱线缆'],2026-03-30,华菱线缆：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-30/56775ab6-ab4a-48fc-8176-0ea4367b2869.pdf,SZSE
['002340'].SZ,['格林美'],2026-04-22,格林美：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-22/b4675097-7e47-4cc6-898b-281ace34ff8f.PDF,SZSE
['300450'].SZ,['先导智能'],2026-03-31,先导智能：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-31/755ba159-8524-4374-912b-1f00b6e3d794.PDF,SZSE
['000027'].SZ,['深圳能源'],2026-04-17,深圳能源：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-17/e81dfe3f-d725-44b0-a5a9-90166c2caba4.PDF,SZSE
['002706'].SZ,['良信股份'],2026-04-11,良信股份：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-11/6e5b941a-3c90-4bfa-916d-e46782edd6fa.PDF,SZSE
['300919'].SZ,['中伟新材'],2026-03-31,中伟新材：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-31/ee58a253-1568-473d-85fb-3cda554f3f1a.PDF,SZSE
['300376'].SZ,['易事特'],2026-04-29,易事特：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/35d1b11a-0c81-4de8-91a4-fffa21f62804.PDF,SZSE
['300751'].SZ,['迈为股份'],2026-04-28,迈为股份：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/52da9817-c743-4a53-b653-ab57af2f031e.PDF,SZSE
['300207'].SZ,['欣旺达'],2026-04-24,欣旺达：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-24/6fa721fa-cad9-4499-b2cc-a49e32e82f44.PDF,SZSE
['002893'].SZ,['京能热力'],2026-04-29,京能热力：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/232612b7-b24b-4132-ae8c-adf86a213da0.PDF,SZSE
['300393'].SZ,['中来股份'],2026-04-28,中来股份：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/92abd42d-b9e7-4093-b2b2-128f48d9f2dd.PDF,SZSE
