company_code,company_name,report_year,document_type,source_url,retrieval_url,local_path,sha256,size
00003.HK,HK & CHINA GAS,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042801254.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042801254.pdf,data/raw/00003.HK/2025/annual_report.pdf,ee06bb6c48f34d3a3dd3cb568ab224ec98115b9aca9ec4f2095000906e5ca67f,32526596
00276.HK,MONGOLIA ENERGY,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0724/2025072400415.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0724/2025072400415.pdf,data/raw/00276.HK/2025/annual_report.pdf,8567d57a725d79f915a0105aea004839e649ada559b88bd14af7f3b0fff96d33,9750036
00332.HK,YUANHENG GAS,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0730/2025073001292.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0730/2025073001292.pdf,data/raw/00332.HK/2025/annual_report.pdf,14fc26e86f9f50c40f2b03e9781b6881bd9e2dc2e7ebe570c4b433efba8d8965,4328609
00353.HK,ENERGY INTINV,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0725/2025072500637.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0725/2025072500637.pdf,data/raw/00353.HK/2025/annual_report.pdf,0bee045479e248fe6f55b0c60417bd1ca1c464614ca88a4b7fb04bafdc4601d7,4498840
00650.HK,PRODUCTIVE TECH,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0730/2025073000464.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0730/2025073000464.pdf,data/raw/00650.HK/2025/annual_report.pdf,c26d20345f5b6492aeea9c67d3dc56b8b44bd04d65cbf664a5c563046939f448,7142331
00704.HK,HUSCOKE HLDGS,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0730/2025073000498.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0730/2025073000498.pdf,data/raw/00704.HK/2025/annual_report.pdf,2f2fd7654656d7f33449edd236a12f1cef889d86866dbdfc874c34d873a00f7f,4440079
00931.HK,CHINA HK POWER,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0725/2025072501045.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0725/2025072501045.pdf,data/raw/00931.HK/2025/annual_report.pdf,a305ffa2e0408d66030ac605e89f021fc8813065fbcf2db4a18b7f8bf3da4f28,2270642
01229.HK,NAN NAN RES,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0724/2025072400401.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0724/2025072400401.pdf,data/raw/01229.HK/2025/annual_report.pdf,0d1f470f8773287a9ec8813c42b8ee4d61eadb086f9e8355c435dca72ebf8c22,1882194
08347.HK,F8 ENT,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/gem/2025/0709/2025070900009.pdf,https://www1.hkexnews.hk/listedco/listconews/gem/2025/0709/2025070900009.pdf,data/raw/08347.HK/2025/annual_report.pdf,a13babfc39402f602d8181ad089a2a5adeb6548bf3bd9989c7fbc7803dad9d9e,5697251
08631.HK,YUFENGCHANG HLD,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/gem/2025/0707/2025070701740.pdf,https://www1.hkexnews.hk/listedco/listconews/gem/2025/0707/2025070701740.pdf,data/raw/08631.HK/2025/annual_report.pdf,df538aa4921a4a8c29ee50f8b9bd14fa76626db1d648074d21e9179a6e109235,4403079
