company_code,company_name,report_year,document_type,source_url,retrieval_url,local_path,sha256,size
00003.HK,HK & CHINA GAS,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042801254.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042801254.pdf,data/raw/00003.HK/2025/annual_report.pdf,ee06bb6c48f34d3a3dd3cb568ab224ec98115b9aca9ec4f2095000906e5ca67f,32526596
00003.HK,HK & CHINA GAS,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042801669.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042801669.pdf,data/raw/00003.HK/2025/esg_report.pdf,b52554fbd06fc83351803b4bd80a6c7fba0495cce1a962092ef7ab01559bb03c,30185976
00276.HK,MONGOLIA ENERGY,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0724/2025072400415.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0724/2025072400415.pdf,data/raw/00276.HK/2025/annual_report.pdf,8567d57a725d79f915a0105aea004839e649ada559b88bd14af7f3b0fff96d33,9750036
00276.HK,MONGOLIA ENERGY,2026,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0723/2026072300568.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0723/2026072300568.pdf,data/raw/00276.HK/2026/esg_report.pdf,ce58ea2dc9c685924338c75391730cbc42c732ba6aaf6317529dc282b0740af2,25378872
00332.HK,YUANHENG GAS,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0730/2025073001292.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0730/2025073001292.pdf,data/raw/00332.HK/2025/annual_report.pdf,14fc26e86f9f50c40f2b03e9781b6881bd9e2dc2e7ebe570c4b433efba8d8965,4328609
00332.HK,YUANHENGGAS-NEW,2026,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0727/2026072700855.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0727/2026072700855.pdf,data/raw/00332.HK/2026/esg_report.pdf,1e05372070bdd0b07588a8eaea8d9b5423e54b87a4c1ef99250ec8a8f0c57fbd,14456198
00353.HK,ENERGY INTINV,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0725/2025072500637.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0725/2025072500637.pdf,data/raw/00353.HK/2025/annual_report.pdf,0bee045479e248fe6f55b0c60417bd1ca1c464614ca88a4b7fb04bafdc4601d7,4498840
00353.HK,ENERGY INTINV,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0725/2025072500817.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0725/2025072500817.pdf,data/raw/00353.HK/2025/esg_report.pdf,3c58b6bfa48f8f150b4e8081b259178d95033336979afe49b85378773c35d7c8,3324154
00650.HK,IDG ENERGY INV,2022,name_change_announcement,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/0622/2022062200991.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/0622/2022062200991.pdf,data/raw/00650.HK/2022/name_change_announcement.pdf,26088151aaf17fd23715a9a48e6f1f7361f1376a486c50a515b6850a6bcfe136,77167
00650.HK,PRODUCTIVE TECH,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0730/2025073000464.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0730/2025073000464.pdf,data/raw/00650.HK/2025/annual_report.pdf,c26d20345f5b6492aeea9c67d3dc56b8b44bd04d65cbf664a5c563046939f448,7142331
00702.HK,SINO OIL & GAS,2023,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0426/2024042602887.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0426/2024042602887.pdf,data/raw/00702.HK/2023/esg_report.pdf,e29d83830e34160ac949eebfcf8e48db42018a07da96634c3a3268d90fcce48c,905188
00704.HK,HUSCOKE HLDGS,0,listing_document,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0804/2023080401736.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0804/2023080401736.pdf,data/raw/00704.HK/0/listing_document.pdf,4be903ae117b01ab80f3d9cdd2a88ad4d8caa76841d5fd5bd2bde1187970a5d2,294093
00704.HK,HUSCOKE HLDGS,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0730/2025073000498.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0730/2025073000498.pdf,data/raw/00704.HK/2025/annual_report.pdf,2f2fd7654656d7f33449edd236a12f1cef889d86866dbdfc874c34d873a00f7f,4440079
00931.HK,CHINA LNG,2023,name_change_announcement,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/1103/2023110301972.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/1103/2023110301972.pdf,data/raw/00931.HK/2023/name_change_announcement.pdf,c77829100f523a419e236a0612e4ab626063bb8eee21b90aeef50b6477d1d6bd,60443
00931.HK,CHINA HK POWER,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0725/2025072501045.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0725/2025072501045.pdf,data/raw/00931.HK/2025/annual_report.pdf,a305ffa2e0408d66030ac605e89f021fc8813065fbcf2db4a18b7f8bf3da4f28,2270642
01229.HK,NAN NAN RES,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0724/2025072400401.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0724/2025072400401.pdf,data/raw/01229.HK/2025/annual_report.pdf,0d1f470f8773287a9ec8813c42b8ee4d61eadb086f9e8355c435dca72ebf8c22,1882194
01229.HK,NAN NAN RES,2026,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0723/2026072300366.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0723/2026072300366.pdf,data/raw/01229.HK/2026/esg_report.pdf,9e3d94279571e34a02de45963f51a0b92da9a92544ef02a3f089a923c082c8e4,2706385
08347.HK,F8 ENT,0,listing_document,https://www1.hkexnews.hk/listedco/listconews/gem/2022/0822/2022082201056.pdf,https://www1.hkexnews.hk/listedco/listconews/gem/2022/0822/2022082201056.pdf,data/raw/08347.HK/0/listing_document.pdf,c01f9a49adfb9d3466e084fb739d570b4d1c1443819b26500addd3236f6d58a4,1150557
08347.HK,F8 ENT,2021,esg_report,https://www1.hkexnews.hk/listedco/listconews/gem/2021/0831/2021083101339.pdf,https://www1.hkexnews.hk/listedco/listconews/gem/2021/0831/2021083101339.pdf,data/raw/08347.HK/2021/esg_report.pdf,9785cfc4c6d6afa130e2bf80253ffc6cea2225e05f64e36f9ccd69891115ee14,4900205
08347.HK,F8 ENT,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/gem/2025/0709/2025070900009.pdf,https://www1.hkexnews.hk/listedco/listconews/gem/2025/0709/2025070900009.pdf,data/raw/08347.HK/2025/annual_report.pdf,a13babfc39402f602d8181ad089a2a5adeb6548bf3bd9989c7fbc7803dad9d9e,5697251
08631.HK,SUN KONG-NEW,0,listing_document,https://www1.hkexnews.hk/listedco/listconews/gem/2024/0313/2024031301015.pdf,https://www1.hkexnews.hk/listedco/listconews/gem/2024/0313/2024031301015.pdf,data/raw/08631.HK/0/listing_document.pdf,dcbbc536e75ab0a0884d5f9ce7075534856def76e2f3d3baf7fd1f92b1a3a3cb,102229
08631.HK,YUFENGCHANG HLD,0,name_change_announcement,https://www1.hkexnews.hk/listedco/listconews/gem/2026/0213/2026021300996.pdf,https://www1.hkexnews.hk/listedco/listconews/gem/2026/0213/2026021300996.pdf,data/raw/08631.HK/0/name_change_announcement.pdf,abd31809e5af39e72fbaa0193d050ad5c17a4ad88c27d60d0a0cdd2c83ccff39,124995
08631.HK,YUFENGCHANG HLD,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/gem/2025/0707/2025070701740.pdf,https://www1.hkexnews.hk/listedco/listconews/gem/2025/0707/2025070701740.pdf,data/raw/08631.HK/2025/annual_report.pdf,df538aa4921a4a8c29ee50f8b9bd14fa76626db1d648074d21e9179a6e109235,4403079
