company_code,company_name,report_year,document_type,source_url,retrieval_url,local_path,sha256,size
00002.HK,CLP HOLDINGS,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0311/2026031100298.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0311/2026031100298.pdf,data/raw/00002.HK/2025/annual_report.pdf,23502639642536e08428a3662729a87c69490d9ea241ac5373817fe49f2afe55,23951688
00003.HK,HK & CHINA GAS,0,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042801254.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042801254.pdf,data/raw/00003.HK/0/annual_report.pdf,ee06bb6c48f34d3a3dd3cb568ab224ec98115b9aca9ec4f2095000906e5ca67f,32526596
00003.HK,HK & CHINA GAS,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042801669.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042801669.pdf,data/raw/00003.HK/2025/esg_report.pdf,b52554fbd06fc83351803b4bd80a6c7fba0495cce1a962092ef7ab01559bb03c,30185976
00006.HK,POWER ASSETS,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0421/2026042100656.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0421/2026042100656.pdf,data/raw/00006.HK/2025/annual_report.pdf,6ad234d47455253c90a1cfefea2c26f33b9aab4d554602e6fc31ea0da0647851,16529746
00006.HK,POWER ASSETS,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0421/2026042100680.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0421/2026042100680.pdf,data/raw/00006.HK/2025/esg_report.pdf,f2869d76e1d079cd51a70e3bbe0b4737b82f07fd506a2a99d3a09a378786d38f,48231365
00042.HK,NE ELECTRIC,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0429/2026042906260.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0429/2026042906260.pdf,data/raw/00042.HK/2025/annual_report.pdf,21078a028f464310f4c928efe60cf9664d416f9a3e200f2a2c153b3c35e1b72e,7945868
00042.HK,NE ELECTRIC,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0429/2026042900377.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0429/2026042900377.pdf,data/raw/00042.HK/2025/esg_report.pdf,14e4c842f9b1fd5b5440c36284067cec259e94f28825b4faa20d60e61a31cbf3,6287793
00061.HK,GREEN LEADER,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0424/2026042400838.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0424/2026042400838.pdf,data/raw/00061.HK/2025/annual_report.pdf,0419f653af8367d701e63178a4aa6371317fdca3a2ca0d54333305dbed788068,2975098
00061.HK,GREEN LEADER,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0424/2026042400920.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0424/2026042400920.pdf,data/raw/00061.HK/2025/esg_report.pdf,1cc69e9154b74a6e20b95494026e3e78153fb3bf6e132011eee21572b751e781,2629822
00065.HK,GRAND OCEAN AR,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042802772.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042802772.pdf,data/raw/00065.HK/2025/annual_report.pdf,9de6602fba6ef38da2e2f1321d6eab3773656d5cf73765c9c26ad4716cd08a73,1988455
