company_code,company_name,report_year,document_type,source_url,retrieval_url,local_path,sha256,size
000819.SZ,岳阳兴长,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-21/a6eb81b5-6e76-4f83-a670-06d97439595d.PDF,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-21/a6eb81b5-6e76-4f83-a670-06d97439595d.PDF,data/raw/000819.SZ/2025/annual_report.pdf,3ddad0b3b1722eb638755c167037655fec7a148d63f91484c050c613a4044d75,1375894
000922.SZ,佳电股份,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-28/7f01451a-549d-4f35-a16c-8fab1627581e.PDF,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-28/7f01451a-549d-4f35-a16c-8fab1627581e.PDF,data/raw/000922.SZ/2025/esg_report.pdf,cfe6e2d9f886cc6e1af957f9b2459ef8baec19f0c3b8e140069b790b6363aead,17426477
001283.SZ,豪鹏科技,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-03/7c730243-2ecc-4169-9bda-1a44011d3de6.PDF,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-03/7c730243-2ecc-4169-9bda-1a44011d3de6.PDF,data/raw/001283.SZ/2025/annual_report.pdf,9b22483c7dbc26f006e0006ee09578c7d441808a6ef62cbd73441fabdee4b69d,5762787
002028.SZ,思源电气,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-18/e1ce7b05-0a5c-4746-bb9f-2f32b65301f9.PDF,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-18/e1ce7b05-0a5c-4746-bb9f-2f32b65301f9.PDF,data/raw/002028.SZ/2025/annual_report.pdf,ba7058e704759a6e59b21f5d4340dd8082eeec24839354bfece02c2ed4558ecd,12340393
002028.SZ,思源电气,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-18/e5e14a33-220c-4363-950a-cf7a05fec667.PDF,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-18/e5e14a33-220c-4363-950a-cf7a05fec667.PDF,data/raw/002028.SZ/2025/esg_report.pdf,60d9714b6cec8d9955452f6d0d63db6e5f9cee891e6783ae7d6f9c8cd4a0ec8c,33974259
002441.SZ,众业达,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-18/624c799e-37c4-4078-99e7-11d97fcd6979.PDF,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-18/624c799e-37c4-4078-99e7-11d97fcd6979.PDF,data/raw/002441.SZ/2025/annual_report.pdf,e352573e6bd02f0126b801f03fbc3950a0667c6c497f13ab6f27ba4c67ed4849,4232436
002459.SZ,晶澳科技,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/a57bca74-1249-448c-bac4-ac61901740f1.PDF,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/a57bca74-1249-448c-bac4-ac61901740f1.PDF,data/raw/002459.SZ/2025/annual_report.pdf,086bd3fdb3e8afb73491c0cc273bc90d2f3b17b55b6408da99c2d45c1979aa84,9598892
002459.SZ,晶澳科技,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/4047f072-230c-4aec-b4b8-ae5e6c23ed92.PDF,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/4047f072-230c-4aec-b4b8-ae5e6c23ed92.PDF,data/raw/002459.SZ/2025/esg_report.pdf,4966e20bc297305cd887c9a50c1d34615c07b39bc69b878400e0ee529a1d3504,36701963
002506.SZ,协鑫集成,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/4459191c-6588-4d4d-9a3b-7e2d087332e9.PDF,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/4459191c-6588-4d4d-9a3b-7e2d087332e9.PDF,data/raw/002506.SZ/2025/esg_report.pdf,f5e41edb8093ae24624061659015ccfac17bf470e36fdef6f330efa89c6c203a,15196910
002531.SZ,天顺风能,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-31/60b7eb01-31c1-4e48-b111-af7537a9ae90.PDF,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-31/60b7eb01-31c1-4e48-b111-af7537a9ae90.PDF,data/raw/002531.SZ/2025/esg_report.pdf,bb8117c128350a1d7bb85424fa780847fafaba9f071e848422f36959085dbef2,67512537
002576.SZ,通达动力,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-31/eac49b2e-9e2a-48f8-aaac-9f72ccb11094.PDF,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-31/eac49b2e-9e2a-48f8-aaac-9f72ccb11094.PDF,data/raw/002576.SZ/2025/annual_report.pdf,a66dded00279edd8d80be89a6013ed5e0b0af2653c04c271872a0f4bfd17fc09,2279202
002629.SZ,仁智股份,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-16/5ad4bb98-7d13-4684-a8ce-2783d973548a.PDF,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-16/5ad4bb98-7d13-4684-a8ce-2783d973548a.PDF,data/raw/002629.SZ/2025/annual_report.pdf,62356aec10a50d57961b8866fcfb0ba83f4602168d641242295458d84f6e2222,1068356
002706.SZ,良信股份,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-11/958be8bb-584f-4124-961a-7b81184348d4.PDF,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-11/958be8bb-584f-4124-961a-7b81184348d4.PDF,data/raw/002706.SZ/2025/esg_report.pdf,38fdab8456759d2d88fe2ddde3dc0b66167e2d228d2791b375f0233e47e9140b,27743264
002812.SZ,恩捷股份,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-23/b3b3b2cc-1912-4850-a013-1db6c99bfd72.PDF,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-23/b3b3b2cc-1912-4850-a013-1db6c99bfd72.PDF,data/raw/002812.SZ/2025/annual_report.pdf,99206da4fa5fe3aea264af0e17b41dc69a2cdaa1292ecd6f1d61927eb347f685,1548364
002851.SZ,麦格米特,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/43d7d7d2-7f30-47f6-a047-5b8a77e4162a.PDF,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/43d7d7d2-7f30-47f6-a047-5b8a77e4162a.PDF,data/raw/002851.SZ/2025/annual_report.pdf,ff5fbc67efad276dd0525b9dfe77f0e56c7ee402061c468c479a2b18f3bc8b03,20640463
003816.SZ,中国广核,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-26/9ab2d2e1-0fbc-43a7-98ea-7f8e02043b16.PDF,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-26/9ab2d2e1-0fbc-43a7-98ea-7f8e02043b16.PDF,data/raw/003816.SZ/2025/annual_report.pdf,623dee5b33e6215a4a7aed42edb13337ea0a7b023688014dd87f286c5a4c4255,4209620
300001.SZ,特锐德,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-09/d4d8b614-35bc-4f5a-ad6d-38fee5fd4ba8.PDF,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-09/d4d8b614-35bc-4f5a-ad6d-38fee5fd4ba8.PDF,data/raw/300001.SZ/2025/esg_report.pdf,1fec8b1d3afeb0516d39fcea0df2116167eaffe95cb59ada7a88b64f6ef83037,34853228
300207.SZ,欣旺达,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-24/45d6ae3e-6fea-40f6-87e8-df0d65a12052.PDF,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-24/45d6ae3e-6fea-40f6-87e8-df0d65a12052.PDF,data/raw/300207.SZ/2025/esg_report.pdf,2a82b19b176341e64b2d0c66fed98de218d5fabadcd63bfc846a53bff11acff4,27171617
300274.SZ,阳光电源,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-01/81f0821a-02a0-447f-ac41-73f0805ba1b1.PDF,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-01/81f0821a-02a0-447f-ac41-73f0805ba1b1.PDF,data/raw/300274.SZ/2025/annual_report.pdf,81e61708dfe569a1c6ec947934824750998c9deca8bc8fd62acfd8eac8e87d7a,5934773
300274.SZ,阳光电源,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/c5e18435-285a-4033-b754-c92e9a566f34.PDF,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/c5e18435-285a-4033-b754-c92e9a566f34.PDF,data/raw/300274.SZ/2025/esg_report.pdf,7f481c4941959a31ed510cceb87b76a65d78cfd73da287b0bc3501c948c3204e,47545868
300360.SZ,炬华科技,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/244b829b-72ec-407e-97c5-9d9aed8f8d7a.PDF,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/244b829b-72ec-407e-97c5-9d9aed8f8d7a.PDF,data/raw/300360.SZ/2025/annual_report.pdf,6ff08e37bf069f6f3a1c3764b20ee9021d4d9e93ce3808c3e0da23b9173c0e45,1171271
300776.SZ,帝尔激光,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-31/f300ad54-b80a-4083-b8c6-31978e618e90.PDF,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-31/f300ad54-b80a-4083-b8c6-31978e618e90.PDF,data/raw/300776.SZ/2025/annual_report.pdf,94b9e4b4bb74c581212f500ca680aafca2d4403619fc5add3dc3ce106702eded,1370599
300776.SZ,帝尔激光,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/0477fee1-fb54-42dd-87b4-3f1953aaaa9b.PDF,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/0477fee1-fb54-42dd-87b4-3f1953aaaa9b.PDF,data/raw/300776.SZ/2025/esg_report.pdf,93acb6f582504b7f4a2c8f4b82f3c50237596ace93eda5207411c30311964f84,60639472
300850.SZ,新强联,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-27/420d57c6-81e7-4f24-aff0-965f82f2988f.PDF,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-27/420d57c6-81e7-4f24-aff0-965f82f2988f.PDF,data/raw/300850.SZ/2025/esg_report.pdf,f9044f68f2d27e9dd9086961cddca41138452d7521152234e8d8c4f65574f555,25848392
300870.SZ,欧陆通,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-22/0ff40602-b230-465c-8318-2b3375833531.PDF,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-22/0ff40602-b230-465c-8318-2b3375833531.PDF,data/raw/300870.SZ/2025/annual_report.pdf,c0ada7889c66ef7d8ffc679251268d6caa5c19c6cae9da4372b36471865c89e1,1908636
300870.SZ,欧陆通,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-22/bc454829-76f8-46a7-b546-779b77b22b50.PDF,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-22/bc454829-76f8-46a7-b546-779b77b22b50.PDF,data/raw/300870.SZ/2025/esg_report.pdf,30ffc8bf265e73821cd6d85d649fd9fbbf00ab029b055dfbcc053aef481c597d,15928629
300880.SZ,迦南智能,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-21/281163ae-9832-4b46-9f78-ee015f085a6f.PDF,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-21/281163ae-9832-4b46-9f78-ee015f085a6f.PDF,data/raw/300880.SZ/2025/esg_report.pdf,fb59e32d806b3a8810238a6743d29323c8d1a95739370d62dd06280e089e1c31,9602271
301325.SZ,曼恩斯特,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/f6803551-f7de-4495-818a-c19825533c07.PDF,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/f6803551-f7de-4495-818a-c19825533c07.PDF,data/raw/301325.SZ/2025/esg_report.pdf,5ebf1c6695ad1774a6a2508f2aaf73a34f696841e1f1f130d0ad7336d365bef8,25200821
301386.SZ,未来电器,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-24/312e3e3e-a69e-4651-9baa-4cef44d9a873.pdf,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-24/312e3e3e-a69e-4651-9baa-4cef44d9a873.pdf,data/raw/301386.SZ/2025/annual_report.pdf,f58aadd6d28985baa48f31af7de1504a8840cf01841584d8b1683f74b7c9843d,1024324
301386.SZ,未来电器,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-24/ddccaa27-02a0-4fab-be44-9a2edf73f172.PDF,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-24/ddccaa27-02a0-4fab-be44-9a2edf73f172.PDF,data/raw/301386.SZ/2025/esg_report.pdf,babfd1e279d5447fbe761cbacbb4015ba2585252a7a1831b3226221a914ca555,26222803
600011.SH,华能国际,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-25/600011_20260325_CS0B.pdf,https://big5.sse.com.cn/site/cht/www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-25/600011_20260325_CS0B.pdf,data/raw/600011.SH/2025/annual_report.pdf,94d5af3bf6ca4db52511994dc55dcd291aafd1a7d39b7b9af505b815fa6de462,2146617
600167.SH,联美控股,2025,esg_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-29/600167_20260429_VV2S.pdf,https://big5.sse.com.cn/site/cht/www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-29/600167_20260429_VV2S.pdf,data/raw/600167.SH/2025/esg_report.pdf,a26e3746f1d9662ce0d3c4649d71396417ee89328fd72e2867e6b5436f50248d,9651357
600207.SH,安彩高科,2025,esg_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-18/600207_20260418_OEBF.pdf,https://big5.sse.com.cn/site/cht/www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-18/600207_20260418_OEBF.pdf,data/raw/600207.SH/2025/esg_report.pdf,c6511a38378eaf07f95f549f17a7750f577e1a647e763beb84b4288ffddbe2b5,25306084
600346.SH,恒力石化,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-15/600346_20260415_SQ4O.pdf,https://big5.sse.com.cn/site/cht/www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-15/600346_20260415_SQ4O.pdf,data/raw/600346.SH/2025/annual_report.pdf,b57ad5156b19fd33556073983728c263d2e20ac5f954462e7c870225951e9e93,3197690
600346.SH,恒力石化,2025,esg_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-15/600346_20260415_0WCZ.pdf,https://big5.sse.com.cn/site/cht/www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-15/600346_20260415_0WCZ.pdf,data/raw/600346.SH/2025/esg_report.pdf,e5c3d54b9fa91ad9234daad085c05bfce5b137e69b274d19f15e57468eb4337c,32183338
