company_code,company_name,report_year,indicator_code,value,status,source_url,source_file,source_page,evidence_text,confidence
600900.SH,长江电力,2025,Q_S_ENV_INVEST_RATE,0.3164,confirmed,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-30/600900_20260430_0VWG.pdf,data/raw/600900.SH/2025/esg_report.pdf,,"由财务事实自动计算: environmental_investment,revenue",1.0
600900.SH,长江电力,2025,Q_S_RD_RATE,2.8465,confirmed,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-30/600900_20260430_WC8R.pdf,data/raw/600900.SH/2025/annual_report.pdf,,"由财务事实自动计算: rd_investment,revenue",1.0
600900.SH,长江电力,2025,Q_S_DONATION_RATE,0.3247,confirmed,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-30/600900_20260430_0VWG.pdf,data/raw/600900.SH/2025/esg_report.pdf,,"由财务事实自动计算: public_welfare_investment,revenue",1.0
600900.SH,长江电力,2025,Q_S_DIVIDEND_PER_SHARE,1,confirmed,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-30/600900_20260430_WC8R.pdf,data/raw/600900.SH/2025/annual_report.pdf,,"由财务事实自动计算: cash_dividend_total,total_shares",1.0
600900.SH,长江电力,2025,Q_G_ROE,15.3473,confirmed,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-30/600900_20260430_WC8R.pdf,data/raw/600900.SH/2025/annual_report.pdf,,"由财务事实自动计算: net_profit,equity_begin,equity_end",1.0
600900.SH,长江电力,2025,Q_G_ROA,9.1044,confirmed,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-30/600900_20260430_WC8R.pdf,data/raw/600900.SH/2025/annual_report.pdf,,"由财务事实自动计算: ebit,assets_begin,assets_end",1.0
600900.SH,长江电力,2025,Q_G_OPERATING_MARGIN,49.3952,confirmed,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-30/600900_20260430_WC8R.pdf,data/raw/600900.SH/2025/annual_report.pdf,,"由财务事实自动计算: operating_profit,revenue",1.0
600900.SH,长江电力,2025,Q_G_COST_REVENUE_RATE,56.546,confirmed,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-30/600900_20260430_WC8R.pdf,data/raw/600900.SH/2025/annual_report.pdf,84,"由财务事实自动计算: cost_expense_total,revenue",1.0
600900.SH,长江电力,2025,Q_G_ASSET_TURNOVER,0.1532,confirmed,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-30/600900_20260430_WC8R.pdf,data/raw/600900.SH/2025/annual_report.pdf,,"由财务事实自动计算: revenue,assets_begin,assets_end",1.0
600900.SH,长江电力,2025,Q_G_AR_TURNOVER,10.4041,confirmed,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-30/600900_20260430_WC8R.pdf,data/raw/600900.SH/2025/annual_report.pdf,,"由财务事实自动计算: revenue,accounts_receivable_gross_begin,accounts_receivable_gross_end",1.0
600900.SH,长江电力,2025,Q_G_CURRENT_ASSET_TURNOVER,5.5648,confirmed,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-30/600900_20260430_WC8R.pdf,data/raw/600900.SH/2025/annual_report.pdf,,"由财务事实自动计算: revenue,current_assets_begin,current_assets_end",1.0
600900.SH,长江电力,2025,Q_G_TWO_FUNDS_RATE,58.6617,confirmed,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-30/600900_20260430_WC8R.pdf,data/raw/600900.SH/2025/annual_report.pdf,80,"由财务事实自动计算: accounts_receivable_end,inventory_end,current_assets_end",1.0
600900.SH,长江电力,2025,Q_G_DEBT_ASSET_RATE,58.2695,confirmed,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-30/600900_20260430_WC8R.pdf,data/raw/600900.SH/2025/annual_report.pdf,81,"由财务事实自动计算: liabilities_end,assets_end",1.0
600900.SH,长江电力,2025,Q_G_EBITDA_INTEREST,5.3896,confirmed,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-30/600900_20260430_WC8R.pdf,data/raw/600900.SH/2025/annual_report.pdf,84,"由财务事实自动计算: ebit,interest_expense",1.0
600900.SH,长江电力,2025,Q_G_QUICK_RATIO,10.8893,confirmed,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-30/600900_20260430_WC8R.pdf,data/raw/600900.SH/2025/annual_report.pdf,,"由财务事实自动计算: quick_assets_end,current_liabilities_end",1.0
600900.SH,长江电力,2025,Q_G_CASH_CURRENT_LIABILITY,50.919,confirmed,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-30/600900_20260430_WC8R.pdf,data/raw/600900.SH/2025/annual_report.pdf,,"由财务事实自动计算: operating_cashflow_net,current_liabilities_end",1.0
600900.SH,长江电力,2025,Q_G_REVENUE_GROWTH,2.0713,confirmed,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-30/600900_20260430_WC8R.pdf,data/raw/600900.SH/2025/annual_report.pdf,84,"由财务事实自动计算: revenue,revenue_previous",1.0
600900.SH,长江电力,2025,Q_G_CAPITAL_ACCUMULATION,5.0776,confirmed,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-30/600900_20260430_WC8R.pdf,data/raw/600900.SH/2025/annual_report.pdf,82,"由财务事实自动计算: equity_begin,equity_end",1.0
