evaluation_year,report_year,historical_rank,stock_code,company_abbr,company_name,contact_name,company_city,exchange,st_flag,current_snapshot_status,historical_esg_score,source_file,source_value_row,source_score_row
2024,2023,1,300274.SZ,阳光电源,阳光电源股份有限公司,李天平,合肥,SZSE,False,matched,71.98,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,3,4
2024,2023,2,02688.HK,新奥能源,新奥能源控股有限公司,马燕,廊坊,HKEX,False,not_applicable,70.01,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,5,6
2024,2023,3,600900.SH,长江电力,中国长江电力股份有限公司,马燕,武汉,SSE,False,matched,69.36,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,7,8
2024,2023,4,000400.SZ,许继电气,许继电气股份有限公司,马燕,许昌,SZSE,False,matched,68.89,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,9,10
2024,2023,5,600956.SH,新天绿能,新天绿色能源股份有限公司,李天平,石家庄,SSE,False,matched,67.92,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,11,12
2024,2023,6,01600.HK,天伦燃气,天伦燃气控股有限公司,马燕,郑州,HKEX,False,not_applicable,66.78,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,13,14
2024,2023,7,00135.HK,昆仑能源,昆仑能源有限公司,李天平,,HKEX,False,not_applicable,66.37,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,15,16
2024,2023,8,00384.HK,中国燃气,中国燃气控股有限公司,马燕,深圳,HKEX,False,not_applicable,65.97,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,17,18
2024,2023,9,600438.SH,通威股份,通威股份有限公司,李天平,成都,SSE,False,matched,65.13,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,19,20
2024,2023,10,03868.HK,信义能源,信义能源控股有限公司,马燕,芜湖,HKEX,False,not_applicable,64.51,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,21,22
2024,2023,11,00686.HK,北京能源国际,北京能源国际控股有限公司,李天平,,HKEX,False,not_applicable,64.12,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,23,24
2024,2023,12,688599.SH,天合光能,天合光能股份有限公司,马燕,常州,SSE,False,matched,63.29,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,25,26
2024,2023,13,600406.SH,国电南瑞,国电南瑞科技股份有限公司,李天平,南京,SSE,False,matched,62.6,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,27,28
2024,2023,14,01798.HK,大唐新能源,中国大唐集团新能源股份有限公司,马燕,北京,HKEX,False,not_applicable,62.17,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,29,30
2024,2023,15,03633.HK,中裕能源,中裕能源控股有限公司,李天平,,HKEX,False,not_applicable,62.12,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,31,32
2024,2023,16,002459.SZ,晶澳科技,晶澳太阳能科技股份有限公司,李天平,,SZSE,False,matched,61.94,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,33,34
2024,2023,17,600732.SH,爱旭股份,上海爱旭新能源股份有限公司,马燕,义乌,SSE,False,matched,61.67,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,35,36
2024,2023,18,688390.SH,固德威,固德威技术股份有限公司,马燕,苏州,SSE,False,matched,61.62,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,37,38
2024,2023,19,601615.SH,明阳智能,明阳智慧能源集团股份公司,李天平,,SSE,False,matched,61.05,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,39,40
2024,2023,20,688676.SH,金盘科技,海南金盘智能科技股份有限公司,马燕,海口,SSE,False,matched,60.86,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,41,42
2024,2023,21,002129.SZ,TCL中环,TCL中环新能源科技股份有限公司,李天平,天津,SZSE,False,matched,60.4,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,43,44
2024,2023,22,601727.SH,上海电气,上海电气集团股份有限公司,马燕,上海,SSE,False,matched,60.17,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,45,46
2024,2023,23,00852.HK,海峡石油化工,海峡石油化工控股有限公司,李天平,,HKEX,False,not_applicable,59.92,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,47,48
2024,2023,24,06828.HK,北京燃气蓝天,北京燃气蓝天控股有限公司,马燕,北京,HKEX,False,not_applicable,59.9,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,49,50
2024,2023,25,600875.SH,东方电气,东方电气股份有限公司,李天平,,SSE,False,matched,59.84,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,51,52
2024,2023,26,03899.HK,中集安瑞科,中集安瑞科控股有限公司,马燕,深圳,HKEX,False,not_applicable,59.79,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,53,54
2024,2023,27,01083.HK,港华智慧能源,港华智慧能源有限公司,李天平,,HKEX,False,not_applicable,59.78,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,55,56
