evaluation_year,report_year,stock_code,company_name,indicator_code,source_indicator_name,raw_value,historical_score,source_file,source_value_row,source_score_row
2024,2023,300274.SZ,阳光电源股份有限公司,Q_E_GHG_INTENSITY,温室气体排放强度,10.75,10.79,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,3,4
2024,2023,300274.SZ,阳光电源股份有限公司,Q_E_ENERGY_INTENSITY,综合能源消耗强度,3.58,8.42,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,3,4
2024,2023,300274.SZ,阳光电源股份有限公司,Q_E_NOX_INTENSITY,NOx,0,0,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,3,4
2024,2023,300274.SZ,阳光电源股份有限公司,Q_E_SO2_INTENSITY,SO2,0,0,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,3,4
2024,2023,300274.SZ,阳光电源股份有限公司,Q_E_WATER_INTENSITY,新鲜水资源消耗强度,78.67,2.47,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,3,4
2024,2023,300274.SZ,阳光电源股份有限公司,Q_E_GENERAL_WASTE_INTENSITY,一般固废排放强度,0.44,2.99,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,3,4
2024,2023,300274.SZ,阳光电源股份有限公司,H_ENV_SAFETY_INVEST_RATE,环保/安全生产投入占比,0.11,0.06,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,3,4
2024,2023,300274.SZ,阳光电源股份有限公司,Q_S_RD_RATE,研发费用占比,4.2,0.27,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,3,4
2024,2023,300274.SZ,阳光电源股份有限公司,Q_S_DIVIDEND_PER_SHARE,现金分红,0.22,0.14,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,3,4
2024,2023,300274.SZ,阳光电源股份有限公司,Q_G_DEBT_ASSET_RATE,资产负债率,67.97,1.6,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,3,4
2024,2023,02688.HK,新奥能源控股有限公司,Q_E_GHG_INTENSITY,温室气体排放强度,20.9,9.08,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,5,6
2024,2023,02688.HK,新奥能源控股有限公司,Q_E_ENERGY_INTENSITY,综合能源消耗强度,6.97,8.25,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,5,6
2024,2023,02688.HK,新奥能源控股有限公司,Q_E_NOX_INTENSITY,NOx,4.55,2.89,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,5,6
2024,2023,02688.HK,新奥能源控股有限公司,Q_E_SO2_INTENSITY,SO2,1,2.93,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,5,6
2024,2023,02688.HK,新奥能源控股有限公司,Q_E_WATER_INTENSITY,新鲜水资源消耗强度,169.84,2.16,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,5,6
2024,2023,02688.HK,新奥能源控股有限公司,Q_E_GENERAL_WASTE_INTENSITY,一般固废排放强度,0.23,3.22,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,5,6
2024,2023,02688.HK,新奥能源控股有限公司,H_ENV_SAFETY_INVEST_RATE,环保/安全生产投入占比,0,0,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,5,6
2024,2023,02688.HK,新奥能源控股有限公司,Q_S_RD_RATE,研发费用占比,0,0,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,5,6
2024,2023,02688.HK,新奥能源控股有限公司,Q_S_DIVIDEND_PER_SHARE,现金分红,2.6,0.93,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,5,6
2024,2023,02688.HK,新奥能源控股有限公司,Q_G_DEBT_ASSET_RATE,资产负债率,55.49,2.1,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,5,6
2024,2023,600900.SH,中国长江电力股份有限公司,Q_E_GHG_INTENSITY,温室气体排放强度,4.13,11.5,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,7,8
2024,2023,600900.SH,中国长江电力股份有限公司,Q_E_ENERGY_INTENSITY,综合能源消耗强度,0.98,8.6,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,7,8
2024,2023,600900.SH,中国长江电力股份有限公司,Q_E_NOX_INTENSITY,NOx,0,0,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,7,8
2024,2023,600900.SH,中国长江电力股份有限公司,Q_E_SO2_INTENSITY,SO2,0,0,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,7,8
2024,2023,600900.SH,中国长江电力股份有限公司,Q_E_WATER_INTENSITY,新鲜水资源消耗强度,0,0,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,7,8
2024,2023,600900.SH,中国长江电力股份有限公司,Q_E_GENERAL_WASTE_INTENSITY,一般固废排放强度,1.21,2.96,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,7,8
2024,2023,600900.SH,中国长江电力股份有限公司,H_ENV_SAFETY_INVEST_RATE,环保/安全生产投入占比,0.15,0.07,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,7,8
2024,2023,600900.SH,中国长江电力股份有限公司,Q_S_RD_RATE,研发费用占比,0.17,0.06,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,7,8
2024,2023,600900.SH,中国长江电力股份有限公司,Q_S_DIVIDEND_PER_SHARE,现金分红,0.88,0.36,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,7,8
2024,2023,600900.SH,中国长江电力股份有限公司,Q_G_DEBT_ASSET_RATE,资产负债率,40.19,2.31,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,7,8
2024,2023,000400.SZ,许继电气股份有限公司,Q_E_GHG_INTENSITY,温室气体排放强度,14.43,10.76,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,9,10
2024,2023,000400.SZ,许继电气股份有限公司,Q_E_ENERGY_INTENSITY,综合能源消耗强度,4.35,8.38,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,9,10
2024,2023,000400.SZ,许继电气股份有限公司,Q_E_NOX_INTENSITY,NOx,0.2,3.24,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,9,10
2024,2023,000400.SZ,许继电气股份有限公司,Q_E_SO2_INTENSITY,SO2,0.01,3.3,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,9,10
2024,2023,000400.SZ,许继电气股份有限公司,Q_E_WATER_INTENSITY,新鲜水资源消耗强度,195.07,2.11,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,9,10
2024,2023,000400.SZ,许继电气股份有限公司,Q_E_GENERAL_WASTE_INTENSITY,一般固废排放强度,3.32,2.79,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,9,10
2024,2023,000400.SZ,许继电气股份有限公司,H_ENV_SAFETY_INVEST_RATE,环保/安全生产投入占比,0.14,0.07,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,9,10
2024,2023,000400.SZ,许继电气股份有限公司,Q_S_RD_RATE,研发费用占比,4.93,0.31,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,9,10
2024,2023,000400.SZ,许继电气股份有限公司,Q_S_DIVIDEND_PER_SHARE,现金分红,0.14,0.11,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,9,10
2024,2023,000400.SZ,许继电气股份有限公司,Q_G_DEBT_ASSET_RATE,资产负债率,42.47,2.33,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,9,10
2024,2023,600956.SH,新天绿色能源股份有限公司,Q_E_GHG_INTENSITY,温室气体排放强度,10.89,10.79,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,11,12
2024,2023,600956.SH,新天绿色能源股份有限公司,Q_E_ENERGY_INTENSITY,综合能源消耗强度,2.75,8.46,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,11,12
2024,2023,600956.SH,新天绿色能源股份有限公司,Q_E_NOX_INTENSITY,NOx,3.24,2.93,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,11,12
2024,2023,600956.SH,新天绿色能源股份有限公司,Q_E_SO2_INTENSITY,SO2,0.01,3.3,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,11,12
2024,2023,600956.SH,新天绿色能源股份有限公司,Q_E_WATER_INTENSITY,新鲜水资源消耗强度,0,0,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,11,12
2024,2023,600956.SH,新天绿色能源股份有限公司,Q_E_GENERAL_WASTE_INTENSITY,一般固废排放强度,0.01,3.3,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,11,12
2024,2023,600956.SH,新天绿色能源股份有限公司,H_ENV_SAFETY_INVEST_RATE,环保/安全生产投入占比,0.48,0.18,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,11,12
2024,2023,600956.SH,新天绿色能源股份有限公司,Q_S_RD_RATE,研发费用占比,2.3,0.17,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,11,12
2024,2023,600956.SH,新天绿色能源股份有限公司,Q_S_DIVIDEND_PER_SHARE,现金分红,0.19,0.13,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,11,12
2024,2023,600956.SH,新天绿色能源股份有限公司,Q_G_DEBT_ASSET_RATE,资产负债率,67.46,1.62,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,11,12
2024,2023,01600.HK,天伦燃气控股有限公司,Q_E_GHG_INTENSITY,温室气体排放强度,51.56,7.12,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,13,14
2024,2023,01600.HK,天伦燃气控股有限公司,Q_E_ENERGY_INTENSITY,综合能源消耗强度,13.35,7.87,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,13,14
2024,2023,01600.HK,天伦燃气控股有限公司,Q_E_NOX_INTENSITY,NOx,1.82,2.98,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,13,14
2024,2023,01600.HK,天伦燃气控股有限公司,Q_E_SO2_INTENSITY,SO2,0,0,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,13,14
2024,2023,01600.HK,天伦燃气控股有限公司,Q_E_WATER_INTENSITY,新鲜水资源消耗强度,150.76,2.2,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,13,14
2024,2023,01600.HK,天伦燃气控股有限公司,Q_E_GENERAL_WASTE_INTENSITY,一般固废排放强度,0.71,2.98,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,13,14
2024,2023,01600.HK,天伦燃气控股有限公司,H_ENV_SAFETY_INVEST_RATE,环保/安全生产投入占比,0.68,0.25,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,13,14
2024,2023,01600.HK,天伦燃气控股有限公司,Q_S_RD_RATE,研发费用占比,0,0,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,13,14
2024,2023,01600.HK,天伦燃气控股有限公司,Q_S_DIVIDEND_PER_SHARE,现金分红,0.16,0.12,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,13,14
2024,2023,01600.HK,天伦燃气控股有限公司,Q_G_DEBT_ASSET_RATE,资产负债率,63.51,1.78,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,13,14
2024,2023,00135.HK,昆仑能源有限公司,Q_E_GHG_INTENSITY,温室气体排放强度,90.09,6.54,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,15,16
2024,2023,00135.HK,昆仑能源有限公司,Q_E_ENERGY_INTENSITY,综合能源消耗强度,20.14,7.55,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,15,16
2024,2023,00135.HK,昆仑能源有限公司,Q_E_NOX_INTENSITY,NOx,26.16,2.48,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,15,16
2024,2023,00135.HK,昆仑能源有限公司,Q_E_SO2_INTENSITY,SO2,1.05,2.93,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,15,16
2024,2023,00135.HK,昆仑能源有限公司,Q_E_WATER_INTENSITY,新鲜水资源消耗强度,278.64,1.94,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,15,16
2024,2023,00135.HK,昆仑能源有限公司,Q_E_GENERAL_WASTE_INTENSITY,一般固废排放强度,1.69,2.94,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,15,16
2024,2023,00135.HK,昆仑能源有限公司,H_ENV_SAFETY_INVEST_RATE,环保/安全生产投入占比,0.98,0.35,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,15,16
2024,2023,00135.HK,昆仑能源有限公司,Q_S_RD_RATE,研发费用占比,0,0,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,15,16
2024,2023,00135.HK,昆仑能源有限公司,Q_S_DIVIDEND_PER_SHARE,现金分红,0.25,0.15,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,15,16
2024,2023,00135.HK,昆仑能源有限公司,Q_G_DEBT_ASSET_RATE,资产负债率,41.9,2.33,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,15,16
2024,2023,00384.HK,中国燃气控股有限公司,Q_E_GHG_INTENSITY,温室气体排放强度,41.94,8.07,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,17,18
2024,2023,00384.HK,中国燃气控股有限公司,Q_E_ENERGY_INTENSITY,综合能源消耗强度,16.18,7.6,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,17,18
2024,2023,00384.HK,中国燃气控股有限公司,Q_E_NOX_INTENSITY,NOx,16.52,2.61,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,17,18
2024,2023,00384.HK,中国燃气控股有限公司,Q_E_SO2_INTENSITY,SO2,1.18,2.93,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,17,18
2024,2023,00384.HK,中国燃气控股有限公司,Q_E_WATER_INTENSITY,新鲜水资源消耗强度,342.07,1.82,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,17,18
2024,2023,00384.HK,中国燃气控股有限公司,Q_E_GENERAL_WASTE_INTENSITY,一般固废排放强度,2.79,2.8,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,17,18
2024,2023,00384.HK,中国燃气控股有限公司,H_ENV_SAFETY_INVEST_RATE,环保/安全生产投入占比,0,0,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,17,18
2024,2023,00384.HK,中国燃气控股有限公司,Q_S_RD_RATE,研发费用占比,0,0,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,17,18
2024,2023,00384.HK,中国燃气控股有限公司,Q_S_DIVIDEND_PER_SHARE,现金分红,0.37,0.19,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,17,18
2024,2023,00384.HK,中国燃气控股有限公司,Q_G_DEBT_ASSET_RATE,资产负债率,58.81,1.97,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,17,18
2024,2023,600438.SH,通威股份有限公司,Q_E_GHG_INTENSITY,温室气体排放强度,771.51,3.06,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,19,20
2024,2023,600438.SH,通威股份有限公司,Q_E_ENERGY_INTENSITY,综合能源消耗强度,178.01,4.05,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,19,20
2024,2023,600438.SH,通威股份有限公司,Q_E_NOX_INTENSITY,NOx,15.32,2.63,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,19,20
2024,2023,600438.SH,通威股份有限公司,Q_E_SO2_INTENSITY,SO2,0.71,2.94,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,19,20
2024,2023,600438.SH,通威股份有限公司,Q_E_WATER_INTENSITY,新鲜水资源消耗强度,3360.03,0.53,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,19,20
2024,2023,600438.SH,通威股份有限公司,Q_E_GENERAL_WASTE_INTENSITY,一般固废排放强度,29.26,0.7,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,19,20
