序号,证券代码,公司简称,ESG分值,来源PDF页,说明
1,600900.SH,长江电力,71.41,65,PDF榜单人工核验摘录
2,600995.SH,南网储能,66.62,65,PDF榜单人工核验摘录
3,02688.HK,新奥能源,66.33,65,PDF榜单人工核验摘录
4,300274.SZ,阳光电源,65.39,65,PDF榜单人工核验摘录
5,601567.SH,三星医疗电气,65.12,65,PDF榜单人工核验摘录
6,00135.HK,昆仑能源,64.46,65,PDF榜单人工核验摘录
7,002911.SZ,佛燃能源,63.23,65,PDF榜单人工核验摘录
8,00686.HK,北京能源国际,63.15,65,PDF榜单人工核验摘录
9,688676.SH,金盘科技,63.03,65,PDF榜单人工核验摘录
10,600339.SH,中油工程,62.63,65,PDF榜单人工核验摘录
11,688408.SH,中信博,62.57,65,PDF榜单人工核验摘录
12,600406.SH,国电南瑞,62.38,65,PDF榜单人工核验摘录
13,000400.SZ,许继电气,62.31,65,PDF榜单人工核验摘录
14,688248.SH,南网科技,61.86,65,PDF榜单人工核验摘录
15,600968.SH,海油发展,61.72,65,PDF榜单人工核验摘录
16,603031.SH,安孚科技,61.34,65,PDF榜单人工核验摘录
17,603606.SH,东方电缆,61.29,65,PDF榜单人工核验摘录
18,01193.HK,华润燃气,61.18,65,PDF榜单人工核验摘录
19,301327.SZ,华宝新能,61.17,65,PDF榜单人工核验摘录
19,601877.SH,正泰电器,61.17,65,PDF榜单人工核验摘录
20,002706.SZ,良信股份,61.00,65,PDF榜单人工核验摘录
21,601126.SH,四方股份,60.99,65,PDF榜单人工核验摘录
22,600885.SH,宏发股份,60.83,65,PDF榜单人工核验摘录
23,600956.SH/00956.HK,新天绿能,60.50,65,PDF榜单人工核验摘录
24,601179.SH,中国西电,60.37,65,PDF榜单人工核验摘录
25,603050.SH,科林电气,60.19,65,PDF榜单人工核验摘录
25,01083.HK,港华智慧能源,60.19,65,PDF榜单人工核验摘录
26,600821.SH,金开新能,60.10,65,PDF榜单人工核验摘录
27,600875.SH/01072.HK,东方电气,60.09,65,PDF榜单人工核验摘录
28,01713.HK,四川能投发展,59.70,65,PDF榜单人工核验摘录
29,605117.SH,德业股份,59.69,65,PDF榜单人工核验摘录
30,601666.SH,平煤股份,59.50,65,PDF榜单人工核验摘录
31,001208.SZ,华菱线缆,59.40,65,PDF榜单人工核验摘录
32,688155.SH,先惠技术,59.28,65,PDF榜单人工核验摘录
33,600803.SH,新奥股份,59.27,65,PDF榜单人工核验摘录
34,601616.SH,广电电气,59.14,65,PDF榜单人工核验摘录
35,600236.SH,桂冠电力,59.08,65,PDF榜单人工核验摘录
35,002534.SZ,西子洁能,59.08,65,PDF榜单人工核验摘录
