company_name,listing_date,old_code,new_code
无锡鼎邦,2024/4/8,872931.BJ,920931.BJ
芭薇股份,2024/3/29,837023.BJ,920123.BJ
戈碧迦,2024/3/25,835438.BJ,920438.BJ
铁拓机械,2024/3/8,873706.BJ,920706.BJ
海昇药业,2024/2/2,870656.BJ,920656.BJ
许昌智能,2024/1/26,831396.BJ,920496.BJ
康农种业,2024/1/18,837403.BJ,920403.BJ
云星宇,2024/1/11,873806.BJ,920806.BJ
捷众科技,2024/1/5,873690.BJ,920690.BJ
莱赛激光,2023/12/28,871263.BJ,920363.BJ
西磁科技,2023/12/21,836961.BJ,920061.BJ
灵鸽科技,2023/12/19,833284.BJ,920284.BJ
派诺科技,2023/12/14,831175.BJ,920375.BJ
无锡晶海,2023/12/12,836547.BJ,920547.BJ
广厦环能,2023/12/5,873703.BJ,920703.BJ
机科股份,2023/11/30,835579.BJ,920579.BJ
坤博精工,2023/11/23,873570.BJ,920570.BJ
纳科诺尔,2023/11/16,832522.BJ,920522.BJ
泰鹏智能,2023/11/16,873132.BJ,920132.BJ
前进科技,2023/11/10,873679.BJ,920679.BJ
美心翼申,2023/11/8,873833.BJ,920833.BJ
立方控股,2023/11/2,833030.BJ,920130.BJ
并行科技,2023/11/1,839493.BJ,920493.BJ
阿为特,2023/10/27,873693.BJ,920693.BJ
卓兆点胶,2023/10/19,873726.BJ,920026.BJ
骑士乳业,2023/10/13,832786.BJ,920786.BJ
开特股份,2023/9/28,832978.BJ,920978.BJ
科强股份,2023/9/26,873665.BJ,920665.BJ
富恒新材,2023/9/18,832469.BJ,920469.BJ
万德股份,2023/9/15,836419.BJ,920519.BJ
力王股份,2023/9/7,831627.BJ,920627.BJ
视声智能,2023/9/1,870976.BJ,920976.BJ
国子软件,2023/8/23,872953.BJ,920953.BJ
宏裕包材,2023/8/18,837174.BJ,920274.BJ
博迅生物,2023/8/17,836504.BJ,920504.BJ
路桥信息,2023/8/16,837748.BJ,920748.BJ
华洋赛车,2023/8/10,834058.BJ,920058.BJ
鸿智科技,2023/8/8,870726.BJ,920926.BJ
锦波生物,2023/7/20,832982.BJ,920982.BJ
豪声电子,2023/7/19,838701.BJ,920701.BJ
惠同新材,2023/7/17,833751.BJ,920751.BJ
天力复合,2023/7/12,873576.BJ,920576.BJ
华信永道,2023/7/10,837592.BJ,920592.BJ
瑞星股份,2023/7/3,836717.BJ,920717.BJ
东方碳素,2023/6/30,832175.BJ,920175.BJ
青矩技术,2023/6/29,836208.BJ,920208.BJ
天罡股份,2023/6/27,832651.BJ,920651.BJ
汇隆活塞,2023/6/21,833455.BJ,920455.BJ
易实精密,2023/6/8,836221.BJ,920221.BJ
武汉蓝电,2023/6/1,830779.BJ,920779.BJ
星昊医药,2023/5/31,430017.BJ,920017.BJ
宁新新材,2023/5/26,839719.BJ,920719.BJ
美邦科技,2023/5/25,832471.BJ,920471.BJ
晟楠科技,2023/5/18,837006.BJ,920006.BJ
华原股份,2023/5/15,838837.BJ,920837.BJ
巨能股份,2023/5/12,871478.BJ,920578.BJ
海达尔,2023/5/9,836699.BJ,920699.BJ
民士达,2023/4/25,833394.BJ,920394.BJ
中裕科技,2023/4/24,871694.BJ,920694.BJ
旺成科技,2023/4/19,830896.BJ,920896.BJ
迪尔化工,2023/4/18,831304.BJ,920304.BJ
鼎智科技,2023/4/13,873593.BJ,920593.BJ
花溪科技,2023/4/6,872895.BJ,920895.BJ
一诺威,2023/4/3,834261.BJ,920261.BJ
东和新材,2023/3/30,839792.BJ,920792.BJ
安达科技,2023/3/23,830809.BJ,920809.BJ
雅达股份,2023/3/17,430556.BJ,920556.BJ
明阳科技,2023/3/15,837663.BJ,920663.BJ
康乐卫士,2023/3/15,833575.BJ,920575.BJ
百甲科技,2023/3/14,835857.BJ,920057.BJ
铁大科技,2023/3/10,872541.BJ,920541.BJ
凯大催化,2023/3/8,830974.BJ,920974.BJ
润普食品,2023/3/1,836422.BJ,920422.BJ
艾能聚,2023/2/28,834770.BJ,920770.BJ
峆一药业,2023/2/23,430478.BJ,920478.BJ
舜宇精工,2023/2/22,831906.BJ,920906.BJ
一致魔芋,2023/2/21,839273.BJ,920273.BJ
利尔达,2023/2/17,832149.BJ,920249.BJ
驰诚股份,2023/2/16,834407.BJ,920407.BJ
新赣江,2023/2/9,873167.BJ,920367.BJ
保丽洁,2023/2/6,832802.BJ,920802.BJ
田野股份,2023/2/2,832023.BJ,920023.BJ
乐创技术,2023/1/30,430425.BJ,920425.BJ
天宏锂电,2023/1/19,873152.BJ,920252.BJ
欧福蛋业,2023/1/18,839371.BJ,920371.BJ
迅安科技,2023/1/11,834950.BJ,920950.BJ
佳合科技,2022/12/30,872392.BJ,920392.BJ
太湖雪,2022/12/30,838262.BJ,920262.BJ
三祥科技,2022/12/30,831195.BJ,920195.BJ
浙江大农,2022/12/29,831855.BJ,920855.BJ
华光源海,2022/12/29,872351.BJ,920351.BJ
美登科技,2022/12/28,838227.BJ,920227.BJ
纬达光电,2022/12/27,873001.BJ,920001.BJ
瑞奇智造,2022/12/26,833781.BJ,920781.BJ
华密新材,2022/12/23,836247.BJ,920247.BJ
雷神科技,2022/12/23,872190.BJ,920190.BJ
合肥高科,2022/12/22,430718.BJ,920718.BJ
凯华材料,2022/12/22,831526.BJ,920526.BJ
九菱科技,2022/12/21,873305.BJ,920505.BJ
康普化学,2022/12/21,834033.BJ,920033.BJ
基康技术,2022/12/20,830879.BJ,920879.BJ
奔朗新材,2022/12/20,836807.BJ,920807.BJ
春光智能,2022/12/16,838810.BJ,920810.BJ
丰安股份,2022/12/16,870508.BJ,920608.BJ
康比特,2022/12/15,833429.BJ,920429.BJ
国航远洋,2022/12/15,833171.BJ,920571.BJ
汉维科技,2022/12/14,836957.BJ,920957.BJ
柏星龙,2022/12/14,833075.BJ,920075.BJ
特瑞斯,2022/12/13,834014.BJ,920014.BJ
欧普泰,2022/12/12,836414.BJ,920414.BJ
绿亨科技,2022/12/9,870866.BJ,920866.BJ
欧康医药,2022/12/9,833230.BJ,920230.BJ
恒立钻具,2022/12/8,836942.BJ,920942.BJ
辰光医疗,2022/12/7,430300.BJ,920300.BJ
秋乐种业,2022/12/7,831087.BJ,920087.BJ
雷特科技,2022/12/6,832110.BJ,920110.BJ
格利尔,2022/12/2,831641.BJ,920641.BJ
倍益康,2022/12/1,870199.BJ,920199.BJ
云里物里,2022/11/29,872374.BJ,920374.BJ
方盛股份,2022/11/28,832662.BJ,920662.BJ
力佳科技,2022/11/25,835237.BJ,920237.BJ
新威凌,2022/11/24,871634.BJ,920634.BJ
曙光数创,2022/11/18,872808.BJ,920808.BJ
雅葆轩,2022/11/18,870357.BJ,920357.BJ
恒太照明,2022/11/17,873339.BJ,920339.BJ
远航精密,2022/11/11,833914.BJ,920914.BJ
慧为智能,2022/11/9,832876.BJ,920876.BJ
天纺标,2022/10/31,871753.BJ,920753.BJ
华岭股份,2022/10/28,430139.BJ,920139.BJ
夜光明,2022/10/27,873527.BJ,920527.BJ
中科美菱,2022/10/18,835892.BJ,920992.BJ
海能技术,2022/10/14,430476.BJ,920476.BJ
亿能电力,2022/10/13,837046.BJ,920046.BJ
新芝生物,2022/10/10,430685.BJ,920685.BJ
硅烷科技,2022/9/28,838402.BJ,920402.BJ
天马新材,2022/9/27,838971.BJ,920971.BJ
中纺标,2022/9/27,873122.BJ,920122.BJ
众诚科技,2022/9/23,835207.BJ,920207.BJ
联迪信息,2022/9/2,839790.BJ,920790.BJ
天铭科技,2022/9/2,836270.BJ,920270.BJ
朗鸿科技,2022/9/1,836395.BJ,920395.BJ
昆工科技,2022/9/1,831152.BJ,920152.BJ
三维装备,2022/8/22,831834.BJ,920834.BJ
海泰新能,2022/8/8,835985.BJ,920985.BJ
派特尔,2022/7/22,836871.BJ,920871.BJ
惠丰钻石,2022/7/18,839725.BJ,920725.BJ
科润智控,2022/7/13,834062.BJ,920062.BJ
晨光电缆,2022/7/12,834639.BJ,920639.BJ
则成电子,2022/7/6,837821.BJ,920821.BJ
恒进感应,2022/7/5,838670.BJ,920870.BJ
优机股份,2022/6/24,833943.BJ,920943.BJ
泰德股份,2022/6/20,831278.BJ,920378.BJ
天润科技,2022/6/17,430564.BJ,920564.BJ
奥迪威,2022/6/14,832491.BJ,920491.BJ
灿能电力,2022/6/10,870299.BJ,920299.BJ
荣亿精密,2022/6/9,873223.BJ,920223.BJ
