stock_code,chinese_name,chinese_short_name,company_summary,hsic_industry,hsic_sub_sector,csic_classification,listing_category,primary_market,incorporation_place,profile_updated_at,source_url,evidence_status
02688.HK,新奧能源控股有限公司,新奧能源,新奧能源控股有限公司是一家主要從事銷售與分銷管道燃氣、液化天然氣（LNG）及其他多品類清潔能源產品的投資控股公司。該公司通過五個分部運營其業務。天然氣零售業務分部從事透過管道向客戶銷售天然氣以及營運汽車加氣站。泛能業務分部從事供應多種能源產品，如燃氣、電力、冷能、熱能及蒸汽。燃氣批發分部從事向批發客戶供應液化天然氣。工程安裝分部從事提供工程安裝服務。智家業務分部從事提供智家服務，包括廚房產品、供暖產品和安防產品等。該公司在國內和國外市場開展業務。,公用事業 - 公用事業,燃氣供應,,主要上市,,開曼群島,2026年7月29日09:48,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=2688,candidate
01600.HK,天倫燃氣控股有限公司,天倫燃氣,天倫燃氣控股有限公司是一家主要從事燃氣銷售和工程安裝服務的投資控股公司。該公司經營四個分部。天然氣零售業務分部主要向住宅用戶、工商業用戶、交通用戶等銷售天然氣。天然氣批發業務分部主要向城市燃氣企業直供及批發用戶銷售天然氣。工程安裝及服務分部主要從事燃氣管道接駁和工程建設業務。所有其他分部從事房地產的租賃及其他增值業務。該公司在國內市場開展其業務。,公用事業 - 公用事業,燃氣供應,,主要上市,,開曼群島,2026年7月29日09:48,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=1600,candidate
00135.HK,昆侖能源有限公司,昆侖能源,昆侖能源有限公司是一家主要從事天然氣銷售業務的投資控股公司。該公司通過四個分部運營。天然氣銷售分部主要從事天然氣產品的零售及分銷與貿易業務。液化石油氣銷售分部主要從事液化石油氣產品的批發與零售業務。液化天然氣加工與儲運分部主要從事液化天然氣加工、卸載、儲存、氣化及裝車業務。勘探與生產分部主要從事原油及天然氣之勘探、開發、生產和銷售業務。,公用事業 - 公用事業,燃氣供應,,主要上市,,百慕達,2026年7月29日09:48,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=135,candidate
00384.HK,中國燃氣控股有限公司,中國燃氣,中國燃氣控股有限公司是一家主要從事燃氣業務的投資控股公司。該公司通過六大分部運營。管道天然氣銷售分部從事通過城市與鄉鎮管網、貿易與直供管道來銷售管道天然氣。液化石油氣銷售分部向工業用戶和商業用戶分銷液化石油氣。燃氣接駁分部為客戶提供燃氣接駁服務。工程設計及施工分部從事燃氣管道建設業務。增值服務分部從事壁掛爐、廚房燃氣具、智能家居、波紋管、報警器和瓶裝水銷售業務。中裕燃氣分部主要從事天然氣銷售及燃氣管道建設業務。,公用事業 - 公用事業,燃氣供應,,主要上市,,百慕達,2026年7月29日09:48,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=384,candidate
03868.HK,信義能源控股有限公司,信義能源,信義能源控股有限公司是一家主要從事太陽能發電場的運營及管理的投資控股公司。通過其子公司，該公司運營兩個部門，包括電力銷售部門和電價調整部門。該公司的業務模式爲收購、擁有及管理大型地面集中式太陽能發電場項目，並於中國向兩家國有電網企業的當地附屬公司銷售電力。該公司在多個地方建立了光伏電站以及智能運維平臺，包括大數據平臺、智能管理平臺、視頻監控平臺、無人機巡檢以及自動清掃系統。該公司主要於中國國內市場開展業務。,公用事業 - 公用事業,非傳統/ 可再生能源,,主要上市,,英屬維爾京群島,2026年7月29日09:48,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=3868,candidate
00686.HK,北京能源國際控股有限公司,北京能源國際－新,北京能源國際控股有限公司（原名：熊猫綠色能源集團有限公司）是一家主要從事太陽能發電站業務的投資控股公司。該公司主要從事開發、投資、營運及管理太陽能發電站及其他可再生能源項目。可再生能源項目包括光伏、風電、水電等清潔能源的投資運營。該公司的旗下新能源項目遍佈全國及部分海外地區，包括內蒙、青海、寧夏、山西、湖北、新疆、甘肅、雲南、山東、江蘇、河北、廣東等地。,公用事業 - 公用事業,非傳統/ 可再生能源,,主要上市,,百慕達,2026年7月29日09:48,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=686,candidate
01798.HK,中國大唐集團新能源股份有限公司 - H股,大唐新能源,中國大唐集團新能源股份有限公司是一家主要從事風力及其他新能源的發電及售電業務的中國公司。該公司的主營業務包括風電等新能源的開發、投資、建設與管理；低碳技術的研發、應用與推廣；新能源相關設備的研製、銷售、檢測與維修；電力生產；境內外電力工程設計、施工安裝、檢修與維護；新能源設備與技術的進出口服務；對外投資；與新能源業務相關的諮詢服務等。,公用事業 - 公用事業,非傳統/ 可再生能源,,主要上市,,中華人民共和國,2026年7月29日09:48,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=1798,candidate
03633.HK,中裕能源控股有限公司,中裕能源,中裕能源控股有限公司(原名：中裕燃氣控股有限公司)是一家主要從事零售燃氣銷售的投資控股公司。該公司通過五個分部運營業務。零售燃氣銷售分部主要為工業客戶和住宅用戶提供燃氣銷售服務。燃氣管道建設分部主要為住宅項目提供燃氣管道建設服務。燃氣批發分部從事管道天然氣及液化天然氣的批發業務。增值服務分部從事銷售火爐及相關設備等業務。經營壓縮天然氣和液化天然氣汽車加氣站分部在中國從事運營壓縮天然氣和液化天然氣汽車加氣站業務。,公用事業 - 公用事業,燃氣供應,,主要上市,,開曼群島,2026年7月29日09:48,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=3633,candidate
06828.HK,北京燃氣藍天控股有限公司,北京燃氣藍天,北京燃氣藍天控股有限公司（原名：藍天威力控股有限公司）是一家主要從事天然氣天然氣貿易及配送的投資控股公司。該公司通過三個分部經營業務。天然氣貿易及配送分部從事壓縮天然氣、液化天然氣、燃油及其他相關油副產品的配送及銷售。天然氣加氣站分部從事壓縮天然氣、液化天然氣加氣站的運營。城市燃氣、管道接駁費、增值服務及其他分部從事天然氣銷售，提供維修及保養服務和管道建設服務。,公用事業 - 公用事業,燃氣供應,,主要上市,,百慕達,2026年7月29日09:48,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=6828,candidate
03899.HK,中集安瑞科控股有限公司,中集安瑞科,中集安瑞科控股有限公司是一家主要從事提供運輸、儲存、加工的關鍵裝備、工程服務及系統解決方案的公司。該公司運營三個分部。清潔能源分部從事製造及銷售用作儲存、運輸、應用、加工處理及配送天然氣、液化石油氣（LPG）及氫氣的設備及施工、為天然氣及氫氣行業提供設計、採購及安裝施工服務等業務。化工環境分部從事製造及銷售化學液體、化學氣體及粉末類化學品的儲運裝置等業務。液態食品分部從事儲存及加工液態食品的不鏽鋼儲罐的設計、製造及銷售等業務。該公司在國內和國外市場開展業務。,能源業 - 石油及天然氣,油氣設備與服務,,主要上市,,開曼群島,2026年7月29日09:48,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=3899,candidate
