company_code,company_name,report_year,indicator_code,value,status,source_url,source_file,source_page,evidence_text,confidence
00002.HK,CLP HOLDINGS,2025,Q_G_CAPITAL_ACCUMULATION,2.9043,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0311/2026031100298.pdf,data/raw/hkex_reports/00002.HK/2025/annual_report.pdf,233,"English consolidated statement derived: Total equity (c) 117,632 114,312",0.94
00002.HK,CLP HOLDINGS,2025,Q_G_ROE,10.9664,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0311/2026031100298.pdf,data/raw/hkex_reports/00002.HK/2025/annual_report.pdf,233,"English consolidated statements derived: Profit for the year 12,718 11,546 | Total equity (c) 117,632 114,312",0.94
00002.HK,CLP HOLDINGS,2025,Q_G_EBITDA_MARGIN,29.3248,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0311/2026031100298.pdf,data/raw/hkex_reports/00002.HK/2025/annual_report.pdf,166,"English consolidated statements derived: Profit for the year 12,718 11,546 | Income tax expense (2,821) (2,655) | Finance costs 6 (1,860) (2,254) | Depreciation and amortisation (9,276) (9,718) | Revenue 90,964 88,018",0.94
00002.HK,CLP HOLDINGS,2025,Q_G_REVENUE_GROWTH,3.347,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0311/2026031100298.pdf,data/raw/hkex_reports/00002.HK/2025/annual_report.pdf,17,"English consolidated income statement derived: Revenue 90,964 88,018",0.93
00003.HK,HK & CHINA GAS,0,Q_G_CAPITAL_ACCUMULATION,4.4719,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042801254.pdf,data/raw/hkex_reports/00003.HK/0/annual_report.pdf,120,"English consolidated statement derived: Total equity 71,389.3 68,333.5",0.94
00006.HK,POWER ASSETS,2025,Q_G_EBITDA_INTEREST,29.307,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0421/2026042100656.pdf,data/raw/hkex_reports/00006.HK/2025/annual_report.pdf,80,"English consolidated income statement derived: Profit before taxation 9 6,454 6,352 | Finance costs 8 (228) (169)",0.94
00006.HK,POWER ASSETS,2025,Q_G_REVENUE_GROWTH,-16.1045,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0421/2026042100656.pdf,data/raw/hkex_reports/00006.HK/2025/annual_report.pdf,80,English consolidated income statement derived: Revenue 4 771 919,0.93
00042.HK,NE ELECTRIC,2025,Q_G_EBITDA_INTEREST,-281.3219,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0429/2026042906260.pdf,data/raw/hkex_reports/00042.HK/2025/annual_report.pdf,135,"English consolidated income statement derived: Loss before tax (82,438) (10,069) | Finance costs 10 (292) (517)",0.94
00042.HK,NE ELECTRIC,2025,Q_G_EBITDA_MARGIN,-43.9642,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0429/2026042906260.pdf,data/raw/hkex_reports/00042.HK/2025/annual_report.pdf,141,"English consolidated statements derived: Loss for the year 11 (82,755) (10,069) | Income tax expense 12 (317)- | Finance costs 10 (292) (517) | Depreciation and amortisation 10,275 10,350 | Revenue 5 164,170 156,441",0.94
00042.HK,NE ELECTRIC,2025,Q_G_REVENUE_GROWTH,4.9405,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0429/2026042906260.pdf,data/raw/hkex_reports/00042.HK/2025/annual_report.pdf,135,"English consolidated income statement derived: Revenue 5 164,170 156,441",0.93
00061.HK,GREEN LEADER,2025,Q_G_REVENUE_GROWTH,28.0312,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0424/2026042400838.pdf,data/raw/hkex_reports/00061.HK/2025/annual_report.pdf,82,"English consolidated income statement derived: Revenue 收入 8 153,937 120,234",0.93
00065.HK,GRAND OCEAN AR,2025,Q_G_CURRENT_ASSET_TURNOVER,1.4553,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042802772.pdf,data/raw/hkex_reports/00065.HK/2025/annual_report.pdf,87,"English consolidated statements derived: Revenue 7 161,552 180,934 | Total current assets 107,452 114,568",0.94
