company_code,company_name,report_year,indicator_code,value,status,source_url,source_file,source_page,evidence_text,confidence
000009.SZ,中国宝安,2025,Q_G_DEBT_ASSET_RATE,59.78,pending,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-25/3d0cad8e-7fd7-4c96-9879-a7692046036f.PDF,data/raw/000009.SZ/2025/annual_report.pdf,60,目 本报告期末 上年末 本报告期末比上年末增减 流动比率 1.98 1.81 9.39% 资产负债率 59.78% 59.62% 0.16% 速动比率 0.99 0.95 4.21% 本报告期 上年同期,0.9
000009.SZ,中国宝安,2025,Q_G_DEBT_ASSET_RATE,2.49182372822,pending,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-25/3d0cad8e-7fd7-4c96-9879-a7692046036f.PDF,data/raw/000009.SZ/2025/annual_report.pdf,66,"合并报表自动派生: 负债合计 股东权益： 股本 其他权益工具 其中：优先股 永续债 资本公积 减：库存股 其他综合收益 专项储备 盈余公积 未分配利润 归属于母公司股东权益合计 少数股东权益 股东权益合计 1,416,765,938.88 1,447,816,558.84 6,165,121.56 10,968,327.50 354,137,293.99 5,637,982,010.5 | 资产总计 56,856,587,520.06 53,774,802,564.92 六、14 六、15 六、16 六、17 六、18 986,175,465.04 669,398,036.22 539,674,124.27 17,481,961,950.60 1,148,488,931.59 889,834,079.96 580,363,555.72 554,689,",0.94
000027.SZ,深圳能源,2025,Q_G_DEBT_ASSET_RATE,61.99,pending,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-17/e81dfe3f-d725-44b0-a5a9-90166c2caba4.PDF,data/raw/000027.SZ/2025/annual_report.pdf,119,本报告期末 上年末 本报告期末比上年末增减 流动比率 1.07 0.94 13.83% 资产负债率 61.99% 63.93% 下降 1.94 个百分点 速动比率 1.04 0.91 14.29% 本报,0.9
000027.SZ,深圳能源,2025,Q_G_DEBT_ASSET_RATE,61.9918441032,pending,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-17/e81dfe3f-d725-44b0-a5a9-90166c2caba4.PDF,data/raw/000027.SZ/2025/annual_report.pdf,134,"合并报表自动派生: 负债合计 106,592,653,892.83 103,165,962,137.65 后附的财务报表附注为本财务报表的组成部分。 134  | 资产总计 171,946,254,277.20 161,370,866,988.46 后附的财务报表附注为本财务报表的组成部分。 133",0.94
000027.SZ,深圳能源,2025,Q_G_ROE,4.66,pending,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-17/e81dfe3f-d725-44b0-a5a9-90166c2caba4.PDF,data/raw/000027.SZ/2025/annual_report.pdf,8,稀释每股收益(元/ 股) 2025 年末 0.31 0.28 10.71% 0.2700 加权平均净资产收益 率 4.66% 4.47% 增长 0.19 个百分点 4.52% 2024 年末 本年末比上年末增减,0.92
000027.SZ,深圳能源,2025,Q_G_ROE,1,pending,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-17/e81dfe3f-d725-44b0-a5a9-90166c2caba4.PDF,data/raw/000027.SZ/2025/annual_report.pdf,317,年度，本集团不存在具有稀释性的潜在普通股，因此，稀释每股收益等于基 本每股收益。 2、 加权平均净资产收益率的计算过程 (1) 加权平均净资产收益率 加权平均净资产收益率以归属于本公司普通股股东的合并净利润除以归属,0.92
000027.SZ,深圳能源,2025,Q_G_ROE,4.66,pending,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-17/e81dfe3f-d725-44b0-a5a9-90166c2caba4.PDF,data/raw/000027.SZ/2025/annual_report.pdf,317,"产的 加权平均数 31,799,985,851.71 29,790,062,447.99 加权平均净资产收益率 4.66% 4.47% 317",0.92
000531.SZ,穗恒运Ａ,2025,Q_S_DIVIDEND_PER_SHARE,0.05,pending,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-10/c6309277-b6b3-40a0-b88b-75d22262103b.PDF,data/raw/000531.SZ/2025/annual_report.pdf,37,"报告期利润分配及资本公积金转增股本情况 适用 □不适用 每 10 股送红股数(股) 0 每 10 股派息数(元)(含税) 0.50 分配预案的股本基数(股) 1,031,804,332 现金分红金额(元)(含税) 51,",0.94
000531.SZ,穗恒运Ａ,2025,Q_S_DIVIDEND_PER_SHARE,1,pending,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-10/c6309277-b6b3-40a0-b88b-75d22262103b.PDF,data/raw/000531.SZ/2025/annual_report.pdf,136,5 拟分配每 10 股分红股(股) 0 拟分配每 10 股转增数(股) 0 0.5 拟分配每 10 股派息数(元) 经审议批准宣告发放的每 10 股 派息数(元) 经审议批准宣告发放的每 10 股 分红股(股) 0 经审议批准宣告发放,0.94
000543.SZ,皖能电力,2025,Q_S_RD_RATE,0.78,pending,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-24/3b3f544c-c39a-4da0-8493-880d50c9247f.PDF,data/raw/000543.SZ/2025/annual_report.pdf,15,台 80 万千瓦光伏全容量并网， “陕电入皖”项目取得实质进展。 (四)科技创新成果显现 研发投入强度达 0.78%，专利授权 58 项，其中发明专利 9 项。掺氨燃烧关键技术和装备处于国际先 进水平，完成,0.82
000554.SZ,泰山石油,2025,Q_S_DIVIDEND_PER_SHARE,0.085,pending,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-24/f1293baa-82c3-4def-b2ce-2df13ac2a987.PDF,data/raw/000554.SZ/2025/annual_report.pdf,40,"金转增股本情况 适用□ 不适用 正但未提出现金红利分配预案 每10 股送红股数(股) 0 每10 股派息数(元)(含税) 0.85 分配预案的股本基数(股) 480793318 现金分红金额(元)(含税) 40,867,",0.94
000554.SZ,泰山石油,2025,Q_S_DIVIDEND_PER_SHARE,0.085,pending,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-24/f1293baa-82c3-4def-b2ce-2df13ac2a987.PDF,data/raw/000554.SZ/2025/annual_report.pdf,183,项目 内容 对财务状况和经营成果的影 响数 无法估计影响数的原因 2、利润分配情况 拟分配每10 股派息数(元) 0.85 拟分配每10 股分红股(股) 0 拟分配每10 股转增数(股) 0 经审议批准宣告发放的,0.94
000554.SZ,泰山石油,2025,Q_S_DIVIDEND_PER_SHARE,72.119,pending,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-24/ea8fc224-cd29-440d-9cc5-01f843455242.PDF,data/raw/000554.SZ/2025/esg_report.pdf,13,"会召开次数 2 次 股东会审议议案数 16 项 2022 年 年份 现金分红总额(万元) 每 10 股派息数(含税) 721.19 0.15 2023 年 1,105.82 0.23 2024 年 5,000.25 1.",0.94
000554.SZ,泰山石油,2025,Q_S_DIVIDEND_PER_SHARE,0.023,pending,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-24/ea8fc224-cd29-440d-9cc5-01f843455242.PDF,data/raw/000554.SZ/2025/esg_report.pdf,44,亿元 17.93 18.86 16.23 净资产 亿元 9.55 10.34 11.20 每 10 股派息数 元 0.23 1.04 1.47 意外泄漏引发事故 次 0 0 0 严重泄漏次数 次 0 0 0 环保,0.94
000600.SZ,建投能源,2025,Q_G_DEBT_ASSET_RATE,59.18,pending,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/c569a305-bce8-4d42-9786-6f96640344f6.PDF,data/raw/000600.SZ/2025/annual_report.pdf,21,资的统筹推进，为公司提供稳健的资金保障， 实现了融资成本和结构“双优化” 。报告期末，公司资产负债率为59.18%。 2、收入与成本 (1) 营业收入构成 单位：元 2025 年 2024 年 金额 占营,0.9
000600.SZ,建投能源,2025,Q_G_DEBT_ASSET_RATE,59.18,pending,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/c569a305-bce8-4d42-9786-6f96640344f6.PDF,data/raw/000600.SZ/2025/annual_report.pdf,105,动比率 0.52 0.68 -23.53% 速动比率 0.48 0.58 -17.24% 资产负债率 59.18% 62.70% -3.52% 本报告期 上年同期 本报告期比上年同期增减 扣除非经常性损益,0.9
000600.SZ,建投能源,2025,Q_G_DEBT_ASSET_RATE,29512.2610496,pending,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/c569a305-bce8-4d42-9786-6f96640344f6.PDF,data/raw/000600.SZ/2025/annual_report.pdf,112,"合并报表自动派生: 负债合计 30,132,830,623.49 29,558,036,336.96 所有者权益： 股本 （三十八） 1,803,234,376.00 1,809,299,376.00 其他权益工具 （三十九） 1,000,000,000.00 其中：优先股 永续债 1,000,000,000.00 资本公积 （四十） 4,602,437,209.34 4,642,11 | 资产总计 （十九） （二十一） 102,102,751.71 1,277,201,789.49 50,919,041,368.32 93,508,169.21 260,449,145.43 47,138,510,289.99 后附财务报表附注为财务报表的组成部分。 公司负责人：王剑峰 主管会计工作负责人： 张贞 会计机构负责人：张贞 111",0.94
000791.SZ,甘肃能源,2025,Q_S_RD_RATE,0.06,pending,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-28/003b10b9-e971-4620-a1de-7a6c8394afc1.PDF,data/raw/000791.SZ/2025/esg_report.pdf,33,转换，加快发展新质生产力。 2025 年科技创新绩效 研究开发费用 509.19万元 科技研发投入强度 0.06% 研发人员数量 95人 公司深入实施创新驱动发展战略，不断总结技术创新工作经验，紧密围绕战,0.82
000937.SZ,冀中能源,2025,Q_S_DIVIDEND_PER_SHARE,0.1,pending,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/e44b0814-6036-40c4-a477-98173145ea75.PDF,data/raw/000937.SZ/2025/annual_report.pdf,34,"报告期利润分配及资本公积金转增股本情况 适用 □不适用 每 10 股送红股数(股) 0 每 10 股派息数(元)(含税) 1 每 10 股转增数(股) 1 分配预案的股本基数(股) 3,533,546,850 现金",0.94
000937.SZ,冀中能源,2025,Q_S_DIVIDEND_PER_SHARE,0.1,pending,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/e44b0814-6036-40c4-a477-98173145ea75.PDF,data/raw/000937.SZ/2025/annual_report.pdf,153,明 公司不存在需要披露的重要或有事项。 十五、资产负债表日后事项 1、利润分配情况 拟分配每 10 股派息数(元) 1 拟分配每 10 股分红股(股) 0 拟分配每 10 股转增数(股) 1 经审议批准宣告发,0.94
