company_code,company_name,report_year,indicator_code,candidate_count,distinct_values,source_pages,recommended_value,review_reason,action,selected_value,reviewer,reviewed_at,note
000027.SZ,深圳能源,2025,Q_G_DEBT_ASSET_RATE,2,61.99|61.9918,119|134,,conflicting_candidates,,,,,
000400.SZ,许继电气,2025,Q_S_ENV_INVEST_RATE,1,0.03,41,0.03,single_or_consistent,,,,,
000531.SZ,穗恒运Ａ,2025,Q_S_DIVIDEND_PER_SHARE,2,0.05|1,37|136,,conflicting_candidates,,,,,
000543.SZ,皖能电力,2025,Q_S_RD_RATE,1,0.78,15,0.78,single_or_consistent,,,,,
000554.SZ,泰山石油,2025,Q_S_DIVIDEND_PER_SHARE,4,0.023|0.085|72.119,13|40|44|183,,conflicting_candidates,,,,,
000600.SZ,建投能源,2025,Q_S_RD_RATE,2,5.85374|5.91,53|115,,conflicting_candidates,,,,,
000600.SZ,建投能源,2025,Q_S_SAFETY_INVEST_RATE,1,0.65,54,0.65,single_or_consistent,,,,,
000692.SZ,惠天热电,2025,Q_G_ROE,3,-179.78|-32.15,7|215|216,,conflicting_candidates,,,,,
000723.SZ,美锦能源,2025,Q_G_DEBT_ASSET_RATE,2,65.15|65.1526,96|102,,conflicting_candidates,,,,,
000791.SZ,甘肃能源,2025,Q_S_RD_RATE,1,0.06,33,0.06,single_or_consistent,,,,,
000922.SZ,佳电股份,2025,Q_S_RD_RATE,1,3.4,39,3.4,single_or_consistent,,,,,
000937.SZ,冀中能源,2025,Q_S_DIVIDEND_PER_SHARE,3,0|0.1,34|153,,conflicting_candidates,,,,,
000968.SZ,蓝焰控股,2025,Q_S_DIVIDEND_PER_SHARE,3,0|0.05,43|199,,conflicting_candidates,,,,,
001258.SZ,立新能源,2025,Q_G_DEBT_ASSET_RATE,2,75.91|75.9133,69|75,,conflicting_candidates,,,,,
001258.SZ,立新能源,2025,Q_S_DIVIDEND_PER_SHARE,3,0|0.03,42|143,,conflicting_candidates,,,,,
001301.SZ,尚太科技,2025,Q_G_DEBT_ASSET_RATE,2,40.26|40.2622,146|244,,conflicting_candidates,,,,,
001896.SZ,豫能控股,2025,Q_G_DEBT_ASSET_RATE,5,65|66.53|86.8|95,66|133|165,,conflicting_candidates,,,,,
00196.HK,HONGHUA GROUP,2025,Q_S_RD_RATE,3,2.97765|5.2,6|21|75,,conflicting_candidates,,,,,
002090.SZ,金智科技,2025,Q_S_DIVIDEND_PER_SHARE,2,0.025|0.045,50|174,,conflicting_candidates,,,,,
002245.SZ,蔚蓝锂芯,2025,Q_G_ROE,4,9.77|9.93,7|154|155,,conflicting_candidates,,,,,
002259.SZ,升达林业,2025,Q_G_DEBT_ASSET_RATE,2,52.0462|70.69,36|61,,conflicting_candidates,,,,,
002276.SZ,万马股份,2025,Q_G_DEBT_ASSET_RATE,3,62.5559|62.56,84|91|188,,conflicting_candidates,,,,,
002364.SZ,中恒电气,2025,Q_S_DIVIDEND_PER_SHARE,2,0.1|0.3,49|213,,conflicting_candidates,,,,,
002487.SZ,大金重工,2025,Q_S_DIVIDEND_PER_SHARE,2,0.087|1,40|197,,conflicting_candidates,,,,,
002490.SZ,山东墨龙,2025,Q_G_DEBT_ASSET_RATE,3,81.4493|81.45,45|65|150,,conflicting_candidates,,,,,
002534.SZ,西子洁能,2025,Q_G_DEBT_ASSET_RATE,2,57.26|57.2617,114|123,,conflicting_candidates,,,,,
