company_code,company_name,report_year,indicator_code,indicator_name,indicator_weight,candidate_count,unique_evidence_count,source_pages,max_confidence,has_system,has_target,has_action,has_result,feature_count,suggested_score,evidence_quality,review_priority,representative_source_url,representative_source_file,representative_page,representative_evidence,suggestion_reason,review_status,scoring_authorized,action,selected_score,reviewer,reviewed_at,note
00002.HK,CLP HOLDINGS,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,3,3,7|28|36,0.65,True,True,True,True,4,80,standard_candidate,1,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0311/2026031100298.pdf,data/raw/hkex_reports/00002.HK/2025/annual_report.pdf,7,"trengthened nature- related commitments for applicable new investment projects The certified butterfly garden at CLP Power’s System Control Centre in Hong Kong helps promote local biodiversity and raise awareness of environmental protection and conservation Continued to implement CLP’s Circular Economy Strategy, such as adopting an agriculture-fishery-photovoltaic integrated approach at Yixing Solar Farm on the Chinese Mainland CLP Power maintained world-class power supply reliability of 99.999% in Hong Kong Connected over 3.7 million smart meter","heuristic_features=system,target,action,result;human_signature_required",pending,False,,,,,
000703.SZ,恒逸石化,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,2,2,91|92,0.65,False,True,True,True,3,80,standard_candidate,1,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-15/d1cf3d86-3007-4b83-80d3-0b837413c84e.PDF,data/raw/000703.SZ/2025/annual_report.pdf,92,恒逸石化股份有限公司 2025 年年度报告全文 3）“恒逸一个地球”项目主要为保护和维护文莱的生物多样性与自然环境，如为当地社 区提供清洁能源，赞助并参与以环境保护、可持续发展和绿色经济为主题的活动。2025 年 实际支出约 0.76 万美元。此外，恒逸文莱积极探索绿色生产路径，通过在厂区内建设光伏 发电项目、配置先进的环保处理装置等措施，持续降低能源消耗与环境影响，助力实现可 持续发展目标。 （4） 在推动行业发展方面， 恒逸集团向中国化学纤维工业协会·恒逸基金捐赠 90 万元， 持续支持化纤行业的创新与协同发展。 （5）公司关心关爱弱势群体，免费为全体残疾员工提供体检和申报员工互助医疗，并 带动更多残疾人致富就业；公司将每年 5 月定为残疾人服务月，组织开展系列助残活动， 并不定期举办各类健康向上的文体活动，畅通情感交流和表达诉求渠道，丰富残疾员工的 精神文化生活。 公司坚信，企业的生命力不仅在于经营业绩，更,"heuristic_features=target,action,result;human_signature_required",pending,False,,,,,
00650.HK,PRODUCTIVE TECH,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,2,2,123|165,0.65,False,False,True,False,1,50,weak_candidate,1,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0730/2025073000464.pdf,data/raw/00650.HK/2025/annual_report.pdf,123,理 Occupational health and safety 職業健康與安全 High materiality 重要 Use of water resource 水資源使用 Wastewater emission 廢水排放 Climate change 氣候變化 Correlation 相關 Development and training 發展及培訓 Biodiversity Conservation 生物多樣性保護 Business ethics and anti-corruption 商業道德與反腐 Customer privacy management 客戶隱私管理 Supply chain management 供應鏈管理 Employees’ rights and benefits 員工權益與福利 Use of energy 能源使用 Waste emission 廢棄物排放 Greenhouse gas emission 溫室氣體排放 Corporate citizen and charity 企業公民與慈善 Materiality to operation management 對經營管理的重要性 122 PRODUCTIVE TECHNOLOGIES COMPANY,heuristic_features=action;human_signature_required,pending,False,,,,,
00866.HK,CHINA QINFA,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,2,2,119|149,0.65,True,True,True,True,4,80,standard_candidate,1,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042701905.pdf,data/raw/hkex_reports/00866.HK/2025/annual_report.pdf,119,"operations. We prioritise implementing initiatives that minimise natural resource consumption and environmental impacts, balancing profitability with protecting the ecosystems and biodiversity. Our commitment to long-term sustainability includes: 作為一間對社會負責的企業，我們意識到採礦業 務對環境造成的潛在影響。我們優先考慮減少自 然資源消耗及環境影響的措施，於保護地球生態 系統及生物多樣性的同時確保盈利能力。我們對 長期可持續發展的承諾包括： • Integrating environmental preservation and resource conservation into our operational strategies and development planning • 將環境保護及資源保護納入營運策略及發 展規劃中 • Regularly conduct risk assessment and environmental","heuristic_features=system,target,action,result;human_signature_required",pending,False,,,,,
00975.HK,MONGOL MINING,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,3,3,2|31|33,0.65,False,False,False,True,1,20,weak_candidate,1,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042800522.pdf,data/raw/hkex_reports/00975.HK/2025/annual_report.pdf,33,"anagement, equipment performance, and worker safety. Our environmental programs topsoil stockpil- ing, progressive revegetation, dust suppression, water effi- ciency measures, and biodiversity protection are designed both to reduce environmental impact and to strengthen long-term operational resilience. Our tree planting, agro- forestry, anti-desertification efforts, and wildlife support programs help build landscape resilience and support local herders facing direct climate impacts. Just Transition The global response to climate change carries h",heuristic_features=result;human_signature_required,pending,False,,,,,
01083.HK,TG SMART ENERGY,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,1,17,0.65,True,False,False,False,1,20,weak_candidate,1,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0420/2026042000330.pdf,data/raw/hkex_reports/01083.HK/2025/annual_report.pdf,17,"Environment in the Government of the Hong Kong Special Administrative Region from 2012 to 2017. Her direct policy responsibilities included air quality, energy, climate change and biodiversity. She worked with Chinese mainland counterparts to define new policies to control shipping emissions, an area of work she pioneered prior to joining the Government of the Hong Kong Special Administrative Region and changed China’s national policy in this area. Between April 2019 and March 2020, she was the Special Consultant to the Office of the Chief Execut",heuristic_features=system;human_signature_required,pending,False,,,,,
01250.HK,SDHS NEW ENERGY,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,1,26,0.65,False,False,True,False,1,50,weak_candidate,1,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0423/2026042302466.pdf,data/raw/hkex_reports/01250.HK/2025/annual_report.pdf,26,"ital market communication, the Group will continue to deepen its ESG management, continuously improve its management capabilities on key issues such as climate change response and biodiversity conservation, and strive to maintain industry-leading positions in various mainstream ESG ratings. The Group will further strengthen in-depth communication with investors, continuously and effectively convey the Company's core values and long-term development strategy, enhance the shaping of its capital market image, and ensure the Company’s long-term compe",heuristic_features=action;human_signature_required,pending,False,,,,,
01811.HK,CGN NEW ENERGY,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,1,100,0.65,False,False,False,True,1,20,weak_candidate,1,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0429/2026042900758.pdf,data/raw/hkex_reports/01811.HK/2025/annual_report.pdf,100,"astewater, and solid waste are subject to stringent controls, with all discharges meeting national standards. In parallel, the Company actively promotes ecological restoration and biodiversity conservation, striving to achieve harmony between project development and the natural environment. To address climate change, we continue to strengthen our ability to assess and manage climate-related risks and opportunities. By conducting carbon emissions of Scope 3 greenhouse gas accounting, climate scenario analysis and financial impact assessments, and",heuristic_features=result;human_signature_required,pending,False,,,,,
01878.HK,SOUTHGOBI,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,3,3,7|142|143,0.65,False,True,True,True,3,80,standard_candidate,1,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0429/2026042902945.pdf,data/raw/hkex_reports/01878.HK/2025/annual_report.pdf,7,"itoring each year, and monitor and comprehensively evaluate air quality (including dust and emissions), groundwater and surface water levels and quality, soil quality, vegetation, biodiversity, as well as the progress of restoration and repair work. The Company actively introduces low-carbon technology applications and implements energy saving and emission reduction, waste recycling and reduction treatment, aiming to promote environmental protection and ecological balance in the mine. Meanwhile, it sponsors educational projects in Mongolia, carri","heuristic_features=target,action,result;human_signature_required",pending,False,,,,,
01921.HK,DALIPAL HLDG,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,3,3,116|139|188,0.65,True,True,True,True,4,80,standard_candidate,1,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0429/2026042901611.pdf,data/raw/hkex_reports/01921.HK/2025/annual_report.pdf,116,nagement system 2. Emissions of exhaust gases 3. Waste management 4. Water management 5. Greenhouse gas emissions 6. Energy efficiency 7. Climate change risks and opportunities 8. Biodiversity conservation 1. 環境管理體系 2. 廢氣排放 3. 廢棄物管理 4. 水資源管理 5. 溫室氣體排放 6. 能源使用效率 7. 氣候變化風險與機遇 8. 生物多樣性保護 Social 社會 9. Employee rights and benefits 10. Diversity and Inclusion 11. Development and training of employees 12. Occupational health and safety 13. Supplier management 14. Product quality 15. Customer service 16. Customer privacy protection 17. Intellectual prope,"heuristic_features=system,target,action,result;human_signature_required",pending,False,,,,,
