company_code,company_name,report_year,indicator_code,value,status,source_url,source_file,source_page,evidence_text,confidence
000400.SZ,许继电气,2025,Q_S_ENV_INVEST_RATE,0.03,pending,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-11/0ec99d43-1ee6-4265-a9ac-eb924c3f937a.PDF,data/raw/000400.SZ/2025/esg_report.pdf,41,Chinese current-last environmental table row: 环保投入占营业收入比例 % 0.008 0.020 0.03,0.9
000531.SZ,穗恒运Ａ,2025,Q_S_DIVIDEND_PER_SHARE,0.05,pending,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-10/c6309277-b6b3-40a0-b88b-75d22262103b.PDF,data/raw/000531.SZ/2025/annual_report.pdf,37,"报告期利润分配及资本公积金转增股本情况 适用 □不适用 每 10 股送红股数(股) 0 每 10 股派息数(元)(含税) 0.50 分配预案的股本基数(股) 1,031,804,332 现金分红金额(元)(含税) 51,",0.94
000531.SZ,穗恒运Ａ,2025,Q_S_DIVIDEND_PER_SHARE,1,pending,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-10/c6309277-b6b3-40a0-b88b-75d22262103b.PDF,data/raw/000531.SZ/2025/annual_report.pdf,136,5 拟分配每 10 股分红股(股) 0 拟分配每 10 股转增数(股) 0 0.5 拟分配每 10 股派息数(元) 经审议批准宣告发放的每 10 股 派息数(元) 经审议批准宣告发放的每 10 股 分红股(股) 0 经审议批准宣告发放,0.94
000600.SZ,建投能源,2025,Q_S_SAFETY_INVEST_RATE,0.65,pending,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/ba6a9b6c-0794-4a84-90c5-1a1ebb80389c.PDF,data/raw/000600.SZ/2025/esg_report.pdf,54,Chinese current-last environmental table row: 安全生产投入占营业收入比例 % 0.99 0.62 0.65,0.9
000692.SZ,惠天热电,2025,Q_G_ROE,-32.15,pending,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/a0c3e46c-096c-4bae-b85e-34d7a86f0fde.PDF,data/raw/000692.SZ/2025/annual_report.pdf,7,"主要会计数据加权平均净资产收益率行: 加权平均净资 产收益率 -32.15% -4,022.41% -2,002.92% 1,970.77% 115.25% 116.31%",0.94
000692.SZ,惠天热电,2025,Q_G_ROE,-32.15,pending,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/a0c3e46c-096c-4bae-b85e-34d7a86f0fde.PDF,data/raw/000692.SZ/2025/annual_report.pdf,215,"L= D+A/2+ E×F/K-G× H/K±I×J/K 166,495,756.43 加权平均净资产收益率 M=A/L -32.15% 215",0.92
000692.SZ,惠天热电,2025,Q_G_ROE,-179.78,pending,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/a0c3e46c-096c-4bae-b85e-34d7a86f0fde.PDF,data/raw/000692.SZ/2025/annual_report.pdf,216,沈阳惠天热电股份有限公司2025年年度报告全文 扣除非经常损益加权平均净资产收益率 N=C/L -179.78% (2)基本每股收益和稀释每股收益的计算过程 1)基本每股收益的计算过程 项 目 序号,0.92
000937.SZ,冀中能源,2025,Q_S_DIVIDEND_PER_SHARE,0.1,pending,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/e44b0814-6036-40c4-a477-98173145ea75.PDF,data/raw/000937.SZ/2025/annual_report.pdf,34,"报告期利润分配及资本公积金转增股本情况 适用 □不适用 每 10 股送红股数(股) 0 每 10 股派息数(元)(含税) 1 每 10 股转增数(股) 1 分配预案的股本基数(股) 3,533,546,850 现金",0.94
000937.SZ,冀中能源,2025,Q_S_DIVIDEND_PER_SHARE,0.1,pending,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/e44b0814-6036-40c4-a477-98173145ea75.PDF,data/raw/000937.SZ/2025/annual_report.pdf,153,明 公司不存在需要披露的重要或有事项。 十五、资产负债表日后事项 1、利润分配情况 拟分配每 10 股派息数(元) 1 拟分配每 10 股分红股(股) 0 拟分配每 10 股转增数(股) 1 经审议批准宣告发,0.94
000937.SZ,冀中能源,2025,Q_S_DIVIDEND_PER_SHARE,0,pending,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/e44b0814-6036-40c4-a477-98173145ea75.PDF,data/raw/000937.SZ/2025/annual_report.pdf,153,分配每 10 股分红股(股) 0 拟分配每 10 股转增数(股) 1 经审议批准宣告发放的每 10 股派息数(元) 0 经审议批准宣告发放的每 10 股分红股(股) 0 经审议批准宣告发放的每 10 股转增数,0.94
