company_code,report_year,document_type,reason
600011.SH,2025,annual_report,原登记为英文/H股次优版本（华能国际H股2025年度报告），以中文正式版取代
600346.SH,2025,annual_report,原登记为英文/H股次优版本（恒力石化2025年年度报告（英文版）），以中文正式版取代
600346.SH,2025,esg_report,原登记为英文/H股次优版本（恒力石化2025年度可持续发展报告（英文版）），以中文正式版取代
600438.SH,2025,annual_report,原登记为英文/H股次优版本（通威股份有限公司2025年年度报告（英文版）），以中文正式版取代
600438.SH,2025,esg_report,原登记为英文/H股次优版本（通威股份有限公司2025年环境、社会与公司治理报告暨可持续发），以中文正式版取代
601808.SH,2025,annual_report,原登记为英文/H股次优版本（中海油服H股公告-2025年度报告），以中文正式版取代
605368.SH,2025,annual_report,原登记非报告全文（蓝天燃气关于2025年年度报告更正的公告），以正式报告取代
688005.SH,2025,annual_report,原登记非报告全文（关于公司自愿披露2025年年度报告（简版）及可持续发展报告英），以正式报告取代
688005.SH,2025,esg_report,原登记为英文/H股次优版本（2025年可持续发展报告（英文版）），以中文正式版取代
600167.SH,2025,esg_report,原登记为英文/H股次优版本（联美量子股份有限公司2025年环境、社会和公司治理报告（英文），以中文正式版取代
600207.SH,2025,esg_report,原登记为英文/H股次优版本（安彩高科2025年度环境、社会和公司治理报告(英文版)），以中文正式版取代
605117.SH,2025,esg_report,原登记为英文/H股次优版本（2025年度可持续发展报告（英文版）），以中文正式版取代
688032.SH,2025,esg_report,原登记为英文/H股次优版本（2025年度可持续发展报告（英文）），以中文正式版取代
688339.SH,2025,esg_report,原登记为英文/H股次优版本（亿华通2025环境、社会与管制（ESG报告）（英文）），以中文正式版取代
688390.SH,2025,esg_report,原登记为英文/H股次优版本（2025年度可持续发展报告（英文版）），以中文正式版取代
