company_code,report_year,document_type,reason
000819.SZ,2025,annual_report,原登记非报告全文（岳阳兴长：关于举办2025年年度报告及2026年一季度报告网），以正式报告取代
001283.SZ,2025,annual_report,原登记非报告全文（豪鹏科技：关于举行2025年年度报告网上业绩说明会的通知），以正式报告取代
002028.SZ,2025,annual_report,原登记非报告全文（思源电气：关于举行2025年年度报告网上说明会的通知），以正式报告取代
002441.SZ,2025,annual_report,原登记非报告全文（众业达：关于举行2025年年度报告网上说明会的公告），以正式报告取代
002459.SZ,2025,annual_report,原登记为英文/H股次优版本（晶澳科技：2025年年度报告英文版（2025 Annual ），以中文正式版取代
002576.SZ,2025,annual_report,原登记非报告全文（通达动力：江苏通达动力科技股份有限公司关于举行2025年度报），以正式报告取代
002629.SZ,2025,annual_report,原登记非报告全文（仁智股份：关于举行2025年年度报告网上业绩说明会的公告），以正式报告取代
002812.SZ,2025,annual_report,原登记为英文/H股次优版本（恩捷股份：2025年年度报告（英文版）），以中文正式版取代
002851.SZ,2025,annual_report,原登记非报告全文（麦格米特：关于举行2025年度报告网上业绩说明会的公告（更正），以正式报告取代
003816.SZ,2025,annual_report,原登记为英文/H股次优版本（中国广核：境内同步披露公告-2025年度报告），以中文正式版取代
300274.SZ,2025,annual_report,原登记非报告全文（阳光电源：关于2025年年度报告（英文简版）的自愿性披露公告），以正式报告取代
300360.SZ,2025,annual_report,原登记非报告全文（炬华科技：关于举行2025年度报告网上说明会的通知），以正式报告取代
300776.SZ,2025,annual_report,原登记非报告全文（帝尔激光：关于召开2025年年度报告网上业绩说明会的公告），以正式报告取代
300870.SZ,2025,annual_report,原登记非报告全文（欧陆通：关于举行2025年年度报告网上业绩说明会并征集相关问），以正式报告取代
301386.SZ,2025,annual_report,原登记非报告全文（未来电器：关于举行2025年年度报告网上业绩说明会的公告），以正式报告取代
