stock_code,company_name,source_url,source_file,source_page,matched_term,evidence_text,review_status
00002.HK,中電控股有限公司,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0311/2026031100298.pdf,data/raw/hkex_reports/00002.HK/2025/annual_report.pdf,3,Sustainability Report,"irements of Hong Kong Financial Reporting Standard (HKFRS) S2, while sustainability-related financial information has been developed in accordance with HKFRS S1 requirements. 2025 Sustainability Report 2025 Materiality Assessment Report Climate Vision 2050: Powering an orderly transition 2 CLP Holdings 2025 Annual Report",pending
00002.HK,中電控股有限公司,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0311/2026031100298.pdf,data/raw/hkex_reports/00002.HK/2025/annual_report.pdf,7,Sustainability Report,"raining Council to cultivate engineering talent CLP Power allocated HK$240 million under the CLP Community Energy Saving Fund for a series of community support programmes See 2025 Sustainability Report for more information Note: 1 The 15th National Games, 12th National Games for Persons with Disabilities and 9th National Special Olympic Games. CLP Holdings 2025 Annual Report 7",pending
00002.HK,中電控股有限公司,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0311/2026031100298.pdf,data/raw/hkex_reports/00002.HK/2025/annual_report.pdf,27,Sustainability Report,"portunities (IROs). This approach means that CLP’s Annual Report addresses financially material topics that could reasonably be expected to affect the Group’s prospects, while the Sustainability Report focuses on topics that have a material impact on people, the environment and the economy. The assessment complements CLP’s established risk management process, further detailed in the Risk Management Report on page 103. The double materiality assessment operates on a three- year cycle. 2025 was Year 2, centred on reviewing and refreshing results from Year 1",pending
00002.HK,中電控股有限公司,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0311/2026031100298.pdf,data/raw/hkex_reports/00002.HK/2025/annual_report.pdf,34,Sustainability Report,"e to the significant uncertainty associated with these considerations, the financial effect has not been quantified. 6 For further information, please refer to the EnergyAustralia Sustainability Report 2025. CLP Holdings 2025 Annual Report 37",pending
00002.HK,中電控股有限公司,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0311/2026031100298.pdf,data/raw/hkex_reports/00002.HK/2025/annual_report.pdf,36,"Environmental, Social and Governance"," be found in the 2025 Sustainability Report. Key data is also available in Five‑year Summary: CLP Group Economic and Financial Data on page 254 and in Five-year Summary: CLP Group Environmental, Social and Governance (ESG) Data on page 256 of the 2025 Annual Report. CLP Holdings 2025 Annual Report 39",pending
00065.HK,弘海高新資源有限公司,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042802772.pdf,data/raw/hkex_reports/00065.HK/2025/annual_report.pdf,2,"Environmental, social and governance","e 3 Definitions 5 Chairman’s statement 6 Financial highlights 9 Management discussion and analysis 20 Profiles of directors and senior management 22 Corporate governance report 38 Environmental, social and governance report 71 Directors’ report 79 Independent auditor’s report 84 Consolidated statement of profit or loss 85 Consolidated statement of other comprehensive income 86 Consolidated statement of financial position 88 Consolidated statement of changes in equity 89 Consolidated statement of cash flows 91 Notes to the consolidated financial statements ANNUAL REPORT ",pending
00065.HK,弘海高新資源有限公司,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042802772.pdf,data/raw/hkex_reports/00065.HK/2025/annual_report.pdf,39,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE","ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT About this Report The Group is committed to building an environmentally friendly corporation, while maintaining high quality standards in the production and sale of coal and minerals. The Group’s coal-related operations are based in a strategic location, Inner Mongolia, which possesses one of the richest low-rank coal reserves in the People’ s Republ",pending
00065.HK,弘海高新資源有限公司,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042802772.pdf,data/raw/hkex_reports/00065.HK/2025/annual_report.pdf,40,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE","ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT About this Report (Continued) Scope of the ESG Report This ESG Report covers the core business with significant environmental and social impacts, specifically the coal mining site in Inner Mongolia, PRC. The headquarters in Hong Kong and other subsidiaries offices in the PRC exhibit minimal environmental and social impacts; therefore, they are reflec",pending
00065.HK,弘海高新資源有限公司,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042802772.pdf,data/raw/hkex_reports/00065.HK/2025/annual_report.pdf,41,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE","ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT About this Report (Continued) The Group’s governance structure for its sustainability matters is as follows: Management team in coal mining production-related department Emission management Sewage management Energy management Supply chain management New technology application Board Project Group Management team in administration and human resources d",pending
00065.HK,弘海高新資源有限公司,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042802772.pdf,data/raw/hkex_reports/00065.HK/2025/annual_report.pdf,42,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE","ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT About this Report (Continued) Stakeholder Engagement (Continued) The Group develops multiple channels for the stakeholders, summarised in the following table, which provide opportunities for them to express their views on the Group’s sustainability performance and future strategies. To reinforce mutual trust and respect, the Group is committed to mai",pending
