task_id,decision_id,stock_code,priority,next_action,historical_name,current_chinese_name,issuer_history_candidate_ids,issuer_history_pages,principal_business_candidate_ids,principal_business_pages,ah_identity_candidate_ids,ah_identity_pages,profile_evidence_url,candidate_count,review_readiness,outcome,related_a_code,entity_id,selected_candidate_ids,evidence_url,evidence_date,reviewer,reviewed_at,rationale,review_status
HKCONT-00042-HK,,00042.HK,0,review_issuer_identity_and_industry,东北电气发展股份有限公司,東北電氣發展股份有限公司 - H股,HKCE-00042-HK-ISSUER_HISTORY-ANNUAL_REPORT-2025-P143-1,143,HKCE-00042-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P18-1|HKCE-00042-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P49-1|HKCE-00042-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P51-1|HKCE-00042-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P143-1|HKCE-00042-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P211-1,18|49|51|143|211,HKCE-00042-HK-AH_IDENTITY-ANNUAL_REPORT-2025-P9-1|HKCE-00042-HK-AH_IDENTITY-ANNUAL_REPORT-2025-P143-1,9|143,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=42,8,evidence_candidates_available,,,,,,,,,,unsigned
HKCONT-00600-HK,,00600.HK,0,review_issuer_identity_and_industry,中国基建投资有限公司,愛芯元智半導體股份有限公司 - H股,HKCE-00600-HK-ISSUER_HISTORY-LISTING_DOCUMENT-0-P506-1,506,HKCE-00600-HK-PRINCIPAL_BUSINESS-LISTING_DOCUMENT-0-P77-1|HKCE-00600-HK-PRINCIPAL_BUSINESS-LISTING_DOCUMENT-0-P138-1|HKCE-00600-HK-PRINCIPAL_BUSINESS-LISTING_DOCUMENT-0-P157-1|HKCE-00600-HK-PRINCIPAL_BUSINESS-LISTING_DOCUMENT-0-P273-1|HKCE-00600-HK-PRINCIPAL_BUSINESS-LISTING_DOCUMENT-0-P332-1|HKCE-00600-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P24-1|HKCE-00600-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P31-1|HKCE-00600-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P107-1|HKCE-00600-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P127-1|HKCE-00600-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P145-1,24|31|77|107|127|138|145|157|273|332,HKCE-00600-HK-AH_IDENTITY-LISTING_DOCUMENT-0-P1-1|HKCE-00600-HK-AH_IDENTITY-LISTING_DOCUMENT-0-P2-1|HKCE-00600-HK-AH_IDENTITY-LISTING_DOCUMENT-0-P6-1|HKCE-00600-HK-AH_IDENTITY-LISTING_DOCUMENT-0-P7-1|HKCE-00600-HK-AH_IDENTITY-LISTING_DOCUMENT-0-P32-1|HKCE-00600-HK-AH_IDENTITY-ANNUAL_REPORT-2025-P1-1|HKCE-00600-HK-AH_IDENTITY-ANNUAL_REPORT-2025-P28-1|HKCE-00600-HK-AH_IDENTITY-ANNUAL_REPORT-2025-P33-1|HKCE-00600-HK-AH_IDENTITY-ANNUAL_REPORT-2025-P34-1|HKCE-00600-HK-AH_IDENTITY-ANNUAL_REPORT-2025-P35-1,1|2|6|7|28|32|33|34|35,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=600,21,evidence_candidates_available,,,,,,,,,,unsigned
HKCONT-00607-HK,,00607.HK,0,review_issuer_identity_and_industry,丰盛控股有限公司,豐盛控股有限公司,,,HKCE-00607-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P8-1|HKCE-00607-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P16-1|HKCE-00607-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P35-1|HKCE-00607-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P49-1|HKCE-00607-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P80-1|HKCE-00607-HK-PRINCIPAL_BUSINESS-ESG_REPORT-2025-P6-1,6|8|16|35|49|80,,,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=607,6,evidence_candidates_available,,,,,,,,,,unsigned
HKCONT-00650-HK,,00650.HK,0,review_issuer_identity_and_industry,普达特科技有限公司,普達特科技有限公司,,,HKCE-00650-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2024-P9-1|HKCE-00650-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2024-P10-1|HKCE-00650-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2024-P52-1|HKCE-00650-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2024-P67-1|HKCE-00650-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2024-P295-1,9|10|52|67|295,,,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=650,5,evidence_candidates_available,,,,,,,,,,unsigned
HKCONT-00002-HK,,00002.HK,2,verify_name_continuity,中电控股有限公司,中電控股有限公司,,,HKCE-00002-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P139-1|HKCE-00002-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P176-1,139|176,,,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=2,2,evidence_candidates_available,,,,,,,,,,unsigned
HKCONT-00003-HK,,00003.HK,2,verify_name_continuity,香港中华煤气有限公司,香港中華煤氣有限公司,,,HKCE-00003-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-0-P70-1|HKCE-00003-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-0-P158-1|HKCE-00003-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-0-P212-1,70|158|212,HKCE-00003-HK-AH_IDENTITY-ANNUAL_REPORT-0-P145-1|HKCE-00003-HK-AH_IDENTITY-ANNUAL_REPORT-0-P214-1,145|214,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=3,5,evidence_candidates_available,,,,,,,,,,unsigned
HKCONT-00006-HK,,00006.HK,2,verify_name_continuity,电能实业有限公司,電能實業有限公司,,,HKCE-00006-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P72-1|HKCE-00006-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P99-1|HKCE-00006-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P142-1,72|99|142,,,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=6,3,evidence_candidates_available,,,,,,,,,,unsigned
HKCONT-00061-HK,,00061.HK,2,verify_name_continuity,绿领控股集团有限公司,綠領控股集團有限公司,,,HKCE-00061-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P9-1|HKCE-00061-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P24-1|HKCE-00061-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P90-1|HKCE-00061-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P194-1|HKCE-00061-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P195-1|HKCE-00061-HK-PRINCIPAL_BUSINESS-ESG_REPORT-2025-P3-1|HKCE-00061-HK-PRINCIPAL_BUSINESS-ESG_REPORT-2025-P6-1,3|6|9|24|90|194|195,,,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=61,7,evidence_candidates_available,,,,,,,,,,unsigned
HKCONT-00065-HK,,00065.HK,2,verify_name_continuity,弘海高新资源有限公司,弘海高新資源有限公司,,,HKCE-00065-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P12-1|HKCE-00065-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P72-1|HKCE-00065-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P92-1|HKCE-00065-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P125-1|HKCE-00065-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P140-1,12|72|92|125|140,,,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=65,5,evidence_candidates_available,,,,,,,,,,unsigned
HKCONT-00135-HK,,00135.HK,2,verify_name_continuity,昆仑能源有限公司,昆侖能源有限公司,HKCE-00135-HK-ISSUER_HISTORY-ESG_REPORT-2025-P7-1,7,HKCE-00135-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P57-1|HKCE-00135-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P67-1|HKCE-00135-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P84-1|HKCE-00135-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P85-1|HKCE-00135-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P108-1|HKCE-00135-HK-PRINCIPAL_BUSINESS-ESG_REPORT-2025-P29-1,29|57|67|84|85|108,HKCE-00135-HK-AH_IDENTITY-ANNUAL_REPORT-2025-P80-1,80,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=135,8,evidence_candidates_available,,,,,,,,,,unsigned
