company_code,company_name,report_year,indicator_code,value,status,source_url,source_file,source_page,evidence_text,confidence
00135.HK,KUNLUN ENERGY,2025,Q_G_DEBT_ASSET_RATE,35.9717,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0430/2026043002625.pdf,data/raw/hkex_reports/00135.HK/2025/annual_report.pdf,102,"English consolidated statement derived: Total liabilities 總負債 51,842 54,555 | Total assets 總資產 144,119 143,390",0.94
00182.HK,CONCORD NE,2025,Q_G_DEBT_ASSET_RATE,73.9046,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702254.pdf,data/raw/hkex_reports/00182.HK/2025/annual_report.pdf,59,"English consolidated statement derived: Total liabilities 24,504,544 23,223,533 | Total assets 33,156,993 32,129,839",0.94
00196.HK,HONGHUA GROUP,2025,Q_G_DEBT_ASSET_RATE,71.1288,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042703116.pdf,data/raw/hkex_reports/00196.HK/2025/annual_report.pdf,78,"English consolidated statement derived: Total liabilities 8,970,825 8,263,612 | Total assets 12,612,092 11,928,201",0.94
00295.HK,KONG SUN HOLD,2025,Q_G_DEBT_ASSET_RATE,53.7893,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042803631.pdf,data/raw/hkex_reports/00295.HK/2025/annual_report.pdf,7,"English consolidated statement derived: Total liabilities 2,315,742 2,430,617 | Total assets 4,305,212 4,768,206",0.94
00346.HK,YANCHANG PETRO,2025,Q_G_DEBT_ASSET_RATE,78.9713,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0421/2026042101286.pdf,data/raw/hkex_reports/00346.HK/2025/annual_report.pdf,60,"English consolidated statement derived: Total liabilities 2,182,711 1,499,820 | Total assets 2,763,929 2,799,999",0.94
00579.HK,JNCEC,2025,Q_G_DEBT_ASSET_RATE,62.2094,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042803989.pdf,data/raw/hkex_reports/00579.HK/2025/annual_report.pdf,5,"English consolidated statement derived: Total liabilities 64,731,314 63,570,666 59,073,763 55,578,016 54,868,457 | Total assets 104,053,978 101,053,441 93,594,441 88,000,237 86,040,207",0.94
00686.HK,BJ ENERGY INTL,2025,Q_G_DEBT_ASSET_RATE,72.0947,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0423/2026042300710.pdf,data/raw/hkex_reports/00686.HK/2025/annual_report.pdf,125,"English consolidated statement derived: Total liabilities 負債總額 75,109 79,809 | Total assets 資產總額 104,181 102,469",0.94
00836.HK,CHINA RES POWER,2025,Q_G_DEBT_ASSET_RATE,67.3544,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042801637.pdf,data/raw/hkex_reports/00836.HK/2025/annual_report.pdf,87,"English consolidated statement derived: Total liabilities 總負債 275,724,659 242,512,342 | Total assets 總資產 409,364,215 362,464,381",0.94
00934.HK,SINOPEC KANTONS,2025,Q_G_DEBT_ASSET_RATE,2.0542,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0417/2026041700608.pdf,data/raw/hkex_reports/00934.HK/2025/annual_report.pdf,88,"English consolidated statement derived: Total liabilities 346,277 379,742 | Total assets 16,856,935 16,298,947",0.94
00968.HK,XINYI SOLAR,2025,Q_G_DEBT_ASSET_RATE,38.6178,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0430/2026043000976.pdf,data/raw/hkex_reports/00968.HK/2025/annual_report.pdf,77,"English consolidated statement derived: Total liabilities 21,979,709 22,524,612 | Total assets 56,916,068 56,932,484",0.94
01101.HK,HUARONG ENERGY,2023,Q_G_DEBT_ASSET_RATE,741.9815,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0430/2024043001896.pdf,data/raw/01101.HK/2023/annual_report.pdf,98,"English consolidated statement derived: Total liabilities 總負債 10,425,805 9,931,873 | Total assets 總資產 1,405,130 1,421,562",0.94
01251.HK,SPT ENERGY,2025,Q_G_DEBT_ASSET_RATE,62.7562,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042800550.pdf,data/raw/hkex_reports/01251.HK/2025/annual_report.pdf,7,"English consolidated statement derived: Total liabilities 1,500,867 1,506,209 1,625,967 1,657,454 1,581,049 | Total assets 2,391,583 2,508,665 2,911,207 2,882,558 2,786,689",0.94
01303.HK,HUILI RES,2025,Q_G_DEBT_ASSET_RATE,49.6488,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042701140.pdf,data/raw/hkex_reports/01303.HK/2025/annual_report.pdf,55,"English consolidated statement derived: Total liabilities 1,060,321 1,609,654 | Total assets 2,135,641 2,673,717",0.94
01407.HK,JY GAS,2025,Q_G_DEBT_ASSET_RATE,43.0274,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0423/2026042302956.pdf,data/raw/hkex_reports/01407.HK/2025/annual_report.pdf,67,"English consolidated statement derived: Total liabilities 248,727 274,637 | Total assets 578,067 588,583",0.94
01555.HK,MIE HOLDINGS,2025,Q_G_DEBT_ASSET_RATE,275.419,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0420/2026042000474.pdf,data/raw/hkex_reports/01555.HK/2025/annual_report.pdf,6,"English consolidated statement derived: Total liabilities 負債總額 6,237,400 4,152,388 3,628,825 3,652,018 3,749,773 | Total assets 資產總額 2,264,695 2,432,164 1,726,326 1,382,193 1,044,960",0.94
01623.HK,HILONG,2025,Q_G_DEBT_ASSET_RATE,61.2127,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0430/2026043000155.pdf,data/raw/hkex_reports/01623.HK/2025/annual_report.pdf,83,"English consolidated statement derived: Total liabilities 4,682,028 4,818,597 | Total assets 7,648,791 8,077,721",0.94
