company_code,company_name,report_year,indicator_code,candidate_count,distinct_values,source_pages,recommended_value,review_reason
00002.HK,CLP HOLDINGS,2025,Q_G_REVENUE_GROWTH,1,3.34704,17,3.34704,single_or_consistent
00006.HK,POWER ASSETS,2025,Q_G_REVENUE_GROWTH,1,-16.1045,80,-16.1045,single_or_consistent
00042.HK,NE ELECTRIC,2025,Q_G_REVENUE_GROWTH,1,4.94052,135,4.94052,single_or_consistent
00061.HK,GREEN LEADER,2025,Q_G_REVENUE_GROWTH,1,28.0312,82,28.0312,single_or_consistent
00065.HK,GRAND OCEAN AR,2025,Q_G_REVENUE_GROWTH,1,-10.7122,85,-10.7122,single_or_consistent
00135.HK,KUNLUN ENERGY,2025,Q_G_DEBT_ASSET_RATE,1,35.9717,102,35.9717,single_or_consistent
00182.HK,CONCORD NE,2025,Q_G_DEBT_ASSET_RATE,1,73.9046,59,73.9046,single_or_consistent
00196.HK,HONGHUA GROUP,2025,Q_G_DEBT_ASSET_RATE,1,71.1288,78,71.1288,single_or_consistent
00196.HK,HONGHUA GROUP,2025,Q_G_REVENUE_GROWTH,1,-2.48659,75,-2.48659,single_or_consistent
00228.HK,CHINA ENERGY,2025,Q_G_REVENUE_GROWTH,1,-21.9403,75,-21.9403,single_or_consistent
00276.HK,MONGOLIA ENERGY,2026,Q_G_REVENUE_GROWTH,1,-29.4937,62,-29.4937,single_or_consistent
00295.HK,KONG SUN HOLD,2025,Q_G_DEBT_ASSET_RATE,1,53.7893,7,53.7893,single_or_consistent
00295.HK,KONG SUN HOLD,2025,Q_G_REVENUE_GROWTH,1,-18.2081,122,-18.2081,single_or_consistent
00346.HK,YANCHANG PETRO,2025,Q_G_DEBT_ASSET_RATE,1,78.9713,60,78.9713,single_or_consistent
00346.HK,YANCHANG PETRO,2025,Q_G_REVENUE_GROWTH,1,-40.6319,57,-40.6319,single_or_consistent
00451.HK,GCL NEWENERGY,2025,Q_G_REVENUE_GROWTH,1,-4.07924,76,-4.07924,single_or_consistent
00579.HK,JNCEC,2025,Q_G_REVENUE_GROWTH,1,1.53347,98,1.53347,single_or_consistent
00632.HK,CHK OIL,2025,Q_G_REVENUE_GROWTH,1,-61.6022,4,-61.6022,single_or_consistent
00650.HK,PRODUCTIVE TECH,2024,Q_G_REVENUE_GROWTH,1,-48.7105,216,-48.7105,single_or_consistent
00666.HK,REPT BATTERO,2025,Q_G_REVENUE_GROWTH,1,36.7392,90,36.7392,single_or_consistent
00686.HK,BJ ENERGY INTL,2025,Q_G_DEBT_ASSET_RATE,1,72.0947,125,72.0947,single_or_consistent
00686.HK,BJ ENERGY INTL,2025,Q_G_REVENUE_GROWTH,1,10.3552,121,10.3552,single_or_consistent
00689.HK,EPI (HOLDINGS),2025,Q_G_REVENUE_GROWTH,1,-10.9203,89,-10.9203,single_or_consistent
00819.HK,TIANNENG POWER,2025,Q_G_REVENUE_GROWTH,1,-29.8295,77,-29.8295,single_or_consistent
00836.HK,CHINA RES POWER,2025,Q_G_DEBT_ASSET_RATE,1,67.3544,87,67.3544,single_or_consistent
00931.HK,CHINA HK POWER,2026,Q_G_REVENUE_GROWTH,1,14.1914,70,14.1914,single_or_consistent
00934.HK,SINOPEC KANTONS,2025,Q_G_DEBT_ASSET_RATE,1,2.05421,88,2.05421,single_or_consistent
00951.HK,CHAOWEI POWER,2025,Q_G_REVENUE_GROWTH,1,8.06388,8,8.06388,single_or_consistent
00968.HK,XINYI SOLAR,2025,Q_G_DEBT_ASSET_RATE,1,38.6178,77,38.6178,single_or_consistent
