company_code,company_name,official_domain,candidate_url,missing_independent_esg,verification_decision,review_note
688573.SH,信宇人,xinyuren.com,https://www.xinyuren.com/,true,verify,esp评级，确认发行人官网域名
688349.SH,三一重能,sanyre.com.cn,https://www.sanyre.com.cn,true,verify,esp评级，确认发行人官网域名
600379.SH,宝光股份,kaisaier.cn,https://www.kaisaier.cn/,true,verify,esp评级，确认发行人官网域名
00704.HK,HUSCOKE HLDGS,huscoke.com,https://huscoke.com/en/,true,verify,esp评级，确认发行人官网域名
00639.HK,SHOUGANG RES,shougang-resources.com.hk,https://www.shougang-resources.com.hk/s/ir_reports.php,true,verify,esp评级，确认发行人官网域名
002893.SZ,京能热力,bevoice.com.cn,https://www.bevoice.com.cn,true,verify,esp评级，确认发行人官网域名
002616.SZ,长青集团,sgnec.sgcc.com.cn,https://sgnec.sgcc.com.cn/atlas/projectListQuery,true,verify,esp评级，确认发行人官网域名
920523.BJ,德瑞锂电,huiderui.com,https://www.huiderui.com/,true,verify,esp评级，确认发行人官网域名
920110.BJ,雷特科技,ltech.cn,https://www.ltech.cn/,true,verify,esp评级，确认发行人官网域名
688707.SH,振华新材,zh-echem.com,https://www.zh-echem.com,true,verify,esp评级，确认发行人官网域名
688567.SH,孚能科技,farasis.com,https://www.farasis.com/index/investor/index.html,true,verify,esp评级，确认发行人官网域名
688223.SH,晶科能源,jinkosolar.com,https://www.jinkosolar.com/site/investment0,true,verify,esp评级，确认发行人官网域名
688147.SH,微导纳米,leadmicro.com,https://www.leadmicro.com/,true,verify,esp评级，确认发行人官网域名
603906.SH,龙蟠科技,lopal.cn,https://www.lopal.cn,true,verify,esp评级，确认发行人官网域名
603628.SH,清源股份,stcn.com,https://www.stcn.com/,true,verify,esp评级，确认发行人官网域名
603489.SH,八方股份,bafang-e.com.cn,https://www.bafang-e.com.cn/,true,verify,esp评级，确认发行人官网域名
603191.SH,望变电气,byzf.cqree.cn,https://byzf.cqree.cn/,true,verify,esp评级，确认发行人官网域名
603185.SH,弘元绿能,hysolar.com,https://hysolar.com/,true,verify,esp评级，确认发行人官网域名
603097.SH,江苏华辰,hcbyq.com,https://www.hcbyq.com/,true,verify,esp评级，确认发行人官网域名
601908.SH,京运通,jingyuntong.com,https://www.jingyuntong.com,true,verify,esp评级，确认发行人官网域名
601700.SH,风范股份,zqrb.cn,https://www.zqrb.cn/,true,verify,esp评级，确认发行人官网域名
601611.SH,中国核建,cnecc.com,https://www.cnecc.com,true,verify,esp评级，确认发行人官网域名
600979.SH,广安爱众,stcn.com,https://www.stcn.com,true,verify,esp评级，确认发行人官网域名
600925.SH,苏能股份,stcn.com,https://www.stcn.com,true,verify,esp评级，确认发行人官网域名
600644.SH,乐山电力,stcn.com,https://www.stcn.com,true,verify,esp评级，确认发行人官网域名
600642.SH,申能股份,shenergy.net.cn,https://www.shenergy.net.cn,true,verify,esp评级，确认发行人官网域名
600458.SH,时代新材,crrcgc.cc,https://www.crrcgc.cc/sdxc,true,verify,esp评级，确认发行人官网域名
600116.SH,三峡水利,stcn.com,https://www.stcn.com,true,verify,esp评级，确认发行人官网域名
301388.SZ,欣灵电气,c-lin.cn,https://www.c-lin.cn/,true,verify,esp评级，确认发行人官网域名
301327.SZ,华宝新能,s.comein.cn,https://s.comein.cn,true,verify,esp评级，确认发行人官网域名
301295.SZ,美硕科技,msrelay.cn,https://www.msrelay.cn/,true,verify,esp评级，确认发行人官网域名
301226.SZ,祥明智能,163.com,https://www.163.com/dy/article/IO6BUBNS0538NSS8.html,true,verify,esp评级，确认发行人官网域名
301163.SZ,宏德股份,hongdegf.cn,https://www.hongdegf.cn/,true,verify,esp评级，确认发行人官网域名
301157.SZ,华塑科技,huasucn.com,https://huasucn.com/,true,verify,esp评级，确认发行人官网域名
301152.SZ,天力锂能,xxtlln.com,https://www.xxtlln.com/,true,verify,esp评级，确认发行人官网域名
301002.SZ,崧盛股份,cn.sosen.com,https://cn.sosen.com,true,verify,esp评级，确认发行人官网域名
300933.SZ,中辰股份,zcdl.com,https://www.zcdl.com,true,verify,esp评级，确认发行人官网域名
300769.SZ,德方纳米,dynanonic.com,https://www.dynanonic.com,true,verify,esp评级，确认发行人官网域名
300751.SZ,迈为股份,maxwell-gp.com,https://www.maxwell-gp.com/,true,verify,esp评级，确认发行人官网域名
300713.SZ,英可瑞,szincrease.com,https://www.szincrease.com/,true,verify,esp评级，确认发行人官网域名
300510.SZ,金冠股份,jinguan-electric.com,https://www.jinguan-electric.com/,true,verify,esp评级，确认发行人官网域名
300427.SZ,红相股份,redphase.com.cn,https://www.redphase.com.cn,true,verify,esp评级，确认发行人官网域名
300080.SZ,易成新能,sthj.deing.cn,https://sthj.deing.cn,true,verify,esp评级，确认发行人官网域名
300051.SZ,琏升科技,leasdgrp.cn,https://www.leasdgrp.cn,true,verify,esp评级，确认发行人官网域名
300037.SZ,新宙邦,js-eia.cn,https://www.js-eia.cn,true,verify,esp评级，确认发行人官网域名
06885.HK,JINMA ENERGY,hnjmny.com,https://www.hnjmny.com/,true,verify,esp评级，确认发行人官网域名
01878.HK,SOUTHGOBI,southgobi.com,https://www.southgobi.com/html/ir_reports.php,true,verify,esp评级，确认发行人官网域名
00689.HK,EPI (HOLDINGS),epiholdings.com,https://www.epiholdings.com,true,verify,esp评级，确认发行人官网域名
00632.HK,CHK OIL,chkoilltd.com,https://www.chkoilltd.com/,true,verify,esp评级，确认发行人官网域名
002911.SZ,佛燃能源,fsgas.com,https://www.fsgas.com/,true,verify,esp评级，确认发行人官网域名
