priority,company_code,company_name,official_domain,candidate_url,https_ready,evidence_count,evidence_file,missing_independent_esg,alt_domain_count,verification_decision,reviewer,reviewed_at,review_note
1,000009.SZ,中国宝安,chinabaoan.com,http://www.chinabaoan.com/,false,1,data/text/000009.SZ/2025/annual_report.txt,false,0,verify,郭海飞,2026-08-06T09:45:06+08:00,esp评级，确认发行人官网域名
2,00002.HK,CLP HOLDINGS,clpgroup.com,https://clpgroup.com/,true,3,data/text/hkex_reports/00002.HK/2025/annual_report.txt,,0,verify,郭海飞,2026-08-06T09:54:24+08:00,esp评级，确认发行人官网域名
3,000027.SZ,深圳能源,sec.com.cn,https://www.sec.com.cn,true,1,data/text/000027.SZ/2025/esg_report.txt,false,0,verify,郭海飞,2026-08-06T09:45:06+08:00,esp评级，确认发行人官网域名
4,00003.HK,HK & CHINA GAS,towngas.com,https://towngas.com/,true,4,data/text/00003.HK/2025/annual_report.txt,,0,verify,郭海飞,2026-08-06T09:54:24+08:00,esp评级，确认发行人官网域名
5,000037.SZ,深南电A,stcn.com,http://www.stcn.com/,false,1,data/text/000037.SZ/2025/annual_report.txt,true,1,verify,郭海飞,2026-08-06T09:45:06+08:00,esp评级，确认发行人官网域名
6,000049.SZ,德赛电池,desaybattery.com.cn,https://desaybattery.com.cn/,true,2,data/text/ci_collection/000049.SZ/2025/annual_report.txt,,0,verify,郭海飞,2026-08-06T09:54:24+08:00,esp评级，确认发行人官网域名
7,00006.HK,POWER ASSETS,powerassets.com,https://powerassets.com/,true,6,data/text/hkex_reports/00006.HK/2025/annual_report.txt,,0,verify,郭海飞,2026-08-06T09:54:24+08:00,esp评级，确认发行人官网域名
8,000096.SZ,广聚能源,gj000096.com,https://gj000096.com/,true,2,data/text/ci_collection/000096.SZ/2025/annual_report.txt,,0,verify,郭海飞,2026-08-06T09:54:24+08:00,esp评级，确认发行人官网域名
9,000155.SZ,川能动力,cndl155.com,http://www.cndl155.com/,false,1,data/text/000155.SZ/2025/annual_report.txt,true,0,verify,郭海飞,2026-08-06T09:45:06+08:00,esp评级，确认发行人官网域名
10,000400.SZ,许继电气,xjec.com,http://www.xjec.com/,false,2,data/text/000400.SZ/2025/annual_report.txt,false,0,verify,郭海飞,2026-08-06T09:45:06+08:00,esp评级，确认发行人官网域名
11,000407.SZ,胜利股份,vicome.com,http://www.vicome.com,false,1,data/text/000407.SZ/2025/annual_report.txt,true,0,verify,郭海飞,2026-08-06T09:45:06+08:00,esp评级，确认发行人官网域名
12,00042.HK,NE ELECTRIC,nee.com.cn,https://nee.com.cn/,true,3,data/text/hkex_reports/00042.HK/2025/annual_report.txt,,0,verify,郭海飞,2026-08-06T09:54:24+08:00,esp评级，确认发行人官网域名
13,000421.SZ,南京公用,njpud.com,https://www.njpud.com/,true,1,data/text/000421.SZ/2025/annual_report.txt,true,0,verify,郭海飞,2026-08-06T09:45:06+08:00,esp评级，确认发行人官网域名
14,000531.SZ,穗恒运Ａ,hengyun.com.cn,http://www.hengyun.com.cn,false,2,data/text/000531.SZ/2025/annual_report.txt,false,0,verify,郭海飞,2026-08-06T09:45:06+08:00,esp评级，确认发行人官网域名
15,000533.SZ,顺钠股份,shunna.com.cn,http://www.shunna.com.cn,false,1,data/text/000533.SZ/2025/esg_report.txt,false,0,verify,郭海飞,2026-08-06T09:45:06+08:00,esp评级，确认发行人官网域名
16,000537.SZ,绿发电力,cge.cn,https://cge.cn/,true,2,data/text/ci_collection/000537.SZ/2025/annual_report.txt,,0,verify,郭海飞,2026-08-06T09:54:24+08:00,esp评级，确认发行人官网域名
17,000539.SZ,粤电力Ａ,ged.com.cn,http://www.ged.com.cn,false,1,data/text/000539.SZ/2025/annual_report.txt,true,0,verify,郭海飞,2026-08-06T09:45:06+08:00,esp评级，确认发行人官网域名
18,000543.SZ,皖能电力,stcn.com,https://www.stcn.com/,true,1,data/text/000543.SZ/2025/annual_report.txt,false,1,verify,郭海飞,2026-08-06T09:45:06+08:00,esp评级，确认发行人官网域名
19,000591.SZ,太阳能,cecsec.cn,http://www.cecsec.cn/,false,1,data/text/000591.SZ/2025/annual_report.txt,true,0,verify,郭海飞,2026-08-06T09:45:06+08:00,esp评级，确认发行人官网域名
20,000593.SZ,德龙汇能,dlceg.com,http://www.dlceg.com,false,1,data/text/000593.SZ/2025/annual_report.txt,true,0,verify,郭海飞,2026-08-06T09:45:06+08:00,esp评级，确认发行人官网域名
21,000600.SZ,建投能源,jei.com.cn,https://jei.com.cn/,true,2,data/text/ci_collection/000600.SZ/2025/annual_report.txt,,0,verify,郭海飞,2026-08-06T09:54:24+08:00,esp评级，确认发行人官网域名
