company_code,company_name,report_year,indicator_code,decision,candidate_count,distinct_values,selected_value,policy_version,reason
600236.SH,桂冠电力,2025,Q_G_AR_TURNOVER,auto_confirmed,1,4.8559,4.8559,public-disclosure-v3,official_annual_direct_consistent
600236.SH,桂冠电力,2025,Q_G_ASSET_TURNOVER,auto_confirmed,1,0.3382,0.3382,public-disclosure-v3,official_annual_direct_consistent
600236.SH,桂冠电力,2025,Q_G_CASH_CURRENT_LIABILITY,auto_confirmed,1,51.9976,51.9976,public-disclosure-v3,official_annual_direct_consistent
600236.SH,桂冠电力,2025,Q_G_CASH_REALIZATION,auto_confirmed,1,113.935,113.935,public-disclosure-v3,official_annual_direct_consistent
600236.SH,桂冠电力,2025,Q_G_COST_REVENUE_RATE,auto_confirmed,1,58.5211,58.5211,public-disclosure-v3,official_annual_direct_consistent
600236.SH,桂冠电力,2025,Q_G_CURRENT_ASSET_TURNOVER,auto_confirmed,1,2.1657,2.1657,public-disclosure-v3,official_annual_direct_consistent
600236.SH,桂冠电力,2025,Q_G_DEBT_ASSET_RATE,auto_confirmed,2,54.2174|54.22,54.2174,public-disclosure-v3,consolidated_statement_year_end_derived
600236.SH,桂冠电力,2025,Q_G_EBITDA_INTEREST,auto_confirmed,1,9.7414,9.7414,public-disclosure-v3,official_annual_direct_consistent
600236.SH,桂冠电力,2025,Q_G_OPERATING_MARGIN,auto_confirmed,1,42.8375,42.8375,public-disclosure-v3,official_annual_direct_consistent
600236.SH,桂冠电力,2025,Q_G_REVENUE_GROWTH,auto_confirmed,1,8.2781,8.2781,public-disclosure-v3,official_annual_direct_consistent
600236.SH,桂冠电力,2025,Q_G_ROA,auto_confirmed,1,16.0505,16.0505,public-disclosure-v3,official_annual_direct_consistent
600236.SH,桂冠电力,2025,Q_G_ROE,auto_confirmed,1,18.39,18.39,public-disclosure-v3,official_annual_direct_consistent
600236.SH,桂冠电力,2025,Q_G_TWO_FUNDS_RATE,auto_confirmed,1,45.8813,45.8813,public-disclosure-v3,official_annual_direct_consistent
600236.SH,桂冠电力,2025,Q_S_DIVIDEND_PER_SHARE,auto_confirmed,1,0.293,0.293,public-disclosure-v3,official_annual_direct_consistent
600236.SH,桂冠电力,2025,Q_S_RD_RATE,auto_confirmed,3,1.92,1.92,public-disclosure-v3,official_annual_direct_consistent
600339.SH,中油工程,2025,Q_G_AR_TURNOVER,auto_confirmed,1,6.9333,6.9333,public-disclosure-v3,official_annual_direct_consistent
600339.SH,中油工程,2025,Q_G_ASSET_TURNOVER,auto_confirmed,1,1.6162,1.6162,public-disclosure-v3,official_annual_direct_consistent
600339.SH,中油工程,2025,Q_G_CASH_REALIZATION,auto_confirmed,1,122.832,122.832,public-disclosure-v3,official_annual_direct_consistent
600339.SH,中油工程,2025,Q_G_COST_REVENUE_RATE,auto_confirmed,1,98.702,98.702,public-disclosure-v3,official_annual_direct_consistent
600339.SH,中油工程,2025,Q_G_CURRENT_ASSET_TURNOVER,auto_confirmed,1,0.9282,0.9282,public-disclosure-v3,official_annual_direct_consistent
