company_code,company_name,report_year,indicator_code,candidate_count,distinct_values,source_pages,recommended_value,review_reason
600236.SH,桂冠电力,2025,Q_G_AR_TURNOVER,1,4.85589,101,4.85589,single_or_consistent
600236.SH,桂冠电力,2025,Q_G_ASSET_TURNOVER,1,0.33822,102,0.33822,single_or_consistent
600236.SH,桂冠电力,2025,Q_G_CASH_CURRENT_LIABILITY,1,51.9976,110,51.9976,single_or_consistent
600236.SH,桂冠电力,2025,Q_G_CASH_REALIZATION,1,113.935,109,113.935,single_or_consistent
600236.SH,桂冠电力,2025,Q_G_COST_REVENUE_RATE,1,58.5211,105,58.5211,single_or_consistent
600236.SH,桂冠电力,2025,Q_G_CURRENT_ASSET_TURNOVER,1,2.16569,101,2.16569,single_or_consistent
600236.SH,桂冠电力,2025,Q_G_DEBT_ASSET_RATE,2,54.2174|54.22,11|103,,conflicting_candidates
600236.SH,桂冠电力,2025,Q_G_EBITDA_INTEREST,1,9.74144,106,9.74144,single_or_consistent
600236.SH,桂冠电力,2025,Q_G_OPERATING_MARGIN,1,42.8375,106,42.8375,single_or_consistent
600236.SH,桂冠电力,2025,Q_G_REVENUE_GROWTH,1,8.27805,6,8.27805,single_or_consistent
600236.SH,桂冠电力,2025,Q_G_ROA,1,16.0505,106,16.0505,single_or_consistent
600236.SH,桂冠电力,2025,Q_G_ROE,1,18.39,7,18.39,single_or_consistent
600236.SH,桂冠电力,2025,Q_G_TWO_FUNDS_RATE,1,45.8813,101,45.8813,single_or_consistent
600236.SH,桂冠电力,2025,Q_S_DIVIDEND_PER_SHARE,1,0.293,54,0.293,single_or_consistent
600236.SH,桂冠电力,2025,Q_S_RD_RATE,3,1.92,13|15|20,1.92,single_or_consistent
600339.SH,中油工程,2025,Q_G_AR_TURNOVER,1,6.93328,81,6.93328,single_or_consistent
600339.SH,中油工程,2025,Q_G_ASSET_TURNOVER,1,1.6162,82,1.6162,single_or_consistent
600339.SH,中油工程,2025,Q_G_CASH_REALIZATION,1,122.832,89,122.832,single_or_consistent
600339.SH,中油工程,2025,Q_G_COST_REVENUE_RATE,1,98.702,85,98.702,single_or_consistent
600339.SH,中油工程,2025,Q_G_CURRENT_ASSET_TURNOVER,1,0.928248,81,0.928248,single_or_consistent
600339.SH,中油工程,2025,Q_G_DEBT_ASSET_RATE,1,78.1716,83,78.1716,single_or_consistent
600339.SH,中油工程,2025,Q_G_EBITDA_INTEREST,1,4.04024,86,4.04024,single_or_consistent
600339.SH,中油工程,2025,Q_G_OPERATING_MARGIN,1,1.07189,86,1.07189,single_or_consistent
600339.SH,中油工程,2025,Q_G_OPERATING_PROFIT_GROWTH,1,-19.4272,86,-19.4272,single_or_consistent
600339.SH,中油工程,2025,Q_G_REVENUE_GROWTH,1,15.9844,7,15.9844,single_or_consistent
600339.SH,中油工程,2025,Q_G_ROA,1,2.32713,86,2.32713,single_or_consistent
600339.SH,中油工程,2025,Q_G_ROE,1,1.34,7,1.34,single_or_consistent
600339.SH,中油工程,2025,Q_G_TWO_FUNDS_RATE,1,30.9479,81,30.9479,single_or_consistent
600339.SH,中油工程,2025,Q_S_DIVIDEND_PER_SHARE,1,0.026,50,0.026,single_or_consistent
600339.SH,中油工程,2025,Q_S_RD_RATE,2,2.52,12|20,2.52,single_or_consistent
600406.SH,国电南瑞,2025,Q_G_AR_TURNOVER,1,3.83774,121,3.83774,single_or_consistent
600406.SH,国电南瑞,2025,Q_G_ASSET_TURNOVER,1,1.33652,122,1.33652,single_or_consistent
600406.SH,国电南瑞,2025,Q_G_CASH_CURRENT_LIABILITY,1,30.8836,134,30.8836,single_or_consistent
600406.SH,国电南瑞,2025,Q_G_CASH_REALIZATION,1,111.244,133,111.244,single_or_consistent
600406.SH,国电南瑞,2025,Q_G_COST_REVENUE_RATE,1,86.0421,128,86.0421,single_or_consistent
600406.SH,国电南瑞,2025,Q_G_CURRENT_ASSET_TURNOVER,1,1.45617,121,1.45617,single_or_consistent
600406.SH,国电南瑞,2025,Q_G_DEBT_ASSET_RATE,1,42.7306,123,42.7306,single_or_consistent
600406.SH,国电南瑞,2025,Q_G_EBITDA_INTEREST,1,491.888,129,491.888,single_or_consistent
600406.SH,国电南瑞,2025,Q_G_OPERATING_MARGIN,1,14.8112,129,14.8112,single_or_consistent
600406.SH,国电南瑞,2025,Q_G_REVENUE_GROWTH,1,14.5252,13,14.5252,single_or_consistent
600406.SH,国电南瑞,2025,Q_G_ROA,1,19.8552,129,19.8552,single_or_consistent
600406.SH,国电南瑞,2025,Q_G_ROE,1,16.26,14,16.26,single_or_consistent
600406.SH,国电南瑞,2025,Q_G_TWO_FUNDS_RATE,1,54.0805,121,54.0805,single_or_consistent
600406.SH,国电南瑞,2025,Q_S_DIVIDEND_PER_SHARE,1,0.622,71,0.622,single_or_consistent
600406.SH,国电南瑞,2025,Q_S_RD_RATE,1,7.16,31,7.16,single_or_consistent
600803.SH,新奥股份,2025,Q_G_REVENUE_GROWTH,1,-3.22426,8,-3.22426,single_or_consistent
600803.SH,新奥股份,2025,Q_G_ROE,1,19.35,9,19.35,single_or_consistent
600803.SH,新奥股份,2025,Q_S_DIVIDEND_PER_SHARE,1,1.14,68,1.14,single_or_consistent
600803.SH,新奥股份,2025,Q_S_RD_RATE,1,0.74,34,0.74,single_or_consistent
600821.SH,金开新能,2025,Q_G_AR_TURNOVER,1,0.44952,86,0.44952,single_or_consistent
600821.SH,金开新能,2025,Q_G_ASSET_TURNOVER,1,0.0869431,87,0.0869431,single_or_consistent
600821.SH,金开新能,2025,Q_G_CASH_CURRENT_LIABILITY,1,43.2437,93,43.2437,single_or_consistent
600821.SH,金开新能,2025,Q_G_CASH_REALIZATION,1,187.74,93,187.74,single_or_consistent
600821.SH,金开新能,2025,Q_G_COST_REVENUE_RATE,1,81.7461,90,81.7461,single_or_consistent
600821.SH,金开新能,2025,Q_G_CURRENT_ASSET_TURNOVER,1,0.348469,86,0.348469,single_or_consistent
600821.SH,金开新能,2025,Q_G_DEBT_ASSET_RATE,1,72.4189,87,72.4189,single_or_consistent
600821.SH,金开新能,2025,Q_G_EBITDA_INTEREST,1,1.37333,91,1.37333,single_or_consistent
600821.SH,金开新能,2025,Q_G_OPERATING_MARGIN,1,7.97675,91,7.97675,single_or_consistent
600821.SH,金开新能,2025,Q_G_OPERATING_PROFIT_GROWTH,1,-74.2123,91,-74.2123,single_or_consistent
600821.SH,金开新能,2025,Q_G_REVENUE_GROWTH,1,-4.44311,7,-4.44311,single_or_consistent
600821.SH,金开新能,2025,Q_G_ROA,1,2.78067,91,2.78067,single_or_consistent
600821.SH,金开新能,2025,Q_G_ROE,1,1.11,7,1.11,single_or_consistent
600821.SH,金开新能,2025,Q_G_TWO_FUNDS_RATE,1,77.1935,86,77.1935,single_or_consistent
600821.SH,金开新能,2025,Q_S_DIVIDEND_PER_SHARE,1,0.1,52,0.1,single_or_consistent
