company_code,company_name,company_impact_score,maximum_gap_impact,gap_count,crosses_top_n_count,high_impact_gap_count,missing_esg_document,top_indicator_codes,next_action
00554.HK,HANS GP HLDGS,130.833333,90.0,35,35,6,False,X_E_BIODIVERSITY|X_G_DISCLOSURE|X_G_INTEGRITY|X_E_CLIMATE_ACTION|X_E_CLIMATE_RISK,rescan_collected_reports
01621.HK,VICO INTL HLDGS,130.666667,90.0,23,23,6,False,X_E_BIODIVERSITY|X_G_DISCLOSURE|X_G_INTEGRITY|X_G_TAX|X_E_ENERGY_MANAGEMENT,rescan_collected_reports
02178.HK,PETRO-KING,130.666667,90.0,18,18,5,False,X_E_BIODIVERSITY|X_G_DISCLOSURE|X_G_INTEGRITY|X_G_TAX|X_E_ENERGY_MANAGEMENT,rescan_collected_reports
00353.HK,ENERGY INTINV,130.5,90.0,36,36,7,False,X_E_BIODIVERSITY|X_G_DISCLOSURE|X_G_TAX|X_E_CLIMATE_ACTION|X_E_CLIMATE_RISK,rescan_collected_reports
03395.HK,JX ENERGY,130.25,90.0,25,25,5,False,X_E_BIODIVERSITY|X_G_INTEGRITY|X_G_TAX|X_E_CLIMATE_RISK|X_E_ENERGY_MANAGEMENT,rescan_collected_reports
08347.HK,F8 ENT,130.25,90.0,25,25,5,False,X_E_BIODIVERSITY|X_G_INTEGRITY|X_G_TAX|X_E_CLIMATE_RISK|X_E_ENERGY_MANAGEMENT,rescan_collected_reports
000037.SZ,深南电A,130.166667,90.0,35,35,7,False,X_E_BIODIVERSITY|X_G_INTEGRITY|X_E_CLIMATE_ACTION|X_E_CLIMATE_RISK|X_G_AUDIT,rescan_collected_reports
000096.SZ,广聚能源,130.166667,90.0,37,37,8,False,X_E_BIODIVERSITY|X_G_INTEGRITY|X_E_CLIMATE_ACTION|X_E_CLIMATE_RISK|X_E_ENERGY_MANAGEMENT,rescan_collected_reports
000690.SZ,宝新能源,130.166667,90.0,29,29,7,False,X_E_BIODIVERSITY|X_G_INTEGRITY|X_E_CLIMATE_ACTION|X_E_CLIMATE_RISK|X_G_AUDIT,rescan_collected_reports
000968.SZ,蓝焰控股,130.166667,90.0,36,36,8,False,X_E_BIODIVERSITY|X_G_INTEGRITY|X_E_CLIMATE_ACTION|X_E_CLIMATE_RISK|X_E_ENERGY_MANAGEMENT,rescan_collected_reports
001258.SZ,立新能源,130.166667,90.0,32,32,8,False,X_E_BIODIVERSITY|X_G_INTEGRITY|X_E_CLIMATE_ACTION|X_E_CLIMATE_RISK|X_E_ENERGY_MANAGEMENT,rescan_collected_reports
001299.SZ,美能能源,130.166667,90.0,34,34,7,False,X_E_BIODIVERSITY|X_G_INTEGRITY|X_E_CLIMATE_ACTION|X_E_CLIMATE_RISK|X_G_AUDIT,rescan_collected_reports
002039.SZ,黔源电力,130.166667,90.0,37,37,8,False,X_E_BIODIVERSITY|X_G_INTEGRITY|X_E_CLIMATE_ACTION|X_E_CLIMATE_RISK|X_E_ENERGY_MANAGEMENT,rescan_collected_reports
002128.SZ,电投能源,130.166667,90.0,33,33,7,False,X_E_BIODIVERSITY|X_G_INTEGRITY|X_E_CLIMATE_ACTION|X_E_CLIMATE_RISK|X_G_AUDIT,rescan_collected_reports
002267.SZ,陕天然气,130.166667,90.0,36,36,8,False,X_E_BIODIVERSITY|X_G_INTEGRITY|X_E_CLIMATE_ACTION|X_E_CLIMATE_RISK|X_E_ENERGY_MANAGEMENT,rescan_collected_reports
002276.SZ,万马股份,130.166667,90.0,24,24,8,False,X_E_BIODIVERSITY|X_G_INTEGRITY|X_E_CLIMATE_ACTION|X_E_CLIMATE_RISK|X_E_ENERGY_MANAGEMENT,rescan_collected_reports
002335.SZ,科华数据,130.166667,90.0,28,28,7,False,X_E_BIODIVERSITY|X_G_INTEGRITY|X_E_CLIMATE_ACTION|X_E_CLIMATE_RISK|X_G_AUDIT,rescan_collected_reports
002346.SZ,柘中股份,130.166667,90.0,32,32,8,False,X_E_BIODIVERSITY|X_G_INTEGRITY|X_E_CLIMATE_ACTION|X_E_CLIMATE_RISK|X_E_ENERGY_MANAGEMENT,rescan_collected_reports
002452.SZ,长高电气,130.166667,90.0,32,32,8,False,X_E_BIODIVERSITY|X_G_INTEGRITY|X_E_CLIMATE_ACTION|X_E_CLIMATE_RISK|X_E_ENERGY_MANAGEMENT,rescan_collected_reports
002479.SZ,富春环保,130.166667,90.0,30,30,7,False,X_E_BIODIVERSITY|X_G_INTEGRITY|X_E_CLIMATE_ACTION|X_E_CLIMATE_RISK|X_G_AUDIT,rescan_collected_reports
002692.SZ,远程股份,130.166667,90.0,31,31,7,False,X_E_BIODIVERSITY|X_G_INTEGRITY|X_E_CLIMATE_ACTION|X_E_CLIMATE_RISK|X_G_AUDIT,rescan_collected_reports
002850.SZ,科达利,130.166667,90.0,31,31,8,False,X_E_BIODIVERSITY|X_G_INTEGRITY|X_E_CLIMATE_ACTION|X_E_CLIMATE_RISK|X_E_ENERGY_MANAGEMENT,rescan_collected_reports
300037.SZ,新宙邦,130.166667,90.0,27,27,8,False,X_E_BIODIVERSITY|X_G_INTEGRITY|X_E_CLIMATE_ACTION|X_E_CLIMATE_RISK|X_E_ENERGY_MANAGEMENT,rescan_collected_reports
300040.SZ,九洲集团,130.166667,90.0,32,32,7,False,X_E_BIODIVERSITY|X_G_INTEGRITY|X_E_CLIMATE_ACTION|X_E_CLIMATE_RISK|X_G_AUDIT,rescan_collected_reports
300105.SZ,龙源技术,130.166667,90.0,34,34,7,False,X_E_BIODIVERSITY|X_G_INTEGRITY|X_E_CLIMATE_ACTION|X_E_CLIMATE_RISK|X_G_AUDIT,rescan_collected_reports
