company_code,company_name,company_impact_score,gap_count,high_impact_gap_count,top_indicator_codes
00002.HK,CLP HOLDINGS,143.369445,32,10,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_E_SO2_INTENSITY|Q_E_NOX_INTENSITY|Q_E_WATER_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_S_RD_RATE|Q_S_DIVIDEND_PER_SHARE|Q_G_DEBT_ASSET_RATE
00003.HK,HK & CHINA GAS,143.369445,32,10,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_E_SO2_INTENSITY|Q_E_NOX_INTENSITY|Q_E_WATER_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_S_RD_RATE|Q_S_DIVIDEND_PER_SHARE|Q_G_DEBT_ASSET_RATE
000037.SZ,深南电A,143.369445,27,8,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_E_SO2_INTENSITY|Q_E_NOX_INTENSITY|Q_E_WATER_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_S_RD_RATE|Q_E_GHG_REDUCTION_RATE|Q_E_HAZ_WASTE_INTENSITY
00006.HK,POWER ASSETS,143.369445,35,10,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_E_SO2_INTENSITY|Q_E_NOX_INTENSITY|Q_E_WATER_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_S_RD_RATE|Q_S_DIVIDEND_PER_SHARE|Q_G_DEBT_ASSET_RATE
000096.SZ,广聚能源,143.369445,15,7,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_E_SO2_INTENSITY|Q_E_NOX_INTENSITY|Q_E_WATER_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_E_GHG_REDUCTION_RATE|Q_E_HAZ_WASTE_INTENSITY|Q_E_CLEAN_ENERGY_INTENSITY
000554.SZ,泰山石油,143.369445,34,9,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_E_SO2_INTENSITY|Q_E_NOX_INTENSITY|Q_E_WATER_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_S_RD_RATE|Q_G_DEBT_ASSET_RATE|Q_E_HAZ_WASTE_INTENSITY
000690.SZ,宝新能源,143.369445,24,9,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_E_SO2_INTENSITY|Q_E_NOX_INTENSITY|Q_E_WATER_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_S_RD_RATE|Q_G_DEBT_ASSET_RATE|Q_E_GHG_REDUCTION_RATE
000968.SZ,蓝焰控股,143.369445,30,8,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_E_SO2_INTENSITY|Q_E_NOX_INTENSITY|Q_E_WATER_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_S_RD_RATE|Q_E_GHG_REDUCTION_RATE|Q_E_HAZ_WASTE_INTENSITY
001258.SZ,立新能源,143.369445,15,7,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_E_SO2_INTENSITY|Q_E_NOX_INTENSITY|Q_E_WATER_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_E_GHG_REDUCTION_RATE|Q_E_HAZ_WASTE_INTENSITY|Q_E_CLEAN_ENERGY_INTENSITY
001299.SZ,美能能源,143.369445,16,7,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_E_SO2_INTENSITY|Q_E_NOX_INTENSITY|Q_E_WATER_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_E_GHG_REDUCTION_RATE|Q_E_HAZ_WASTE_INTENSITY|Q_E_CLEAN_ENERGY_INTENSITY
00182.HK,CONCORD NE,143.369445,30,9,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_E_SO2_INTENSITY|Q_E_NOX_INTENSITY|Q_E_WATER_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_S_RD_RATE|Q_S_DIVIDEND_PER_SHARE|Q_E_GHG_REDUCTION_RATE
