stock_code,company_name,exchange,industry,entity_id,st_status,listing_status,energy_eligible,source_url,as_of_date
920000.BJ,安徽凤凰,BSE,汽车制造业,920000.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920001.BJ,纬达光电,BSE,计算机、通信和其他电子设备制造业,920001.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920002.BJ,万达轴承,BSE,通用设备制造业,920002.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920003.BJ,中诚咨询,BSE,专业技术服务业,920003.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920005.BJ,鼎佳精密,BSE,计算机、通信和其他电子设备制造业,920005.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920006.BJ,晟楠科技,BSE,铁路、船舶、航空航天和其他运输设备制造业,920006.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920007.BJ,酉立智能,BSE,金属制品业,920007.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920008.BJ,成电光信,BSE,计算机、通信和其他电子设备制造业,920008.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920009.BJ,丹娜生物,BSE,医药制造业,920009.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920010.BJ,凯添燃气,BSE,燃气生产和供应业,920010.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920011.BJ,晨光电机,BSE,电气机械和器材制造业,920011.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920012.BJ,创达新材,BSE,计算机、通信和其他电子设备制造业,920012.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920014.BJ,特瑞斯,BSE,专用设备制造业,920014.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920015.BJ,锦华新材,BSE,化学原料和化学制品制造业,920015.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920016.BJ,中草香料,BSE,化学原料和化学制品制造业,920016.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920017.BJ,星昊医药,BSE,医药制造业,920017.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920018.BJ,宏远股份,BSE,电气机械和器材制造业,920018.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920019.BJ,铜冠矿建,BSE,开采专业及辅助性活动,920019.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920020.BJ,泰凯英,BSE,橡胶和塑料制品业,920020.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920021.BJ,流金科技,BSE,电信、广播电视和卫星传输服务,920021.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920022.BJ,世昌股份,BSE,汽车制造业,920022.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920023.BJ,*ST田野,BSE,酒、饮料和精制茶制造业,920023.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920026.BJ,卓兆点胶,BSE,专用设备制造业,920026.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920027.BJ,交大铁发,BSE,铁路、船舶、航空航天和其他运输设备制造业,920027.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920028.BJ,新恒泰,BSE,橡胶和塑料制品业,920028.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920029.BJ,开发科技,BSE,仪器仪表制造业,920029.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920030.BJ,德众汽车,BSE,零售业,920030.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920033.BJ,康普化学,BSE,化学原料和化学制品制造业,920033.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920035.BJ,精创电气,BSE,仪器仪表制造业,920035.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920036.BJ,觅睿科技,BSE,计算机、通信和其他电子设备制造业,920036.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920037.BJ,广信科技,BSE,电气机械和器材制造业,920037.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920039.BJ,国义招标,BSE,专业技术服务业,920039.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920045.BJ,蘅东光,BSE,计算机、通信和其他电子设备制造业,920045.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920046.BJ,亿能电力,BSE,电气机械和器材制造业,920046.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920047.BJ,诺思兰德,BSE,医药制造业,920047.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920050.BJ,爱伦医疗,BSE,医药制造业,920050.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920055.BJ,隆源股份,BSE,汽车制造业,920055.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920056.BJ,能之光,BSE,橡胶和塑料制品业,920056.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920057.BJ,百甲科技,BSE,金属制品业,920057.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920058.BJ,华洋赛车,BSE,铁路、船舶、航空航天和其他运输设备制造业,920058.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920060.BJ,万源通,BSE,计算机、通信和其他电子设备制造业,920060.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920061.BJ,西磁科技,BSE,专用设备制造业,920061.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920062.BJ,科润智控,BSE,电气机械和器材制造业,920062.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920065.BJ,N千岸,BSE,零售业,920065.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920066.BJ,科拜尔,BSE,橡胶和塑料制品业,920066.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920068.BJ,天工股份,BSE,有色金属冶炼和压延加工业,920068.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920069.BJ,普昂医疗,BSE,专用设备制造业,920069.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920072.BJ,科莱瑞迪,BSE,专用设备制造业,920072.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920075.BJ,柏星龙,BSE,印刷和记录媒介复制业,920075.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920076.BJ,国亮新材,BSE,非金属矿物制品业,920076.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920077.BJ,吉林碳谷,BSE,化学纤维制造业,920077.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920078.BJ,族兴新材,BSE,化学原料和化学制品制造业,920078.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920079.BJ,乔路铭,BSE,汽车制造业,920079.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920080.BJ,奥美森,BSE,专用设备制造业,920080.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920081.BJ,欧伦电气,BSE,电气机械和器材制造业,920081.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920082.BJ,方正阀门,BSE,通用设备制造业,920082.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920083.BJ,金戈新材,BSE,非金属矿物制品业,920083.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920086.BJ,科马材料,BSE,汽车制造业,920086.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920087.BJ,秋乐种业,BSE,农、林、牧、渔专业及辅助性活动,920087.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920088.BJ,科力股份,BSE,开采专业及辅助性活动,920088.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920089.BJ,禾昌聚合,BSE,橡胶和塑料制品业,920089.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920090.BJ,*ST同辉,BSE,软件和信息技术服务业,920090.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920091.BJ,大鹏工业,BSE,专用设备制造业,920091.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920092.BJ,汉鑫科技,BSE,软件和信息技术服务业,920092.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920096.BJ,嘉晨智能,BSE,仪器仪表制造业,920096.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920098.BJ,科隆新材,BSE,橡胶和塑料制品业,920098.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920099.BJ,瑞华技术,BSE,专业技术服务业,920099.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920100.BJ,三协电机,BSE,电气机械和器材制造业,920100.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920101.BJ,志高机械,BSE,专用设备制造业,920101.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920106.BJ,林泰新材,BSE,汽车制造业,920106.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920108.BJ,宏海科技,BSE,电气机械和器材制造业,920108.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920110.BJ,雷特科技,BSE,计算机、通信和其他电子设备制造业,920110.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920111.BJ,聚星科技,BSE,电气机械和器材制造业,920111.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920112.BJ,巴兰仕,BSE,专用设备制造业,920112.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920116.BJ,星图测控,BSE,软件和信息技术服务业,920116.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920117.BJ,龙鑫智能,BSE,专用设备制造业,920117.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920118.BJ,太湖远大,BSE,橡胶和塑料制品业,920118.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920119.BJ,美德乐,BSE,通用设备制造业,920119.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920121.BJ,江天科技,BSE,印刷和记录媒介复制业,920121.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920122.BJ,中纺标,BSE,专业技术服务业,920122.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920123.BJ,芭薇股份,BSE,化学原料和化学制品制造业,920123.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920124.BJ,南特科技,BSE,通用设备制造业,920124.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920125.BJ,鸿仕达,BSE,专用设备制造业,920125.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920126.BJ,永大股份,BSE,专用设备制造业,920126.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920128.BJ,胜业电气,BSE,电气机械和器材制造业,920128.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920130.BJ,立方控股,BSE,软件和信息技术服务业,920130.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920132.BJ,泰鹏智能,BSE,家具制造业,920132.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920136.BJ,永励精密,BSE,汽车制造业,920136.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920139.BJ,华岭股份,BSE,计算机、通信和其他电子设备制造业,920139.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920145.BJ,恒合股份,BSE,仪器仪表制造业,920145.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920146.BJ,华阳变速,BSE,汽车制造业,920146.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920149.BJ,旭杰科技,BSE,专业技术服务业,920149.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920152.BJ,昆工科技,BSE,专用设备制造业,920152.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920156.BJ,海昌智能,BSE,专用设备制造业,920156.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920158.BJ,长江能科,BSE,专用设备制造业,920158.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920159.BJ,农大科技,BSE,化学原料和化学制品制造业,920159.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920160.BJ,北矿检测,BSE,专业技术服务业,920160.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920161.BJ,龙辰科技,BSE,计算机、通信和其他电子设备制造业,920161.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920163.BJ,方大新材,BSE,橡胶和塑料制品业,920163.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920166.BJ,海圣医疗,BSE,专用设备制造业,920166.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920167.BJ,同享科技,BSE,电气机械和器材制造业,920167.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920168.BJ,通宝光电,BSE,汽车制造业,920168.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920169.BJ,七丰精工,BSE,通用设备制造业,920169.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920171.BJ,志晟信息,BSE,软件和信息技术服务业,920171.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920174.BJ,五新智能,BSE,专用设备制造业,920174.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920175.BJ,东方碳素,BSE,非金属矿物制品业,920175.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920176.BJ,维琪科技,BSE,化学原料和化学制品制造业,920176.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920177.BJ,恒道科技,BSE,专用设备制造业,920177.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920178.BJ,锐翔智能,BSE,专用设备制造业,920178.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920179.BJ,凯德石英,BSE,非金属矿物制品业,920179.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920180.BJ,爱得科技,BSE,专用设备制造业,920180.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920181.BJ,赛英电子,BSE,电气机械和器材制造业,920181.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920183.BJ,海菲曼,BSE,计算机、通信和其他电子设备制造业,920183.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920184.BJ,国源科技,BSE,软件和信息技术服务业,920184.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920185.BJ,贝特瑞,BSE,计算机、通信和其他电子设备制造业,920185.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920186.BJ,中科仪,BSE,通用设备制造业,920186.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920187.BJ,通领科技,BSE,汽车制造业,920187.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920188.BJ,悦龙科技,BSE,橡胶和塑料制品业,920188.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920189.BJ,康美特,BSE,计算机、通信和其他电子设备制造业,920189.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920190.BJ,雷神科技,BSE,计算机、通信和其他电子设备制造业,920190.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920191.BJ,瑞尔竞达,BSE,非金属矿物制品业,920191.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920193.BJ,吉和昌,BSE,化学原料和化学制品制造业,920193.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920195.BJ,三祥科技,BSE,橡胶和塑料制品业,920195.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920198.BJ,微创光电,BSE,计算机、通信和其他电子设备制造业,920198.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920199.BJ,倍益康,BSE,计算机、通信和其他电子设备制造业,920199.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920200.BJ,振宏股份,BSE,金属制品业,920200.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920204.BJ,沪江材料,BSE,橡胶和塑料制品业,920204.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920206.BJ,彩客科技,BSE,化学原料和化学制品制造业,920206.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920207.BJ,众诚科技,BSE,软件和信息技术服务业,920207.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920208.BJ,青矩技术,BSE,专业技术服务业,920208.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920211.BJ,新睿电子,BSE,仪器仪表制造业,920211.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920212.BJ,智新电子,BSE,计算机、通信和其他电子设备制造业,920212.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920218.BJ,新天力,BSE,橡胶和塑料制品业,920218.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920220.BJ,朗信电气,BSE,汽车制造业,920220.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920221.BJ,易实精密,BSE,汽车制造业,920221.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920222.BJ,益坤电气,BSE,电气机械和器材制造业,920222.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920223.BJ,荣亿精密,BSE,通用设备制造业,920223.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920225.BJ,利通科技,BSE,橡胶和塑料制品业,920225.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920227.BJ,美登科技,BSE,软件和信息技术服务业,920227.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920230.BJ,欧康医药,BSE,医药制造业,920230.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920237.BJ,力佳科技,BSE,电气机械和器材制造业,920237.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920238.BJ,长鹰硬科,BSE,金属制品业,920238.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920239.BJ,长虹能源,BSE,电气机械和器材制造业,920239.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920242.BJ,建邦科技,BSE,商务服务业,920242.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920245.BJ,威博液压,BSE,通用设备制造业,920245.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920247.BJ,华密新材,BSE,橡胶和塑料制品业,920247.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920249.BJ,利尔达,BSE,批发业,920249.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920252.BJ,天宏锂电,BSE,电气机械和器材制造业,920252.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920260.BJ,中寰股份,BSE,仪器仪表制造业,920260.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920261.BJ,一诺威,BSE,化学原料和化学制品制造业,920261.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920262.BJ,太湖雪,BSE,纺织业,920262.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920263.BJ,中航泰达,BSE,生态保护和环境治理业,920263.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920266.BJ,生物谷,BSE,医药制造业,920266.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920267.BJ,鑫汇科,BSE,计算机、通信和其他电子设备制造业,920267.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920270.BJ,天铭科技,BSE,通用设备制造业,920270.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920271.BJ,邦德股份,BSE,汽车制造业,920271.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920273.BJ,一致魔芋,BSE,食品制造业,920273.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920274.BJ,宏裕包材,BSE,橡胶和塑料制品业,920274.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920275.BJ,驱动力,BSE,农副食品加工业,920275.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920278.BJ,鹿得医疗,BSE,专用设备制造业,920278.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920284.BJ,灵鸽科技,BSE,专用设备制造业,920284.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920299.BJ,灿能电力,BSE,仪器仪表制造业,920299.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920300.BJ,辰光医疗,BSE,专用设备制造业,920300.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920304.BJ,迪尔化工,BSE,化学原料和化学制品制造业,920304.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920305.BJ,云创退,BSE,软件和信息技术服务业,920305.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920339.BJ,恒太照明,BSE,电气机械和器材制造业,920339.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920344.BJ,三元基因,BSE,医药制造业,920344.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920346.BJ,威贸电子,BSE,计算机、通信和其他电子设备制造业,920346.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920351.BJ,华光源海,BSE,多式联运和运输代理业,920351.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920357.BJ,雅葆轩,BSE,计算机、通信和其他电子设备制造业,920357.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920363.BJ,莱赛激光,BSE,仪器仪表制造业,920363.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920367.BJ,新赣江,BSE,医药制造业,920367.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920368.BJ,连城数控,BSE,专用设备制造业,920368.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920370.BJ,新安洁,BSE,公共设施管理业,920370.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920371.BJ,欧福蛋业,BSE,农副食品加工业,920371.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920374.BJ,云里物里,BSE,计算机、通信和其他电子设备制造业,920374.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920375.BJ,派诺科技,BSE,软件和信息技术服务业,920375.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920378.BJ,泰德股份,BSE,汽车制造业,920378.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920392.BJ,佳合科技,BSE,造纸和纸制品业,920392.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920394.BJ,民士达,BSE,纺织业,920394.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920395.BJ,朗鸿科技,BSE,计算机、通信和其他电子设备制造业,920395.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920396.BJ,常辅股份,BSE,仪器仪表制造业,920396.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920402.BJ,硅烷科技,BSE,化学原料和化学制品制造业,920402.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920403.BJ,康农种业,BSE,农业,920403.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920405.BJ,海希通讯,BSE,仪器仪表制造业,920405.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920407.BJ,驰诚股份,BSE,仪器仪表制造业,920407.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920414.BJ,欧普泰,BSE,专用设备制造业,920414.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920415.BJ,恒拓开源,BSE,软件和信息技术服务业,920415.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920418.BJ,苏轴股份,BSE,通用设备制造业,920418.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920419.BJ,路斯股份,BSE,农副食品加工业,920419.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920422.BJ,润普食品,BSE,食品制造业,920422.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920425.BJ,乐创技术,BSE,软件和信息技术服务业,920425.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920427.BJ,华维设计,BSE,专业技术服务业,920427.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920429.BJ,康比特,BSE,食品制造业,920429.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920433.BJ,大唐药业,BSE,医药制造业,920433.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920436.BJ,大地电气,BSE,汽车制造业,920436.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920438.BJ,戈碧迦,BSE,非金属矿物制品业,920438.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920445.BJ,龙竹科技,BSE,家具制造业,920445.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920454.BJ,同心传动,BSE,汽车制造业,920454.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920455.BJ,汇隆活塞,BSE,通用设备制造业,920455.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
920469.BJ,富恒新材,BSE,橡胶和塑料制品业,920469.BJ,,上市,,https://www.bse.cn/nq/listedcompany.html,2026-07-29
