stock_code,company_name,exchange,industry,entity_id,st_status,listing_status,energy_eligible,source_url,as_of_date
00001.HK,CKH HOLDINGS,HKEX,待分类,00001.HK,,上市,,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00002.HK,CLP HOLDINGS,HKEX,待分类,00002.HK,,上市,,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00003.HK,HK & CHINA GAS,HKEX,待分类,00003.HK,,上市,,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00004.HK,WHARF HOLDINGS,HKEX,待分类,00004.HK,,上市,,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00005.HK,HSBC HOLDINGS,HKEX,待分类,00005.HK,,上市,,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00006.HK,POWER ASSETS,HKEX,待分类,00006.HK,,上市,,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00007.HK,WISDOM WEALTH,HKEX,待分类,00007.HK,,上市,,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00008.HK,PCCW,HKEX,待分类,00008.HK,,上市,,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00010.HK,HANG LUNG GROUP,HKEX,待分类,00010.HK,,上市,,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00012.HK,HENDERSON LAND,HKEX,待分类,00012.HK,,上市,,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00013.HK,HUTCHMED,HKEX,待分类,00013.HK,,上市,,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00014.HK,HYSAN DEV,HKEX,待分类,00014.HK,,上市,,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00016.HK,SHK PPT,HKEX,待分类,00016.HK,,上市,,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00017.HK,NEW WORLD DEV,HKEX,待分类,00017.HK,,上市,,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00018.HK,ORIENTAL M G,HKEX,待分类,00018.HK,,上市,,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00019.HK,SWIRE PACIFIC A,HKEX,待分类,00019.HK,,上市,,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00020.HK,SENSETIME-W,HKEX,待分类,00020.HK,,上市,,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00021.HK,GREAT CHI HLDGS,HKEX,待分类,00021.HK,,上市,,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00022.HK,MEXAN-NEW,HKEX,待分类,00022.HK,,上市,,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00023.HK,BANK OF E ASIA,HKEX,待分类,00023.HK,,上市,,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00025.HK,CHEVALIER INT'L,HKEX,待分类,00025.HK,,上市,,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00026.HK,CHINA MOTOR BUS,HKEX,待分类,00026.HK,,上市,,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00027.HK,GALAXY ENT,HKEX,待分类,00027.HK,,上市,,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00028.HK,TIAN AN,HKEX,待分类,00028.HK,,上市,,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00029.HK,DYNAMIC HOLD,HKEX,待分类,00029.HK,,上市,,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00030.HK,YNBY INTL,HKEX,待分类,00030.HK,,上市,,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00031.HK,CHINA AEROSPACE,HKEX,待分类,00031.HK,,上市,,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00032.HK,CROSS-HAR(HOLD),HKEX,待分类,00032.HK,,上市,,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
