stock_code,company_name,exchange,industry,entity_id,st_status,listing_status,energy_eligible,source_url,as_of_date
688001.SH,华兴源创,SSE,制造业,688001.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688002.SH,睿创微纳,SSE,制造业,688002.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688003.SH,天准科技,SSE,制造业,688003.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688004.SH,博汇科技,SSE,信息传输、软件和信息技术服务业,688004.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688005.SH,容百科技,SSE,制造业,688005.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688006.SH,杭可科技,SSE,制造业,688006.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688007.SH,光峰科技,SSE,制造业,688007.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688008.SH,澜起科技,SSE,制造业,688008.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688009.SH,中国通号,SSE,制造业,688009.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688010.SH,福光股份,SSE,制造业,688010.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688011.SH,新光光电,SSE,制造业,688011.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688012.SH,中微公司,SSE,制造业,688012.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688013.SH,天臣医疗,SSE,制造业,688013.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688015.SH,交控科技,SSE,制造业,688015.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688016.SH,心脉医疗,SSE,制造业,688016.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688017.SH,绿的谐波,SSE,制造业,688017.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688018.SH,乐鑫科技,SSE,信息传输、软件和信息技术服务业,688018.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688019.SH,安集科技,SSE,制造业,688019.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688020.SH,方邦股份,SSE,制造业,688020.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688021.SH,奥福科技,SSE,制造业,688021.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688022.SH,ST瀚川,SSE,制造业,688022.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688023.SH,安恒信息,SSE,信息传输、软件和信息技术服务业,688023.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688025.SH,杰普特,SSE,制造业,688025.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688026.SH,洁特生物,SSE,制造业,688026.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688027.SH,国盾量子,SSE,制造业,688027.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688028.SH,沃尔德,SSE,制造业,688028.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688029.SH,南微医学,SSE,制造业,688029.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688030.SH,山石网科,SSE,信息传输、软件和信息技术服务业,688030.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688031.SH,星环科技,SSE,信息传输、软件和信息技术服务业,688031.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688032.SH,禾迈股份,SSE,制造业,688032.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688033.SH,*ST天宜,SSE,制造业,688033.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688035.SH,德邦科技,SSE,制造业,688035.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688036.SH,传音控股,SSE,制造业,688036.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
