stock_code,company_name,exchange,industry,entity_id,st_status,listing_status,energy_eligible,source_url,as_of_date
000001.SZ,平安银行,SZSE,J 金融业,000001.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000002.SZ,万科A,SZSE,K 房地产业,000002.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000006.SZ,深振业Ａ,SZSE,K 房地产业,000006.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000007.SZ,全新好,SZSE,K 房地产业,000007.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000008.SZ,神州高铁,SZSE,C 制造业,000008.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000009.SZ,中国宝安,SZSE,J 金融业,000009.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000010.SZ,*ST美丽,SZSE,E 建筑业,000010.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000011.SZ,深物业A,SZSE,K 房地产业,000011.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000012.SZ,南  玻Ａ,SZSE,C 制造业,000012.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000014.SZ,沙河股份,SZSE,K 房地产业,000014.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000016.SZ,*ST康佳A,SZSE,C 制造业,000016.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000017.SZ,深中华A,SZSE,C 制造业,000017.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000019.SZ,深粮控股,SZSE,F 批发和零售业,000019.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000020.SZ,深华发Ａ,SZSE,C 制造业,000020.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000021.SZ,深科技,SZSE,C 制造业,000021.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000025.SZ,特  力Ａ,SZSE,F 批发和零售业,000025.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000026.SZ,飞亚达,SZSE,F 批发和零售业,000026.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000027.SZ,深圳能源,SZSE,D 电力、热力、燃气及水生产和供应业,000027.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000028.SZ,国药一致,SZSE,F 批发和零售业,000028.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000029.SZ,深深房Ａ,SZSE,K 房地产业,000029.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000030.SZ,富奥股份,SZSE,C 制造业,000030.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000031.SZ,大悦城,SZSE,K 房地产业,000031.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000032.SZ,深桑达Ａ,SZSE,E 建筑业,000032.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000034.SZ,神州数码,SZSE,F 批发和零售业,000034.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000035.SZ,中国天楹,SZSE,N 水利、环境和公共设施管理业,000035.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000036.SZ,华联控股,SZSE,K 房地产业,000036.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000037.SZ,深南电A,SZSE,D 电力、热力、燃气及水生产和供应业,000037.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000039.SZ,中集集团,SZSE,C 制造业,000039.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000042.SZ,中洲控股,SZSE,K 房地产业,000042.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000045.SZ,深纺织Ａ,SZSE,C 制造业,000045.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000048.SZ,京基智农,SZSE,A 农、林、牧、渔业,000048.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000049.SZ,德赛电池,SZSE,C 制造业,000049.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000050.SZ,深天马Ａ,SZSE,C 制造业,000050.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000055.SZ,方大集团,SZSE,C 制造业,000055.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000056.SZ,*ST皇庭,SZSE,L 租赁和商务服务业,000056.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000058.SZ,深 赛 格,SZSE,L 租赁和商务服务业,000058.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000059.SZ,华锦股份,SZSE,C 制造业,000059.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000060.SZ,中金岭南,SZSE,C 制造业,000060.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
