stock_code,company_name,exchange,sub_industry,included,exclusion_reason,entity_id,source_url,as_of_date
300274.SZ,阳光电源,SZSE,历史能源样本待复核,true,,300274.SZ,,
02688.HK,新奥能源控股有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,02688.HK,,
600900.SH,长江电力,SSE,历史能源样本待复核,true,,600900.SH,,
000400.SZ,许继电气,SZSE,历史能源样本待复核,true,,000400.SZ,,
600956.SH,新天绿能,SSE,历史能源样本待复核,true,,600956.SH,,
01600.HK,天伦燃气控股有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,01600.HK,,
00135.HK,昆仑能源有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,00135.HK,,
00384.HK,中国燃气控股有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,00384.HK,,
600438.SH,通威股份,SSE,历史能源样本待复核,true,,600438.SH,,
03868.HK,信义能源控股有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,03868.HK,,
00686.HK,北京能源国际控股有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,00686.HK,,
688599.SH,天合光能,SSE,历史能源样本待复核,true,,688599.SH,,
600406.SH,国电南瑞,SSE,历史能源样本待复核,true,,600406.SH,,
01798.HK,中国大唐集团新能源股份有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,01798.HK,,
03633.HK,中裕能源控股有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,03633.HK,,
002459.SZ,晶澳科技,SZSE,历史能源样本待复核,true,,002459.SZ,,
600732.SH,爱旭股份,SSE,历史能源样本待复核,true,,600732.SH,,
688390.SH,固德威,SSE,历史能源样本待复核,true,,688390.SH,,
601615.SH,明阳智能,SSE,历史能源样本待复核,true,,601615.SH,,
688676.SH,金盘科技,SSE,历史能源样本待复核,true,,688676.SH,,
002129.SZ,TCL中环,SZSE,历史能源样本待复核,true,,002129.SZ,,
601727.SH,上海电气,SSE,历史能源样本待复核,true,,601727.SH,,
00852.HK,海峡石油化工控股有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,00852.HK,,
06828.HK,北京燃气蓝天控股有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,06828.HK,,
600875.SH,东方电气,SSE,历史能源样本待复核,true,,600875.SH,,
