stock_code,company_name,exchange,sub_industry,included,exclusion_reason
600900.SH,长江电力,SSE,电力,true,
600995.SH,南网储能,SSE,电力,true,
02688.HK,新奥能源,HKEX,燃气,true,
300274.SZ,阳光电源,SZSE,能源设备,true,
601567.SH,三星医疗电气,SSE,能源设备,true,
00135.HK,昆仑能源,HKEX,燃气,true,
002911.SZ,佛燃能源,SZSE,燃气,true,
00686.HK,北京能源国际,HKEX,电力,true,
688676.SH,金盘科技,SSE,能源设备,true,
600339.SH,中油工程,SSE,石油石化,true,
688408.SH,中信博,SSE,能源设备,true,
600406.SH,国电南瑞,SSE,能源设备,true,
000400.SZ,许继电气,SZSE,能源设备,true,
688248.SH,南网科技,SSE,能源设备,true,
600968.SH,海油发展,SSE,石油石化,true,
603031.SH,安孚科技,SSE,能源设备,true,
603606.SH,东方电缆,SSE,能源设备,true,
01193.HK,华润燃气,HKEX,燃气,true,
301327.SZ,华宝新能,SZSE,能源设备,true,
601877.SH,正泰电器,SSE,能源设备,true,
002706.SZ,良信股份,SZSE,能源设备,true,
601126.SH,四方股份,SSE,能源设备,true,
600885.SH,宏发股份,SSE,能源设备,true,
600956.SH,新天绿能,SSE,电力,true,
00956.HK,新天绿能,HKEX,电力,false,A/H同一主体仅保留A股主代码
601179.SH,中国西电,SSE,能源设备,true,
603050.SH,科林电气,SSE,能源设备,true,
01083.HK,港华智慧能源,HKEX,燃气,true,
600821.SH,金开新能,SSE,电力,true,
600875.SH,东方电气,SSE,能源设备,true,
01072.HK,东方电气,HKEX,能源设备,false,A/H同一主体仅保留A股主代码
01713.HK,四川能投发展,HKEX,电力,true,
605117.SH,德业股份,SSE,能源设备,true,
601666.SH,平煤股份,SSE,煤炭,true,
001208.SZ,华菱线缆,SZSE,能源设备,true,
688155.SH,先惠技术,SSE,能源设备,true,
600803.SH,新奥股份,SSE,燃气,true,
601616.SH,广电电气,SSE,能源设备,true,
600236.SH,桂冠电力,SSE,电力,true,
002534.SZ,西子洁能,SZSE,能源设备,true,
