company_code,company_name,report_year,indicator_code,decision,candidate_count,distinct_values,selected_value,policy_version,reason
000009.SZ,中国宝安,2025,Q_G_CAPITAL_ACCUMULATION,auto_confirmed,1,-2.1447,-2.1447,public-disclosure-v4,official_annual_direct_consistent
000009.SZ,中国宝安,2025,Q_G_DEBT_ASSET_RATE,auto_confirmed,2,2.4918|59.78,2.4918,public-disclosure-v4,consolidated_statement_year_end_derived
000009.SZ,中国宝安,2025,Q_G_ROE,auto_confirmed,1,2.04,2.04,public-disclosure-v4,official_annual_direct_consistent
000009.SZ,中国宝安,2025,Q_S_DIVIDEND_PER_SHARE,auto_confirmed,1,0.03,0.03,public-disclosure-v4,official_annual_direct_consistent
00002.HK,CLP HOLDINGS,2025,Q_G_CAPITAL_ACCUMULATION,auto_confirmed,1,2.9043,2.9043,public-disclosure-v4,official_annual_direct_consistent
00002.HK,CLP HOLDINGS,2025,Q_G_EBITDA_MARGIN,auto_confirmed,1,29.3248,29.3248,public-disclosure-v4,strict_extraction_evidence_consistent
00002.HK,CLP HOLDINGS,2025,Q_G_REVENUE_GROWTH,auto_confirmed,1,3.347,3.347,public-disclosure-v4,official_annual_direct_consistent
00002.HK,CLP HOLDINGS,2025,Q_G_ROE,auto_confirmed,1,10.9664,10.9664,public-disclosure-v4,official_annual_direct_consistent
000027.SZ,深圳能源,2025,Q_G_CAPITAL_ACCUMULATION,auto_confirmed,1,3.9526,3.9526,public-disclosure-v4,official_annual_direct_consistent
000027.SZ,深圳能源,2025,Q_G_DEBT_ASSET_RATE,auto_confirmed,2,61.99|61.9918,61.9918,public-disclosure-v4,consolidated_statement_year_end_derived
000027.SZ,深圳能源,2025,Q_G_ROE,manual_required,3,1|4.66,,public-disclosure-v4,conflicting_or_ineligible_sources
000027.SZ,深圳能源,2025,Q_G_TWO_FUNDS_RATE,auto_confirmed,1,37.5126,37.5126,public-disclosure-v4,official_annual_direct_consistent
000027.SZ,深圳能源,2025,Q_S_DIVIDEND_PER_SHARE,auto_confirmed,1,0.16,0.16,public-disclosure-v4,official_annual_direct_consistent
00003.HK,HK & CHINA GAS,2025,Q_G_CAPITAL_ACCUMULATION,auto_confirmed,1,4.4719,4.4719,public-disclosure-v4,official_annual_direct_consistent
000037.SZ,深南电A,2025,Q_G_DEBT_ASSET_RATE,auto_confirmed,1,65,65,public-disclosure-v4,official_annual_direct_consistent
000037.SZ,深南电A,2025,Q_G_ROE,auto_confirmed,1,10.28,10.28,public-disclosure-v4,official_annual_direct_consistent
000037.SZ,深南电A,2025,Q_S_DIVIDEND_PER_SHARE,auto_confirmed,1,0.032,0.032,public-disclosure-v4,official_annual_direct_consistent
000049.SZ,德赛电池,2025,Q_G_CAPITAL_ACCUMULATION,auto_confirmed,1,-9998.26,-9998.26,public-disclosure-v4,official_annual_direct_consistent
000049.SZ,德赛电池,2025,Q_G_DEBT_ASSET_RATE,auto_confirmed,1,12.6782,12.6782,public-disclosure-v4,consolidated_statement_year_end_derived
000049.SZ,德赛电池,2025,Q_G_ROE,auto_confirmed,1,4.4,4.4,public-disclosure-v4,official_annual_direct_consistent
000049.SZ,德赛电池,2025,Q_G_TWO_FUNDS_RATE,auto_confirmed,1,200,200,public-disclosure-v4,official_annual_direct_consistent
000049.SZ,德赛电池,2025,Q_S_DIVIDEND_PER_SHARE,auto_confirmed,1,0.23,0.23,public-disclosure-v4,official_annual_direct_consistent
00006.HK,POWER ASSETS,2025,Q_G_EBITDA_INTEREST,auto_confirmed,1,29.307,29.307,public-disclosure-v4,official_annual_direct_consistent
00006.HK,POWER ASSETS,2025,Q_G_REVENUE_GROWTH,auto_confirmed,1,-16.1045,-16.1045,public-disclosure-v4,official_annual_direct_consistent
000096.SZ,广聚能源,2025,Q_G_ROE,auto_confirmed,1,4.14,4.14,public-disclosure-v4,official_annual_direct_consistent
000096.SZ,广聚能源,2025,Q_S_DIVIDEND_PER_SHARE,auto_confirmed,1,0.075,0.075,public-disclosure-v4,official_annual_direct_consistent
000155.SZ,川能动力,2025,Q_G_DEBT_ASSET_RATE,auto_confirmed,1,52.94,52.94,public-disclosure-v4,official_annual_direct_consistent
000155.SZ,川能动力,2025,Q_G_ROE,auto_confirmed,1,4.81,4.81,public-disclosure-v4,official_annual_direct_consistent
000400.SZ,许继电气,2025,Q_G_ROE,auto_confirmed,1,9.94,9.94,public-disclosure-v4,official_annual_direct_consistent
000400.SZ,许继电气,2025,Q_S_DIVIDEND_PER_SHARE,auto_confirmed,2,0.221,0.221,public-disclosure-v4,official_annual_direct_consistent
000407.SZ,胜利股份,2025,Q_G_ROE,auto_confirmed,1,5.14,5.14,public-disclosure-v4,official_annual_direct_consistent
000407.SZ,胜利股份,2025,Q_S_DIVIDEND_PER_SHARE,auto_confirmed,1,0.06,0.06,public-disclosure-v4,official_annual_direct_consistent
00042.HK,NE ELECTRIC,2025,Q_G_EBITDA_INTEREST,auto_confirmed,1,-281.322,-281.322,public-disclosure-v4,official_annual_direct_consistent
00042.HK,NE ELECTRIC,2025,Q_G_EBITDA_MARGIN,auto_confirmed,1,-43.9642,-43.9642,public-disclosure-v4,strict_extraction_evidence_consistent
00042.HK,NE ELECTRIC,2025,Q_G_REVENUE_GROWTH,auto_confirmed,1,4.9405,4.9405,public-disclosure-v4,official_annual_direct_consistent
000421.SZ,南京公用,2025,Q_G_ROE,auto_confirmed,1,1.76,1.76,public-disclosure-v4,official_annual_direct_consistent
000421.SZ,南京公用,2025,Q_S_DIVIDEND_PER_SHARE,auto_confirmed,2,0.06,0.06,public-disclosure-v4,official_annual_direct_consistent
000531.SZ,穗恒运Ａ,2025,Q_E_ENERGY_INTENSITY,auto_confirmed,1,5920,5920,public-disclosure-v4,official_esg_direct_consistent
000531.SZ,穗恒运Ａ,2025,Q_E_GHG_INTENSITY,auto_confirmed,1,18790,18790,public-disclosure-v4,official_esg_direct_consistent
000531.SZ,穗恒运Ａ,2025,Q_G_ROE,auto_confirmed,1,4.47,4.47,public-disclosure-v4,official_annual_direct_consistent
000531.SZ,穗恒运Ａ,2025,Q_S_DIVIDEND_PER_SHARE,manual_required,2,0.05|1,,public-disclosure-v4,conflicting_or_ineligible_sources
000533.SZ,顺钠股份,2025,Q_G_ROE,auto_confirmed,1,11.1,11.1,public-disclosure-v4,official_annual_direct_consistent
000537.SZ,绿发电力,2025,Q_G_DEBT_ASSET_RATE,auto_confirmed,1,73.81,73.81,public-disclosure-v4,official_annual_direct_consistent
000537.SZ,绿发电力,2025,Q_G_ROE,auto_confirmed,1,4.05,4.05,public-disclosure-v4,official_annual_direct_consistent
000537.SZ,绿发电力,2025,Q_S_DIVIDEND_PER_SHARE,auto_confirmed,2,0.12,0.12,public-disclosure-v4,official_annual_direct_consistent
000539.SZ,粤电力Ａ,2025,Q_G_DEBT_ASSET_RATE,auto_confirmed,3,77.71,77.71,public-disclosure-v4,official_annual_direct_consistent
000539.SZ,粤电力Ａ,2025,Q_G_ROE,auto_confirmed,1,2.59,2.59,public-disclosure-v4,official_annual_direct_consistent
000539.SZ,粤电力Ａ,2025,Q_S_DIVIDEND_PER_SHARE,auto_confirmed,1,0.02,0.02,public-disclosure-v4,official_annual_direct_consistent
000543.SZ,皖能电力,2025,Q_G_DEBT_ASSET_RATE,auto_confirmed,1,62.72,62.72,public-disclosure-v4,official_annual_direct_consistent
000543.SZ,皖能电力,2025,Q_G_ROE,auto_confirmed,1,12.95,12.95,public-disclosure-v4,official_annual_direct_consistent
