company_code,company_name,report_year,indicator_code,candidate_count,distinct_values,source_pages,max_confidence,tier,next_action,reason
00196.HK,HONGHUA GROUP,2025,Q_S_RD_RATE,3,2.9776|5.2,6|21|75,0.93,manual_signature_required,review_conflict_candidates,conflicting_values
00600.HK,AXERA,2025,Q_E_GHG_INTENSITY,2,12.5|7003.1,77|85,0.92,manual_signature_required,review_conflict_candidates,conflicting_values
01205.HK,CITIC RESOURCES,2025,Q_E_GHG_REDUCTION_RATE,2,-14.2513|-14.2506,33|64,0.93,manual_signature_required,review_conflict_candidates,conflicting_values
600236.SH,桂冠电力,2025,Q_G_DEBT_ASSET_RATE,2,54.2174|54.22,11|103,0.94,manual_signature_required,review_conflict_candidates,conflicting_values
600885.SH,宏发股份,2025,Q_G_DEBT_ASSET_RATE,2,31.47|31.4741,79|84,0.94,manual_signature_required,review_conflict_candidates,conflicting_values
600900.SH,长江电力,2025,Q_G_DEBT_ASSET_RATE,2,58.2695|58.27,14|81,0.94,manual_signature_required,review_conflict_candidates,conflicting_values
600956.SH,新天绿能,2025,Q_G_DEBT_ASSET_RATE,3,66.3|66.3042,25|110|132,0.94,manual_signature_required,review_conflict_candidates,conflicting_values
600968.SH,海油发展,2025,Q_G_DEBT_ASSET_RATE,2,40.9785|40.98,14|70,0.94,manual_signature_required,review_conflict_candidates,conflicting_values
600968.SH,海油发展,2025,Q_S_RD_RATE,2,2.49|3.33,19|23,0.96,manual_signature_required,review_conflict_candidates,conflicting_values
600995.SH,南网储能,2025,Q_G_DEBT_ASSET_RATE,2,54.61|54.6122,11|88,0.94,manual_signature_required,review_conflict_candidates,conflicting_values
603050.SH,科林电气,2025,Q_G_DEBT_ASSET_RATE,3,62.03|62.0326|67.36,56|67,0.94,manual_signature_required,review_conflict_candidates,conflicting_values
605117.SH,德业股份,2025,Q_S_DIVIDEND_PER_SHARE,2,1.8|3.01,54|65,0.95,manual_signature_required,review_conflict_candidates,conflicting_values
688676.SH,金盘科技,2025,Q_G_DEBT_ASSET_RATE,3,53.76|57.86|57.8641,161|173|299,0.94,manual_signature_required,review_conflict_candidates,conflicting_values
03337.HK,ANTON OILFIELD,2025,Q_E_ALTERNATIVE_WATER_RATE,2,8.53,24|51,0.93,consistent_multi_review,manual_spot_check,consistent_but_not_auto_eligible
