stock_code,company_name,document_count,annual_report_count,esg_report_count,report_years,document_types,annual_status,esg_status,next_action
000009.SZ,中国宝安,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
00002.HK,CLP HOLDINGS,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
000027.SZ,深圳能源,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
00003.HK,HK & CHINA GAS,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
000037.SZ,深南电A,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
000049.SZ,德赛电池,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
00006.HK,POWER ASSETS,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
000096.SZ,广聚能源,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
000155.SZ,川能动力,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
000400.SZ,许继电气,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
000407.SZ,胜利股份,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
00042.HK,NE ELECTRIC,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
000421.SZ,南京公用,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
000531.SZ,穗恒运Ａ,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
000533.SZ,顺钠股份,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
000537.SZ,绿发电力,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
000539.SZ,粤电力Ａ,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
000543.SZ,皖能电力,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
000554.SZ,泰山石油,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
000591.SZ,太阳能,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
000593.SZ,德龙汇能,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
000600.SZ,建投能源,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
000601.SZ,韶能股份,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
00061.HK,GREEN LEADER,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
000637.SZ,茂化实华,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
00065.HK,GRAND OCEAN AR,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
000682.SZ,东方电子,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
000690.SZ,宝新能源,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
000692.SZ,惠天热电,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
000703.SZ,恒逸石化,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
000720.SZ,新能泰山,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
000722.SZ,湖南发展,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
000723.SZ,美锦能源,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
000767.SZ,晋控电力,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
000791.SZ,甘肃能源,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
000819.SZ,岳阳兴长,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
000862.SZ,银星能源,1,1,0,2025,annual_report,collected,collected,scan_annual_for_esg
000875.SZ,电投绿能,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
000883.SZ,湖北能源,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
000899.SZ,赣能股份,1,1,0,2025,annual_report,collected,collected,scan_annual_for_esg
000922.SZ,佳电股份,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
000937.SZ,冀中能源,1,1,0,2025,annual_report,collected,collected,scan_annual_for_esg
000966.SZ,长源电力,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
000968.SZ,蓝焰控股,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
000993.SZ,闽东电力,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
001208.SZ,华菱线缆,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
001258.SZ,立新能源,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
001269.SZ,欧晶科技,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
001283.SZ,豪鹏科技,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
001289.SZ,龙源电力,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
001299.SZ,美能能源,1,1,0,2025,annual_report,collected,collected,scan_annual_for_esg
001301.SZ,尚太科技,1,1,0,2025,annual_report,collected,collected,scan_annual_for_esg
001331.SZ,胜通能源,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
00135.HK,KUNLUN ENERGY,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
001376.SZ,百通能源,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
00182.HK,CONCORD NE,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
001896.SZ,豫能控股,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
00196.HK,HONGHUA GROUP,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
002015.SZ,协鑫能科,1,1,0,2025,annual_report,collected,collected,scan_annual_for_esg
002028.SZ,思源电气,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
002039.SZ,黔源电力,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
002056.SZ,横店东磁,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
00206.HK,CM-ENERGY,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
002060.SZ,广东建工,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
002074.SZ,国轩高科,1,1,0,2025,annual_report,collected,collected,scan_annual_for_esg
002090.SZ,金智科技,1,1,0,2025,annual_report,collected,collected,scan_annual_for_esg
002112.SZ,三变科技,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
002121.SZ,科陆电子,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
002125.SZ,湘潭电化,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
002128.SZ,电投能源,1,1,0,2025,annual_report,collected,collected,scan_annual_for_esg
002129.SZ,TCL中环,1,1,0,2025,annual_report,collected,collected,scan_annual_for_esg
002169.SZ,智光电气,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
002196.SZ,方正电机,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
002202.SZ,金风科技,1,1,0,2025,annual_report,collected,collected,scan_annual_for_esg
002218.SZ,拓日新能,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
002221.SZ,东华能源,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
002245.SZ,蔚蓝锂芯,1,1,0,2025,annual_report,collected,collected,scan_annual_for_esg
002249.SZ,大洋电机,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
002255.SZ,海陆重工,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
002259.SZ,升达林业,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
002267.SZ,陕天然气,1,1,0,2025,annual_report,collected,collected,scan_annual_for_esg
002270.SZ,华明装备,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
002276.SZ,万马股份,1,1,0,2025,annual_report,collected,embedded_in_annual,scan_annual_for_esg
00228.HK,CHINA ENERGY,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
002300.SZ,太阳电缆,1,1,0,2025,annual_report,collected,collected,scan_annual_for_esg
