stock_code,company_name,document_count,annual_report_count,esg_report_count,report_years,document_types,annual_status,esg_status,next_action
000009.SZ,中国宝安,,,,,,collected,collected,
00002.HK,CLP HOLDINGS,,,,,,collected,missing,
000027.SZ,深圳能源,,,,,,collected,collected,
00003.HK,HK & CHINA GAS,,,,,,collected,collected,
000037.SZ,深南电A,,,,,,collected,missing,
000049.SZ,德赛电池,,,,,,collected,missing,
00006.HK,POWER ASSETS,,,,,,collected,collected,
000096.SZ,广聚能源,,,,,,collected,missing,
000155.SZ,川能动力,,,,,,collected,missing,
000400.SZ,许继电气,,,,,,collected,collected,
000407.SZ,胜利股份,,,,,,collected,missing,
00042.HK,NE ELECTRIC,,,,,,collected,collected,
000421.SZ,南京公用,,,,,,collected,missing,
000531.SZ,穗恒运Ａ,,,,,,collected,collected,
000533.SZ,顺钠股份,,,,,,collected,collected,
000537.SZ,绿发电力,,,,,,collected,missing,
000539.SZ,粤电力Ａ,,,,,,collected,missing,
000543.SZ,皖能电力,,,,,,collected,collected,
000554.SZ,泰山石油,,,,,,collected,collected,
000591.SZ,太阳能,,,,,,collected,missing,
000593.SZ,德龙汇能,,,,,,collected,missing,
000600.SZ,建投能源,,,,,,collected,collected,
000601.SZ,韶能股份,,,,,,collected,missing,
00061.HK,GREEN LEADER,,,,,,collected,collected,
000637.SZ,茂化实华,,,,,,collected,missing,
00065.HK,GRAND OCEAN AR,,,,,,collected,missing,
000682.SZ,东方电子,,,,,,collected,missing,
000690.SZ,宝新能源,,,,,,collected,collected,
000692.SZ,惠天热电,,,,,,collected,missing,
000703.SZ,恒逸石化,,,,,,collected,missing,
000720.SZ,新能泰山,,,,,,collected,missing,
000722.SZ,湖南发展,,,,,,collected,missing,
000723.SZ,美锦能源,,,,,,collected,collected,
000767.SZ,晋控电力,,,,,,collected,collected,
000791.SZ,甘肃能源,,,,,,collected,collected,
000819.SZ,岳阳兴长,,,,,,collected,collected,
000862.SZ,银星能源,,,,,,collected,collected,
000875.SZ,电投绿能,,,,,,collected,missing,
000883.SZ,湖北能源,,,,,,collected,missing,
000899.SZ,赣能股份,,,,,,collected,collected,
000922.SZ,佳电股份,,,,,,collected,collected,
000937.SZ,冀中能源,,,,,,collected,collected,
000966.SZ,长源电力,,,,,,collected,missing,
000968.SZ,蓝焰控股,,,,,,collected,missing,
000993.SZ,闽东电力,,,,,,collected,missing,
001208.SZ,华菱线缆,,,,,,collected,missing,
001258.SZ,立新能源,,,,,,collected,missing,
001269.SZ,欧晶科技,,,,,,collected,missing,
001283.SZ,豪鹏科技,,,,,,collected,missing,
001289.SZ,龙源电力,,,,,,collected,missing,
001299.SZ,美能能源,,,,,,collected,collected,
001301.SZ,尚太科技,,,,,,collected,collected,
001331.SZ,胜通能源,,,,,,collected,missing,
00135.HK,KUNLUN ENERGY,,,,,,collected,collected,
001376.SZ,百通能源,,,,,,collected,missing,
00182.HK,CONCORD NE,,,,,,collected,collected,
001896.SZ,豫能控股,,,,,,collected,missing,
00196.HK,HONGHUA GROUP,,,,,,collected,collected,
002015.SZ,协鑫能科,,,,,,collected,collected,
002028.SZ,思源电气,,,,,,collected,collected,
002039.SZ,黔源电力,,,,,,collected,missing,
002056.SZ,横店东磁,,,,,,collected,missing,
00206.HK,CM-ENERGY,,,,,,collected,missing,
002060.SZ,广东建工,,,,,,collected,missing,
002074.SZ,国轩高科,,,,,,collected,collected,
002090.SZ,金智科技,,,,,,collected,collected,
002112.SZ,三变科技,,,,,,collected,missing,
002121.SZ,科陆电子,,,,,,collected,missing,
002125.SZ,湘潭电化,,,,,,collected,missing,
002128.SZ,电投能源,,,,,,collected,collected,
002129.SZ,TCL中环,,,,,,collected,collected,
002169.SZ,智光电气,,,,,,collected,missing,
002196.SZ,方正电机,,,,,,collected,missing,
002202.SZ,金风科技,,,,,,collected,collected,
002218.SZ,拓日新能,,,,,,collected,missing,
002221.SZ,东华能源,,,,,,collected,missing,
002245.SZ,蔚蓝锂芯,,,,,,collected,collected,
002249.SZ,大洋电机,,,,,,collected,missing,
002255.SZ,海陆重工,,,,,,collected,missing,
002259.SZ,升达林业,,,,,,collected,missing,
002267.SZ,陕天然气,,,,,,collected,collected,
002270.SZ,华明装备,,,,,,collected,missing,
002276.SZ,万马股份,,,,,,collected,missing,
00228.HK,CHINA ENERGY,,,,,,collected,collected,
002300.SZ,太阳电缆,,,,,,collected,collected,
002309.SZ,中利集团,,,,,,collected,missing,
002335.SZ,科华数据,,,,,,collected,missing,
002339.SZ,积成电子,,,,,,collected,missing,
002340.SZ,格林美,,,,,,collected,collected,
002346.SZ,柘中股份,,,,,,collected,missing,
002350.SZ,北京科锐,,,,,,collected,collected,
002358.SZ,森源电气,,,,,,collected,missing,
002364.SZ,中恒电气,,,,,,collected,missing,
002366.SZ,融发核电,,,,,,collected,missing,
002441.SZ,众业达,,,,,,collected,missing,
002451.SZ,摩恩电气,,,,,,collected,missing,
002452.SZ,长高电新,,,,,,collected,missing,
002459.SZ,晶澳科技,,,,,,collected,collected,
002471.SZ,中超控股,,,,,,collected,missing,
002479.SZ,富春环保,,,,,,collected,collected,
002487.SZ,大金重工,,,,,,collected,collected,
002490.SZ,山东墨龙,,,,,,collected,missing,
002493.SZ,荣盛石化,,,,,,collected,collected,
002498.SZ,汉缆股份,,,,,,collected,missing,
002506.SZ,协鑫集成,,,,,,collected,collected,
002518.SZ,科士达,,,,,,collected,missing,
002527.SZ,新时达,,,,,,collected,collected,
002531.SZ,天顺风能,,,,,,collected,collected,
002533.SZ,金杯电工,,,,,,collected,missing,
002534.SZ,西子洁能,,,,,,collected,missing,
002546.SZ,新联电子,,,,,,collected,missing,
002560.SZ,通达股份,,,,,,collected,collected,
002576.SZ,通达动力,,,,,,collected,missing,
002580.SZ,圣阳股份,,,,,,collected,missing,
002606.SZ,大连电瓷,,,,,,collected,missing,
002608.SZ,江苏国信,,,,,,collected,missing,
002616.SZ,长青集团,,,,,,collected,missing,
002623.SZ,亚玛顿,,,,,,collected,missing,
002629.SZ,仁智股份,,,,,,collected,missing,
002692.SZ,远程股份,,,,,,collected,missing,
002700.SZ,万憬能源,,,,,,collected,collected,
002706.SZ,良信股份,,,,,,collected,collected,
002709.SZ,天赐材料,,,,,,collected,collected,
002733.SZ,雄韬股份,,,,,,collected,missing,
00276.HK,MONGOLIA ENERGY,,,,,,collected,collected,
002801.SZ,微光股份,,,,,,collected,collected,
002805.SZ,丰元股份,,,,,,collected,missing,
002812.SZ,恩捷股份,,,,,,collected,missing,
002823.SZ,凯中精密,,,,,,collected,missing,
002828.SZ,贝肯能源,,,,,,collected,missing,
002850.SZ,科达利,,,,,,collected,missing,
002851.SZ,麦格米特,,,,,,collected,missing,
002857.SZ,三晖电气,,,,,,collected,missing,
002865.SZ,钧达股份,,,,,,collected,collected,
002879.SZ,长缆科技,,,,,,collected,missing,
002882.SZ,金龙羽,,,,,,collected,missing,
002892.SZ,科力尔,,,,,,collected,missing,
002893.SZ,京能热力,,,,,,collected,missing,
002911.SZ,佛燃能源,,,,,,collected,missing,
002927.SZ,泰永长征,,,,,,collected,collected,
00295.HK,KONG SUN HOLD,,,,,,collected,missing,
002953.SZ,日丰股份,,,,,,collected,missing,
002980.SZ,华盛昌,,,,,,collected,missing,
002986.SZ,宇新股份,,,,,,collected,collected,
003021.SZ,兆威机电,,,,,,collected,missing,
003022.SZ,联泓新科,,,,,,collected,missing,
003035.SZ,南网能源,,,,,,collected,collected,
00332.HK,YUANHENGGAS-NEW,,,,,,collected,collected,
00346.HK,YANCHANG PETRO,,,,,,collected,collected,
00353.HK,ENERGY INTINV,,,,,,collected,missing,
003816.SZ,中国广核,,,,,,collected,missing,
00384.HK,CHINA GAS HOLD,,,,,,collected,collected,
00392.HK,BEIJING ENT,,,,,,collected,collected,
00451.HK,GCL NEWENERGY,,,,,,collected,collected,
00467.HK,UNITEDENERGY GP,,,,,,collected,collected,
00554.HK,HANS GP HLDGS,,,,,,collected,collected,
00579.HK,JNCEC,,,,,,collected,collected,
00600.HK,AXERA,,,,,,collected,missing,
00607.HK,FULLSHARE,,,,,,collected,collected,
00632.HK,CHK OIL,,,,,,collected,missing,
00639.HK,SHOUGANG RES,,,,,,collected,missing,
00645.HK,ARES ASIA,,,,,,collected,missing,
00650.HK,PRODUCTIVE TECH,,,,,,collected,missing,
00666.HK,REPT BATTERO,,,,,,collected,collected,
00686.HK,BJ ENERGY INTL,,,,,,collected,collected,
00689.HK,EPI (HOLDINGS),,,,,,collected,missing,
00704.HK,HUSCOKE HLDGS,,,,,,collected,missing,
00819.HK,TIANNENG POWER,,,,,,collected,collected,
00836.HK,CHINA RES POWER,,,,,,collected,collected,
00866.HK,CHINA QINFA,,,,,,collected,missing,
00931.HK,CHINA HK POWER,,,,,,collected,missing,
00934.HK,SINOPEC KANTONS,,,,,,collected,collected,
00951.HK,CHAOWEI POWER,,,,,,collected,collected,
00968.HK,XINYI SOLAR,,,,,,collected,collected,
00975.HK,MONGOL MINING,,,,,,collected,missing,
01080.HK,SHENGLI PIPE,,,,,,collected,missing,
01083.HK,TG SMART ENERGY,,,,,,collected,collected,
01193.HK,CHINA RES GAS,,,,,,collected,collected,
01205.HK,CITIC RESOURCES,,,,,,collected,collected,
01229.HK,NAN NAN RES,,,,,,collected,collected,
01250.HK,SDHS NEW ENERGY,,,,,,collected,collected,
01251.HK,SPT ENERGY,,,,,,collected,missing,
01277.HK,KINETIC DEV,,,,,,collected,missing,
01303.HK,HUILI RES,,,,,,collected,collected,
01393.HK,HIDILI INDUSTRY,,,,,,collected,missing,
01407.HK,JY GAS,,,,,,collected,collected,
01555.HK,MIE HOLDINGS,,,,,,collected,missing,
01600.HK,TIAN LUN GAS,,,,,,collected,collected,
01608.HK,VPOWER GROUP,,,,,,collected,collected,
01621.HK,VICO INTL HLDGS,,,,,,collected,missing,
01623.HK,HILONG,,,,,,collected,collected,
01713.HK,SICHUAN EN INV,,,,,,collected,collected,
01733.HK,E-COMMODITIES,,,,,,collected,collected,
