company_code,company_name,report_year,indicator_code,decision,candidate_count,distinct_values,selected_value,policy_version,reason
000009.SZ,中国宝安,2025,Q_G_ASSET_TURNOVER,auto_confirmed,1,0.416451,0.416451,public-disclosure-v5,official_annual_direct_consistent
000009.SZ,中国宝安,2025,Q_G_CASH_REALIZATION,auto_confirmed,1,88.8094,88.8094,public-disclosure-v5,official_annual_direct_consistent
000009.SZ,中国宝安,2025,Q_G_CURRENT_ASSET_TURNOVER,auto_confirmed,1,21.3437,21.3437,public-disclosure-v5,official_annual_direct_consistent
000009.SZ,中国宝安,2025,Q_G_DEBT_ASSET_RATE,auto_confirmed,1,59.78,59.78,public-disclosure-v5,official_annual_direct_consistent
000009.SZ,中国宝安,2025,Q_G_REVENUE_GROWTH,auto_confirmed,1,13.8838,13.8838,public-disclosure-v5,official_annual_direct_consistent
000009.SZ,中国宝安,2025,Q_G_ROE,auto_confirmed,1,2.04,2.04,public-disclosure-v5,official_annual_direct_consistent
000009.SZ,中国宝安,2025,Q_S_BENEFIT_PER_EMPLOYEE,auto_confirmed,1,1.95842,1.95842,public-disclosure-v5,strict_extraction_evidence_consistent
000009.SZ,中国宝安,2025,Q_S_DIVIDEND_PER_SHARE,auto_confirmed,1,0.03,0.03,public-disclosure-v5,official_annual_direct_consistent
000009.SZ,中国宝安,2025,Q_S_PAY_PER_EMPLOYEE,auto_confirmed,1,13.8434,13.8434,public-disclosure-v5,strict_extraction_evidence_consistent
000009.SZ,中国宝安,2025,Q_S_RD_RATE,auto_confirmed,1,4.71,4.71,public-disclosure-v5,strict_extraction_evidence_consistent
00002.HK,CLP HOLDINGS,2025,Q_E_GHG_REDUCTION_RATE,auto_confirmed,1,9.7,9.7,public-disclosure-v5,strict_extraction_evidence_consistent
00002.HK,CLP HOLDINGS,2025,Q_G_ASSET_TURNOVER,auto_confirmed,1,0.372676,0.372676,public-disclosure-v5,official_annual_direct_consistent
00002.HK,CLP HOLDINGS,2025,Q_G_CAPITAL_ACCUMULATION,auto_confirmed,1,6.63561,6.63561,public-disclosure-v5,official_annual_direct_consistent
00002.HK,CLP HOLDINGS,2025,Q_G_CURRENT_ASSET_TURNOVER,auto_confirmed,1,3.54361,3.54361,public-disclosure-v5,official_annual_direct_consistent
00002.HK,CLP HOLDINGS,2025,Q_G_DEBT_ASSET_RATE,auto_confirmed,1,50.7949,50.7949,public-disclosure-v5,official_annual_direct_consistent
00002.HK,CLP HOLDINGS,2025,Q_G_EBITDA_INTEREST,auto_confirmed,1,8.63495,8.63495,public-disclosure-v5,official_annual_direct_consistent
00002.HK,CLP HOLDINGS,2025,Q_G_EBITDA_MARGIN,auto_confirmed,1,29.2883,29.2883,public-disclosure-v5,strict_extraction_evidence_consistent
00002.HK,CLP HOLDINGS,2025,Q_G_QUICK_RATIO,auto_confirmed,1,49.7761,49.7761,public-disclosure-v5,strict_extraction_evidence_consistent
00002.HK,CLP HOLDINGS,2025,Q_G_REVENUE_GROWTH,auto_confirmed,1,-3.23864,-3.23864,public-disclosure-v5,official_annual_direct_consistent
00002.HK,CLP HOLDINGS,2025,Q_G_ROA,auto_confirmed,1,6.80036,6.80036,public-disclosure-v5,official_annual_direct_consistent
00002.HK,CLP HOLDINGS,2025,Q_G_ROE,auto_confirmed,1,10.1484,10.1484,public-disclosure-v5,official_annual_direct_consistent
