company_code,company_name,report_year,indicator_code,indicator_name,indicator_weight,priority,status,next_action
000009.SZ,中国宝安,2025,X_E_ENV_SYSTEM,环保体系,1.5,2,evidence_missing,locate_additional_public_evidence
000009.SZ,中国宝安,2025,X_E_EMERGENCY,应急管理,1.5,2,evidence_missing,locate_additional_public_evidence
000009.SZ,中国宝安,2025,X_E_TRAINING,环保培训,1.5,2,evidence_missing,locate_additional_public_evidence
000009.SZ,中国宝安,2025,X_E_COMPLIANCE,环境合规,1.5,2,evidence_missing,locate_additional_public_evidence
000009.SZ,中国宝安,2025,X_E_IMPACT,环境影响,1.5,2,evidence_missing,locate_additional_public_evidence
000009.SZ,中国宝安,2025,X_E_ENERGY_MANAGEMENT,能源管理,3.0,1,evidence_missing,locate_additional_public_evidence
000009.SZ,中国宝安,2025,X_E_WATER,水资源,2.25,2,evidence_missing,locate_additional_public_evidence
000009.SZ,中国宝安,2025,X_E_OTHER_RESOURCE,其他资源,2.25,2,evidence_missing,locate_additional_public_evidence
000009.SZ,中国宝安,2025,X_E_WASTEWATER,废水,2.25,2,evidence_missing,locate_additional_public_evidence
000009.SZ,中国宝安,2025,X_E_WASTE_GAS,废气,2.25,2,evidence_missing,locate_additional_public_evidence
000009.SZ,中国宝安,2025,X_E_SOLID_WASTE,固体废物,1.5,2,evidence_missing,locate_additional_public_evidence
000009.SZ,中国宝安,2025,X_E_HAZ_WASTE,危险废物,1.5,2,evidence_missing,locate_additional_public_evidence
000009.SZ,中国宝安,2025,X_E_CLIMATE_RISK,气候风险水平,3.75,1,evidence_missing,locate_additional_public_evidence
000009.SZ,中国宝安,2025,X_E_CLIMATE_ACTION,应对气候变化,3.75,1,evidence_missing,locate_additional_public_evidence
000009.SZ,中国宝安,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
000009.SZ,中国宝安,2025,X_E_GREEN_TRANSITION,绿色转型,1.5,2,evidence_missing,locate_additional_public_evidence
000009.SZ,中国宝安,2025,X_E_CLEAN_PRODUCTION,清洁生产,1.5,2,evidence_missing,locate_additional_public_evidence
