impact_rank,impact_score,best_rank,worst_rank,rank_span,crosses_top_n,boundary_risk,instability_risk,weight_risk,missing_esg_document,esg_status,company_code,company_name,report_year,indicator_code,indicator_name,indicator_weight,priority,status,next_action
1,90.0,151,337,186,True,1.0,1.0,1.0,False,embedded_in_annual,000037.SZ,深南电A,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
2,90.0,139,353,214,True,1.0,1.0,1.0,False,embedded_in_annual,000096.SZ,广聚能源,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
3,90.0,130,233,103,True,1.0,1.0,1.0,False,embedded_in_annual,000155.SZ,川能动力,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
4,90.0,164,270,106,True,1.0,1.0,1.0,False,collected,000690.SZ,宝新能源,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
5,90.0,167,448,281,True,1.0,1.0,1.0,False,embedded_in_annual,000968.SZ,蓝焰控股,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
6,90.0,119,268,149,True,1.0,1.0,1.0,False,embedded_in_annual,001258.SZ,立新能源,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
7,90.0,127,285,158,True,1.0,1.0,1.0,False,embedded_in_annual,001299.SZ,美能能源,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
8,90.0,12,302,290,True,1.0,1.0,1.0,False,embedded_in_annual,002039.SZ,黔源电力,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
9,90.0,8,411,403,True,1.0,1.0,1.0,False,embedded_in_annual,002056.SZ,横店东磁,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
10,90.0,124,403,279,True,1.0,1.0,1.0,False,embedded_in_annual,00206.HK,CM-ENERGY,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
11,90.0,184,287,103,True,1.0,1.0,1.0,False,embedded_in_annual,002074.SZ,国轩高科,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
12,90.0,113,423,310,True,1.0,1.0,1.0,False,embedded_in_annual,002128.SZ,电投能源,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
13,90.0,135,310,175,True,1.0,1.0,1.0,False,embedded_in_annual,002267.SZ,陕天然气,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
14,90.0,118,325,207,True,1.0,1.0,1.0,False,embedded_in_annual,002276.SZ,万马股份,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
15,90.0,43,305,262,True,1.0,1.0,1.0,False,embedded_in_annual,002335.SZ,科华数据,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
16,90.0,106,418,312,True,1.0,1.0,1.0,False,embedded_in_annual,002346.SZ,柘中股份,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
17,90.0,168,273,105,True,1.0,1.0,1.0,False,embedded_in_annual,002452.SZ,长高电气,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
18,90.0,125,260,135,True,1.0,1.0,1.0,False,embedded_in_annual,002479.SZ,富春环保,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
19,90.0,176,291,115,True,1.0,1.0,1.0,False,embedded_in_annual,002487.SZ,大金重工,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
20,90.0,124,410,286,True,1.0,1.0,1.0,False,embedded_in_annual,002692.SZ,远程股份,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
21,90.0,82,219,137,True,1.0,1.0,1.0,False,embedded_in_annual,002709.SZ,天赐材料,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
22,90.0,7,391,384,True,1.0,1.0,1.0,False,embedded_in_annual,002850.SZ,科达利,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
23,90.0,121,234,113,True,1.0,1.0,1.0,False,embedded_in_annual,002911.SZ,佛燃能源,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
24,90.0,97,215,118,True,1.0,1.0,1.0,False,embedded_in_annual,003035.SZ,南网能源,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
