impact_rank,impact_score,best_rank,worst_rank,rank_span,crosses_top_n,boundary_risk,instability_risk,weight_risk,key_indicator_risk,population_scarcity_risk,indicator_population,neutral_vs_zero_total_score_delta,company_code,company_name,indicator_code,indicator_name,dimension,key_indicator,candidate_count,report_years,source_pages,max_confidence,status,next_action,priority
1,99.340278,43,399,356,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,00002.HK,CLP HOLDINGS,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
2,99.340278,46,330,284,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,00003.HK,HK & CHINA GAS,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
3,99.340278,137,328,191,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,000037.SZ,深南电A,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
4,99.340278,53,395,342,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,00006.HK,POWER ASSETS,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
5,99.340278,98,300,202,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,000096.SZ,广聚能源,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
6,99.340278,146,325,179,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,000543.SZ,皖能电力,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
7,99.340278,169,527,358,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,000554.SZ,泰山石油,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
8,99.340278,158,267,109,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,000690.SZ,宝新能源,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
9,99.340278,97,228,131,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,000791.SZ,甘肃能源,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
10,99.340278,146,434,288,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,000968.SZ,蓝焰控股,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
11,99.340278,112,260,148,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,001258.SZ,立新能源,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
12,99.340278,103,248,145,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,001299.SZ,美能能源,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
13,99.340278,140,306,166,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,00182.HK,CONCORD NE,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
14,99.340278,51,216,165,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,002028.SZ,思源电气,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
15,99.340278,9,278,269,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,002039.SZ,黔源电力,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
16,99.340278,8,409,401,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,002056.SZ,横店东磁,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
17,99.340278,123,404,281,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,00206.HK,CM-ENERGY,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
18,99.340278,180,284,104,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,002074.SZ,国轩高科,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
19,99.340278,82,389,307,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,002128.SZ,电投能源,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
20,99.340278,115,223,108,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,002249.SZ,大洋电机,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
21,99.340278,133,305,172,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,002267.SZ,陕天然气,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
22,99.340278,111,320,209,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,002276.SZ,万马股份,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
23,99.340278,157,345,188,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,00228.HK,CHINA ENERGY,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
24,99.340278,41,307,266,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,002335.SZ,科华数据,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
25,99.340278,103,415,312,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,002346.SZ,柘中股份,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
26,99.340278,162,275,113,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,002452.SZ,长高电气,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
27,99.340278,94,424,330,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,002459.SZ,晶澳科技,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
28,99.340278,126,261,135,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,002479.SZ,富春环保,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
29,99.340278,171,291,120,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,002487.SZ,大金重工,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
30,99.340278,114,322,208,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,002506.SZ,协鑫集成,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
31,99.340278,191,451,260,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,002531.SZ,天顺风能,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
