priority,company_code,company_name,report_year,indicator_code,indicator_weight,tier,candidate_count,distinct_values,max_confidence,current_rank,best_rank,worst_rank,rank_span,crosses_top_200,conflict_risk,boundary_risk,instability_risk,weight_risk,confidence_risk,impact_score,baseline_confidence_rank,baseline_weight_rank,next_action
1,01205.HK,CITIC RESOURCES,2025,Q_E_GHG_REDUCTION_RATE,4.5,manual_signature_required,2,-14.2513|-14.2506,0.93,21,7,241,234,True,1.0,1.0,1.0,0.5,0.07,87.85,119,2,review_conflict_candidates
2,000531.SZ,穗恒运Ａ,2025,Q_S_DIVIDEND_PER_SHARE,3.0,manual_signature_required,2,0.05|1,0.94,379,87,428,341,True,1.0,1.0,1.0,0.333333,0.06,85.3,122,3,review_conflict_candidates
3,000968.SZ,蓝焰控股,2025,Q_S_DIVIDEND_PER_SHARE,3.0,manual_signature_required,3,0|0.05,0.94,176,92,381,289,True,1.0,1.0,1.0,0.333333,0.06,85.3,128,7,review_conflict_candidates
4,001258.SZ,立新能源,2025,Q_S_DIVIDEND_PER_SHARE,3.0,manual_signature_required,3,0|0.03,0.94,110,66,201,135,True,1.0,1.0,1.0,0.333333,0.06,85.3,130,8,review_conflict_candidates
5,002090.SZ,金智科技,2025,Q_S_DIVIDEND_PER_SHARE,3.0,manual_signature_required,2,0.025|0.045,0.94,183,183,300,117,True,1.0,1.0,1.0,0.333333,0.06,85.3,132,10,review_conflict_candidates
6,002487.SZ,大金重工,2025,Q_S_DIVIDEND_PER_SHARE,3.0,manual_signature_required,2,0.087|1,0.94,111,104,251,147,True,1.0,1.0,1.0,0.333333,0.06,85.3,137,12,review_conflict_candidates
7,002911.SZ,佛燃能源,2025,Q_S_DIVIDEND_PER_SHARE,3.0,manual_signature_required,2,0.27|0.52,0.94,76,76,216,140,True,1.0,1.0,1.0,0.333333,0.06,85.3,147,16,review_conflict_candidates
8,300037.SZ,新宙邦,2025,Q_S_DIVIDEND_PER_SHARE,3.0,manual_signature_required,3,0.5|1,0.94,173,85,380,295,True,1.0,1.0,1.0,0.333333,0.06,85.3,152,18,review_conflict_candidates
9,301278.SZ,快可电子,2025,Q_S_DIVIDEND_PER_SHARE,3.0,manual_signature_required,3,0.04|0.55,0.94,180,162,325,163,True,1.0,1.0,1.0,0.333333,0.06,85.3,166,21,review_conflict_candidates
10,300483.SZ,首华燃气,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,30|53.2,0.9,100,16,326,310,True,1.0,1.0,1.0,0.311111,0.1,85.166667,8,56,review_conflict_candidates
11,300763.SZ,锦浪科技,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,53.27|70,0.9,125,116,263,147,True,1.0,1.0,1.0,0.311111,0.1,85.166667,9,59,review_conflict_candidates
12,300953.SZ,震裕科技,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,4,65.89|73.8,0.9,171,89,378,289,True,1.0,1.0,1.0,0.311111,0.1,85.166667,10,62,review_conflict_candidates
13,000027.SZ,深圳能源,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,61.99|61.9918,0.94,75,13,207,194,True,1.0,1.0,1.0,0.311111,0.06,84.966667,121,36,review_conflict_candidates
14,000723.SZ,美锦能源,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,65.15|65.1526,0.94,267,199,357,158,True,1.0,1.0,1.0,0.311111,0.06,84.966667,126,37,review_conflict_candidates
15,001258.SZ,立新能源,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,75.91|75.9133,0.94,110,66,201,135,True,1.0,1.0,1.0,0.311111,0.06,84.966667,129,38,review_conflict_candidates
16,002276.SZ,万马股份,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,3,62.5559|62.56,0.94,243,119,343,224,True,1.0,1.0,1.0,0.311111,0.06,84.966667,135,42,review_conflict_candidates
17,002490.SZ,山东墨龙,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,3,81.4493|81.45,0.94,202,168,291,123,True,1.0,1.0,1.0,0.311111,0.06,84.966667,138,43,review_conflict_candidates
18,300040.SZ,九洲集团,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,3,63.8|63.8004,0.94,203,139,300,161,True,1.0,1.0,1.0,0.311111,0.06,84.966667,153,52,review_conflict_candidates
19,300568.SZ,星源材质,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,56.92|59.2641,0.94,213,55,324,269,True,1.0,1.0,1.0,0.311111,0.06,84.966667,157,57,review_conflict_candidates
20,300693.SZ,盛弘股份,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,47.8|47.8033,0.94,78,51,243,192,True,1.0,1.0,1.0,0.311111,0.06,84.966667,158,58,review_conflict_candidates
21,300880.SZ,迦南智能,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,28.0256|28.03,0.94,196,112,296,184,True,1.0,1.0,1.0,0.311111,0.06,84.966667,161,61,review_conflict_candidates
22,301502.SZ,华阳智能,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,22.67|22.6715,0.94,292,182,383,201,True,1.0,1.0,1.0,0.311111,0.06,84.966667,170,68,review_conflict_candidates
23,600157.SH,永泰能源,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,51.1997|73.18,0.94,191,129,288,159,True,1.0,1.0,1.0,0.311111,0.06,84.966667,176,75,review_conflict_candidates
24,600163.SH,中闽能源,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,33.8996|33.9,0.94,129,40,238,198,True,1.0,1.0,1.0,0.311111,0.06,84.966667,177,76,review_conflict_candidates
25,600346.SH,恒力石化,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,74.53|74.5323,0.94,376,101,426,325,True,1.0,1.0,1.0,0.311111,0.06,84.966667,181,80,review_conflict_candidates
26,600468.SH,百利电气,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,45.1906|53.78,0.94,177,159,264,105,True,1.0,1.0,1.0,0.311111,0.06,84.966667,186,85,review_conflict_candidates
27,600478.SH,科力远,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,72.8164|72.82,0.94,132,132,246,114,True,1.0,1.0,1.0,0.311111,0.06,84.966667,187,86,review_conflict_candidates
28,600483.SH,福能股份,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,41.8152|41.82,0.94,110,46,209,163,True,1.0,1.0,1.0,0.311111,0.06,84.966667,188,87,review_conflict_candidates
29,600509.SH,天富能源,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,65.1663|65.17,0.94,155,128,240,112,True,1.0,1.0,1.0,0.311111,0.06,84.966667,189,88,review_conflict_candidates
30,600744.SH,华银电力,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,4,92.41|93.2477|93.25,0.94,244,51,350,299,True,1.0,1.0,1.0,0.311111,0.06,84.966667,192,92,review_conflict_candidates
31,600795.SH,国电电力,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,73.4474|73.45,0.94,232,144,330,186,True,1.0,1.0,1.0,0.311111,0.06,84.966667,194,94,review_conflict_candidates
