company_code,company_name,report_year,indicator_code,value,status,source_url,source_file,source_page,evidence_text,confidence
000027.SZ,深圳能源,2025,Q_G_ROE,4.66,pending,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-17/e81dfe3f-d725-44b0-a5a9-90166c2caba4.PDF,data/raw/000027.SZ/2025/annual_report.pdf,8,稀释每股收益(元/ 股) 2025 年末 0.31 0.28 10.71% 0.2700 加权平均净资产收益 率 4.66% 4.47% 增长 0.19 个百分点 4.52% 2024 年末 本年末比上年末增减,0.92
000027.SZ,深圳能源,2025,Q_G_ROE,1,pending,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-17/e81dfe3f-d725-44b0-a5a9-90166c2caba4.PDF,data/raw/000027.SZ/2025/annual_report.pdf,317,年度，本集团不存在具有稀释性的潜在普通股，因此，稀释每股收益等于基 本每股收益。 2、 加权平均净资产收益率的计算过程 (1) 加权平均净资产收益率 加权平均净资产收益率以归属于本公司普通股股东的合并净利润除以归属,0.92
000027.SZ,深圳能源,2025,Q_G_ROE,4.66,pending,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-17/e81dfe3f-d725-44b0-a5a9-90166c2caba4.PDF,data/raw/000027.SZ/2025/annual_report.pdf,317,"产的 加权平均数 31,799,985,851.71 29,790,062,447.99 加权平均净资产收益率 4.66% 4.47% 317",0.92
000531.SZ,穗恒运Ａ,2025,Q_S_DIVIDEND_PER_SHARE,0.05,pending,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-10/c6309277-b6b3-40a0-b88b-75d22262103b.PDF,data/raw/000531.SZ/2025/annual_report.pdf,37,"报告期利润分配及资本公积金转增股本情况 适用 □不适用 每 10 股送红股数(股) 0 每 10 股派息数(元)(含税) 0.50 分配预案的股本基数(股) 1,031,804,332 现金分红金额(元)(含税) 51,",0.94
000531.SZ,穗恒运Ａ,2025,Q_S_DIVIDEND_PER_SHARE,1,pending,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-10/c6309277-b6b3-40a0-b88b-75d22262103b.PDF,data/raw/000531.SZ/2025/annual_report.pdf,136,5 拟分配每 10 股分红股(股) 0 拟分配每 10 股转增数(股) 0 0.5 拟分配每 10 股派息数(元) 经审议批准宣告发放的每 10 股 派息数(元) 经审议批准宣告发放的每 10 股 分红股(股) 0 经审议批准宣告发放,0.94
000543.SZ,皖能电力,2025,Q_S_RD_RATE,0.78,pending,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-24/3b3f544c-c39a-4da0-8493-880d50c9247f.PDF,data/raw/000543.SZ/2025/annual_report.pdf,15,台 80 万千瓦光伏全容量并网， “陕电入皖”项目取得实质进展。 (四)科技创新成果显现 研发投入强度达 0.78%，专利授权 58 项，其中发明专利 9 项。掺氨燃烧关键技术和装备处于国际先 进水平，完成,0.82
000791.SZ,甘肃能源,2025,Q_S_RD_RATE,0.06,pending,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-28/003b10b9-e971-4620-a1de-7a6c8394afc1.PDF,data/raw/000791.SZ/2025/esg_report.pdf,33,转换，加快发展新质生产力。 2025 年科技创新绩效 研究开发费用 509.19万元 科技研发投入强度 0.06% 研发人员数量 95人 公司深入实施创新驱动发展战略，不断总结技术创新工作经验，紧密围绕战,0.82
000937.SZ,冀中能源,2025,Q_S_DIVIDEND_PER_SHARE,0.1,pending,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/e44b0814-6036-40c4-a477-98173145ea75.PDF,data/raw/000937.SZ/2025/annual_report.pdf,34,"报告期利润分配及资本公积金转增股本情况 适用 □不适用 每 10 股送红股数(股) 0 每 10 股派息数(元)(含税) 1 每 10 股转增数(股) 1 分配预案的股本基数(股) 3,533,546,850 现金",0.94
000937.SZ,冀中能源,2025,Q_S_DIVIDEND_PER_SHARE,0.1,pending,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/e44b0814-6036-40c4-a477-98173145ea75.PDF,data/raw/000937.SZ/2025/annual_report.pdf,153,明 公司不存在需要披露的重要或有事项。 十五、资产负债表日后事项 1、利润分配情况 拟分配每 10 股派息数(元) 1 拟分配每 10 股分红股(股) 0 拟分配每 10 股转增数(股) 1 经审议批准宣告发,0.94
000937.SZ,冀中能源,2025,Q_S_DIVIDEND_PER_SHARE,0,pending,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/e44b0814-6036-40c4-a477-98173145ea75.PDF,data/raw/000937.SZ/2025/annual_report.pdf,153,分配每 10 股分红股(股) 0 拟分配每 10 股转增数(股) 1 经审议批准宣告发放的每 10 股派息数(元) 0 经审议批准宣告发放的每 10 股分红股(股) 0 经审议批准宣告发放的每 10 股转增数,0.94
