company_code,indicator_code,action,value,prior_value,tier,source_url,source_file
002125.SZ,Q_E_GHG_INTENSITY,replaced_reextract_correction,2254.7999999999997,2254.8,EXCHANGE,https://static.cninfo.com.cn/finalpage/2026-04-25/1225191861.PDF,data/raw/cninfo_esg_gap_collection/002125.SZ/2025/esg_report.pdf
002706.SZ,Q_E_ENERGY_INTENSITY,replaced_reextract_correction,11.799999999999999,11.8,EXCHANGE,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-11/102a015e-92e2-4de1-85da-fd446c6de6a2.PDF,/Users/fengwang/Documents/trae_projects/aegisESP/data/raw/ci_collection/002706.SZ/2025/esg_report.pdf
300850.SZ,Q_E_GHG_INTENSITY,replaced_reextract_correction,484.90000000000003,484.9,EXCHANGE,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-27/6aa4b936-d578-456c-aa8d-faafbffa3e88.PDF,/Users/fengwang/Documents/trae_projects/aegisESP/data/raw/ci_collection/300850.SZ/2025/esg_report.pdf
301386.SZ,Q_E_ENERGY_INTENSITY,replaced_reextract_correction,13.299999999999999,13.3,EXCHANGE,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-24/ddccaa27-02a0-4fab-be44-9a2edf73f172.PDF,data/raw/ci_collection/301386.SZ/2025/esg_report.pdf
301386.SZ,Q_E_GHG_INTENSITY,replaced_reextract_correction,45.900000000000006,45.9,EXCHANGE,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-24/ddccaa27-02a0-4fab-be44-9a2edf73f172.PDF,data/raw/ci_collection/301386.SZ/2025/esg_report.pdf
301439.SZ,Q_E_WATER_INTENSITY,replaced_reextract_correction,648.4000000000001,648.4,EXCHANGE,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/8d471480-9ff4-4beb-9cd3-1055f34895eb.PDF,data/raw/ci_collection/301439.SZ/2025/esg_report.pdf
600023.SH,Q_E_ENERGY_INTENSITY,replaced_reextract_correction,7000.000000000001,7000.0,EXCHANGE,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-28/600023_20260428_8L48.pdf,data/raw/ci_collection/600023.SH/2025/esg_report.pdf
600438.SH,Q_E_ENERGY_INTENSITY,replaced_reextract_correction,551.3000000000001,551.3,EXCHANGE,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-30/600438_20260430_UQ50.pdf,/Users/fengwang/Documents/trae_projects/aegisESP/data/raw/ci_collection/600438.SH/2025/esg_report.pdf
600481.SH,Q_E_SOLID_WASTE_INTENSITY,replaced_reextract_correction,7.1000000000000005,7.1,EXCHANGE,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-28/600481_20260428_Z2CC.pdf,data/raw/ci_collection/600481.SH/2025/esg_report.pdf
600744.SH,Q_E_ENERGY_INTENSITY,filled_missing,7107.6,,EXCHANGE,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-23/600744_20260423_ZMP3.pdf,data/raw/ci_collection/600744.SH/2025/esg_report.pdf
600744.SH,Q_E_HAZ_WASTE_INTENSITY,filled_missing,1.3,,EXCHANGE,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-23/600744_20260423_ZMP3.pdf,data/raw/ci_collection/600744.SH/2025/esg_report.pdf
600744.SH,Q_E_SOLID_WASTE_INTENSITY,filled_missing,3409.6,,EXCHANGE,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-23/600744_20260423_ZMP3.pdf,data/raw/ci_collection/600744.SH/2025/esg_report.pdf
600744.SH,Q_E_WATER_INTENSITY,filled_missing,21430.0,,EXCHANGE,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-23/600744_20260423_ZMP3.pdf,data/raw/ci_collection/600744.SH/2025/esg_report.pdf
600885.SH,Q_E_SOLID_WASTE_INTENSITY,replaced_reextract_correction,5.2940000000000005,5.294,EXCHANGE,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-05-30/600885_20260530_FZ6U.pdf,data/raw/ci_collection/600885.SH/2025/esg_report.pdf
601567.SH,Q_E_WATER_INTENSITY,filled_missing,3000.0,,EXCHANGE,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-25/601567_20260425_IJJK.pdf,data/raw/ci_collection/601567.SH/2025/esg_report.pdf
601619.SH,Q_E_WATER_INTENSITY,replaced_higher_authority,63.70000000000001,63.7236225459,EXCHANGE,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-28/601619_20260328_RJA2.pdf,data/raw/ci_collection/601619.SH/2025/esg_report.pdf
601727.SH,Q_E_HAZ_WASTE_INTENSITY,replaced_reextract_correction,0.36200000000000004,0.362,EXCHANGE,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-31/601727_20260331_BXF7.pdf,data/raw/ci_collection/601727.SH/2025/esg_report.pdf
603063.SH,Q_E_GHG_INTENSITY,replaced_reextract_correction,18.700000000000003,18.7,EXCHANGE,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-26/603063_20260326_F1ED.pdf,data/raw/ci_collection/603063.SH/2025/esg_report.pdf
688032.SH,Q_E_GHG_INTENSITY,replaced_reextract_correction,22.200000000000003,22.2,EXCHANGE,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-30/688032_20260430_L080.pdf,/Users/fengwang/Documents/trae_projects/aegisESP/data/raw/ci_collection/688032.SH/2025/esg_report.pdf
688551.SH,Q_E_GHG_INTENSITY,replaced_reextract_correction,28.799999999999997,28.8,EXCHANGE,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-24/688551_20260424_AJVK.pdf,data/raw/ci_collection/688551.SH/2025/esg_report.pdf
688660.SH,Q_E_GHG_INTENSITY,replaced_reextract_correction,6.8999999999999995,6.9,EXCHANGE,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-21/688660_20260421_KRBF.pdf,data/raw/ci_collection/688660.SH/2025/esg_report.pdf
