company_code,company_name,indicator_code,value,source,abs_indicator,abs_value,revenue,unit
000027.SZ,深圳能源,Q_E_SOLID_WASTE_INTENSITY,0.004374894149675516,calculated,Q_E_SOLID_WASTE_GENERATION,19.0,43429622180.48,千克/万元
000400.SZ,许继电气,Q_E_ENERGY_INTENSITY,4.966586614871605,calculated,Q_E_ENERGY_CONSUMPTION,7445.86,14991906066.24,千克/万元
000543.SZ,皖能电力,Q_E_NOX_INTENSITY,1.7212485353593883,calculated,Q_E_NOX_EMISSION,47.0,27305760344.59,克/万元
000543.SZ,皖能电力,Q_E_SO2_INTENSITY,1.7212485353593883,calculated,Q_E_SO2_EMISSION,47.0,27305760344.59,克/万元
000543.SZ,皖能电力,Q_E_WASTEWATER_INTENSITY,0.017944931538853195,calculated,Q_E_WASTEWATER_DISCHARGE,49.0,27305760344.59,千克/万元
000591.SZ,太阳能,Q_E_NOX_INTENSITY,9.682343952877337,calculated,Q_E_NOX_EMISSION,48.0,4957477263.11,克/万元
000591.SZ,太阳能,Q_E_SO2_INTENSITY,9.682343952877337,calculated,Q_E_SO2_EMISSION,48.0,4957477263.11,克/万元
000600.SZ,建投能源,Q_E_PM_INTENSITY,17.162565184135467,calculated,Q_E_PM_EMISSION,391.06,22785638149.33,克/万元
000690.SZ,宝新能源,Q_E_PM_INTENSITY,0.11582654615707673,calculated,Q_E_PM_EMISSION,1.0,8633599405.13,克/万元
000767.SZ,晋控电力,Q_E_GHG_INTENSITY,0.010993850710356447,calculated,Q_E_GHG_EMISSION,17.0,15463189784.8,千克/万元
000767.SZ,晋控电力,Q_E_NOX_INTENSITY,1.228724491157485,calculated,Q_E_NOX_EMISSION,19.0,15463189784.8,克/万元
000767.SZ,晋控电力,Q_E_SO2_INTENSITY,1.2933942012184054,calculated,Q_E_SO2_EMISSION,20.0,15463189784.8,克/万元
000767.SZ,晋控电力,Q_E_SOLID_WASTE_INTENSITY,0.012933942012184054,calculated,Q_E_SOLID_WASTE_GENERATION,20.0,15463189784.8,千克/万元
000767.SZ,晋控电力,Q_E_WASTEWATER_INTENSITY,0.011640547810965648,calculated,Q_E_WASTEWATER_DISCHARGE,18.0,15463189784.8,千克/万元
000791.SZ,甘肃能源,Q_E_WATER_INTENSITY,0.037505257973252173,calculated,Q_E_WATER_CONSUMPTION,34.0,9065395583.8,千克/万元
000791.SZ,甘肃能源,Q_E_HAZ_WASTE_INTENSITY,0.10810339062878568,calculated,Q_E_HAZ_WASTE_GENERATION,98.0,9065395583.8,千克/万元
000819.SZ,岳阳兴长,Q_E_NOX_INTENSITY,29.91933846151984,calculated,Q_E_NOX_EMISSION,111.0,3709975076.58,克/万元
000819.SZ,岳阳兴长,Q_E_SO2_INTENSITY,29.91933846151984,calculated,Q_E_SO2_EMISSION,111.0,3709975076.58,克/万元
000862.SZ,银星能源,Q_E_SOLID_WASTE_INTENSITY,0.47345841499608216,calculated,Q_E_SOLID_WASTE_GENERATION,62.0,1309513106.88,千克/万元
000875.SZ,电投绿能,Q_E_NOX_INTENSITY,6.938713930259517,calculated,Q_E_NOX_EMISSION,91.0,13114822273.21,克/万元
000875.SZ,电投绿能,Q_E_SO2_INTENSITY,6.938713930259517,calculated,Q_E_SO2_EMISSION,91.0,13114822273.21,克/万元
000883.SZ,湖北能源,Q_E_NOX_INTENSITY,150.72067503947662,calculated,Q_E_NOX_EMISSION,2632.63,17466946716.57,克/万元
000883.SZ,湖北能源,Q_E_SO2_INTENSITY,61.50015898204707,calculated,Q_E_SO2_EMISSION,1074.22,17466946716.57,克/万元
000883.SZ,湖北能源,Q_E_PM_INTENSITY,8.545282837463784,calculated,Q_E_PM_EMISSION,149.26,17466946716.57,克/万元
000937.SZ,冀中能源,Q_E_NOX_INTENSITY,5.217905749557682,calculated,Q_E_NOX_EMISSION,79.0,15140173815.27,克/万元
000937.SZ,冀中能源,Q_E_SO2_INTENSITY,5.217905749557682,calculated,Q_E_SO2_EMISSION,79.0,15140173815.27,克/万元
001299.SZ,美能能源,Q_E_GHG_INTENSITY,6016.201509597042,calculated,Q_E_GHG_EMISSION,436500.0,725540857.14,千克/万元
001299.SZ,美能能源,Q_E_SO2_INTENSITY,5980.159431824772,calculated,Q_E_SO2_EMISSION,4338.85,725540857.14,克/万元
001301.SZ,尚太科技,Q_E_SOLID_WASTE_INTENSITY,0.02266134891072437,calculated,Q_E_SOLID_WASTE_GENERATION,18.0,7943039962.41,千克/万元
002015.SZ,协鑫能科,Q_E_ENERGY_INTENSITY,0.0037286156224483947,calculated,Q_E_ENERGY_CONSUMPTION,3.85,10325548111.8,千克/万元
002015.SZ,协鑫能科,Q_E_NOX_INTENSITY,25660.938976905345,calculated,Q_E_NOX_EMISSION,264963.26,10325548111.8,克/万元
002015.SZ,协鑫能科,Q_E_SO2_INTENSITY,25660.938976905345,calculated,Q_E_SO2_EMISSION,264963.26,10325548111.8,克/万元
002028.SZ,思源电气,Q_E_WASTEWATER_INTENSITY,209.59696446158893,calculated,Q_E_WASTEWATER_DISCHARGE,451451.56,21539031405.33,千克/万元
002074.SZ,国轩高科,Q_E_SOLID_WASTE_INTENSITY,0.04215621325264272,calculated,Q_E_SOLID_WASTE_GENERATION,190.0,45070461822.87,千克/万元
002128.SZ,电投能源,Q_E_GHG_INTENSITY,1.3357913221324147,calculated,Q_E_GHG_EMISSION,4022.73,30114958327.31,千克/万元
002129.SZ,TCL中环,Q_E_SOLID_WASTE_INTENSITY,109.1253348077072,calculated,Q_E_SOLID_WASTE_GENERATION,317011.8,29050247640.35,千克/万元
002196.SZ,方正电机,Q_E_GHG_INTENSITY,0.04117172304861563,calculated,Q_E_GHG_EMISSION,12.0,2914621762.57,千克/万元
002202.SZ,金风科技,Q_E_ENERGY_INTENSITY,0.01944580077532044,calculated,Q_E_ENERGY_CONSUMPTION,142.0,73023477737.27,千克/万元
002202.SZ,金风科技,Q_E_SOLID_WASTE_INTENSITY,0.010407611682565869,calculated,Q_E_SOLID_WASTE_GENERATION,76.0,73023477737.27,千克/万元
002202.SZ,金风科技,Q_E_HAZ_WASTE_INTENSITY,0.016433071077735582,calculated,Q_E_HAZ_WASTE_GENERATION,120.0,73023477737.27,千克/万元
002245.SZ,蔚蓝锂芯,Q_E_WASTEWATER_INTENSITY,0.07025444198497148,calculated,Q_E_WASTEWATER_DISCHARGE,57.0,8113365986.48,千克/万元
002255.SZ,海陆重工,Q_E_SOLID_WASTE_INTENSITY,0.7019123516879339,calculated,Q_E_SOLID_WASTE_GENERATION,163.0,2322227263.96,千克/万元
002267.SZ,陕天然气,Q_E_SOLID_WASTE_INTENSITY,0.06282512481752718,calculated,Q_E_SOLID_WASTE_GENERATION,54.0,8595287340.35,千克/万元
002300.SZ,太阳电缆,Q_E_GHG_INTENSITY,0.035699595256891314,calculated,Q_E_GHG_EMISSION,42.95,12030948723.91,千克/万元
002340.SZ,格林美,Q_E_ENERGY_INTENSITY,0.04444613874642201,calculated,Q_E_ENERGY_CONSUMPTION,165.0,37123584782.33,千克/万元
002340.SZ,格林美,Q_E_SOLID_WASTE_INTENSITY,0.02181901356642535,calculated,Q_E_SOLID_WASTE_GENERATION,81.0,37123584782.33,千克/万元
002340.SZ,格林美,Q_E_WASTEWATER_INTENSITY,0.03959746906499415,calculated,Q_E_WASTEWATER_DISCHARGE,147.0,37123584782.33,千克/万元
