indicator_code,candidate_count,company_count,avg_confidence,methodology_present,priority_note
Q_E_ALTERNATIVE_WATER_RATE,29,20,0.9569,true,ok
Q_E_CLEAN_ENERGY_INTENSITY,24,24,0.9021,true,ok
Q_E_ENERGY_INTENSITY,72,64,0.8978,true,ok
Q_E_GHG_INTENSITY,100,86,0.9016,true,ok
Q_E_GHG_REDUCTION_RATE,39,37,0.9159,true,ok
Q_E_HAZ_WASTE_INTENSITY,34,27,0.9056,true,ok
Q_E_NOX_INTENSITY,36,36,0.9006,true,ok
Q_E_PM_INTENSITY,32,32,0.9006,true,ok
Q_E_SO2_INTENSITY,24,24,0.9025,true,ok
Q_E_SOLID_WASTE_INTENSITY,50,48,0.9046,true,ok
Q_E_WASTEWATER_INTENSITY,34,33,0.9024,true,ok
Q_E_WATER_INTENSITY,76,68,0.8996,true,ok
Q_G_AR_TURNOVER,445,445,0.9400,true,ok
Q_G_ASSET_TURNOVER,468,468,0.9400,true,ok
Q_G_CAPITAL_ACCUMULATION,384,384,0.9400,true,ok
Q_G_CASH_CURRENT_LIABILITY,246,246,0.9393,true,ok
Q_G_CASH_REALIZATION,286,286,0.9400,true,ok
Q_G_COST_REVENUE_RATE,305,305,0.9399,true,ok
Q_G_CURRENT_ASSET_TURNOVER,384,384,0.9400,true,ok
Q_G_DEBT_ASSET_RATE,797,524,0.9250,true,ok
Q_G_EBITDA_INTEREST,348,348,0.9400,true,ok
Q_G_EBITDA_MARGIN,247,247,0.9400,true,ok
Q_G_OPERATING_MARGIN,312,312,0.9393,true,ok
Q_G_OPERATING_PROFIT_GROWTH,236,236,0.9391,true,ok
Q_G_QUICK_RATIO,353,353,0.9400,true,ok
Q_G_REVENUE_GROWTH,638,548,0.9123,true,ok
Q_G_ROA,271,271,0.9400,true,ok
Q_G_ROE,833,568,0.9275,true,ok
Q_G_TWO_FUNDS_RATE,383,383,0.9400,true,ok
Q_S_BENEFIT_PER_EMPLOYEE,83,83,0.9500,true,ok
Q_S_DIVIDEND_PER_SHARE,535,375,0.9401,true,ok
Q_S_DONATION_RATE,270,270,0.9001,true,ok
Q_S_EDU_PER_EMPLOYEE,94,94,0.9500,true,ok
Q_S_ENV_INVEST_RATE,49,49,0.9018,true,ok
Q_S_PAY_PER_EMPLOYEE,125,125,0.9500,true,ok
Q_S_RD_RATE,549,473,0.9526,true,ok
Q_S_SAFETY_INVEST_RATE,41,41,0.8932,true,ok
X_E_BIODIVERSITY,0,0,,true,no_ci_candidates_yet
X_E_CLEAN_PRODUCTION,0,0,,true,no_ci_candidates_yet
X_E_CLIMATE_ACTION,0,0,,true,no_ci_candidates_yet
X_E_CLIMATE_RISK,0,0,,true,no_ci_candidates_yet
X_E_COMPLIANCE,0,0,,true,no_ci_candidates_yet
X_E_EMERGENCY,0,0,,true,no_ci_candidates_yet
X_E_ENERGY_MANAGEMENT,0,0,,true,no_ci_candidates_yet
X_E_ENV_SYSTEM,0,0,,true,no_ci_candidates_yet
X_E_GREEN_FINANCE,0,0,,true,no_ci_candidates_yet
X_E_GREEN_OFFICE,0,0,,true,no_ci_candidates_yet
X_E_GREEN_SUPPLY_CHAIN,0,0,,true,no_ci_candidates_yet
X_E_GREEN_TRANSITION,0,0,,true,no_ci_candidates_yet
X_E_HAZ_WASTE,0,0,,true,no_ci_candidates_yet
X_E_IMPACT,0,0,,true,no_ci_candidates_yet
X_E_OTHER_RESOURCE,0,0,,true,no_ci_candidates_yet
X_E_SOLID_WASTE,0,0,,true,no_ci_candidates_yet
X_E_TRAINING,0,0,,true,no_ci_candidates_yet
X_E_WASTEWATER,0,0,,true,no_ci_candidates_yet
X_E_WASTE_GAS,0,0,,true,no_ci_candidates_yet
X_E_WATER,0,0,,true,no_ci_candidates_yet
X_G_ANTI_BRIBERY,0,0,,true,no_ci_candidates_yet
X_G_AUDIT,0,0,,true,no_ci_candidates_yet
X_G_CORPORATE_STRUCTURE,0,0,,true,no_ci_candidates_yet
X_G_DISCLOSURE,0,0,,true,no_ci_candidates_yet
X_G_ESG_MANAGEMENT,0,0,,true,no_ci_candidates_yet
X_G_GOVERNANCE_MECHANISM,0,0,,true,no_ci_candidates_yet
X_G_INTEGRITY,0,0,,true,no_ci_candidates_yet
X_G_INTERNAL_CONTROL,0,0,,true,no_ci_candidates_yet
X_G_MANAGEMENT,0,0,,true,no_ci_candidates_yet
X_G_PERFORMANCE,0,0,,true,no_ci_candidates_yet
X_G_SAFETY,0,0,,true,no_ci_candidates_yet
X_G_TAX,0,0,,true,no_ci_candidates_yet
X_S_CAREER,0,0,,true,no_ci_candidates_yet
X_S_CUSTOMER_SERVICE,0,0,,true,no_ci_candidates_yet
X_S_DIVERSITY,0,0,,true,no_ci_candidates_yet
X_S_EMPLOYEE_RIGHTS,0,0,,true,no_ci_candidates_yet
X_S_FEEDBACK,0,0,,true,no_ci_candidates_yet
X_S_JUST_TRANSITION,0,0,,true,no_ci_candidates_yet
X_S_OCCUPATIONAL_HEALTH,0,0,,true,no_ci_candidates_yet
X_S_PRODUCT_QUALITY,0,0,,true,no_ci_candidates_yet
X_S_PUBLIC_WELFARE,0,0,,true,no_ci_candidates_yet
X_S_RD_INNOVATION,0,0,,true,no_ci_candidates_yet
X_S_SUPPLY_CHAIN,0,0,,true,no_ci_candidates_yet
