company_code,company_name,report_year,indicator_code,candidate_count,distinct_values,source_pages,recommended_value,review_reason
000009.SZ,中国宝安,2025,Q_G_ASSET_TURNOVER,1,0.416451,65,0.416451,single_or_consistent
000009.SZ,中国宝安,2025,Q_G_CASH_REALIZATION,1,88.8094,68,88.8094,single_or_consistent
000009.SZ,中国宝安,2025,Q_G_CURRENT_ASSET_TURNOVER,1,21.3437,65,21.3437,single_or_consistent
000009.SZ,中国宝安,2025,Q_G_DEBT_ASSET_RATE,1,59.78,60,59.78,single_or_consistent
000009.SZ,中国宝安,2025,Q_G_REVENUE_GROWTH,1,13.8838,7,13.8838,single_or_consistent
000009.SZ,中国宝安,2025,Q_G_ROE,1,2.04,7,2.04,single_or_consistent
000009.SZ,中国宝安,2025,Q_S_BENEFIT_PER_EMPLOYEE,1,1.95842,157,1.95842,single_or_consistent
000009.SZ,中国宝安,2025,Q_S_DIVIDEND_PER_SHARE,1,0.03,43,0.03,single_or_consistent
000009.SZ,中国宝安,2025,Q_S_PAY_PER_EMPLOYEE,1,13.8434,157,13.8434,single_or_consistent
000009.SZ,中国宝安,2025,Q_S_RD_RATE,1,4.71,22,4.71,single_or_consistent
00002.HK,CLP HOLDINGS,2025,Q_E_GHG_REDUCTION_RATE,1,9.7,29,9.7,single_or_consistent
00002.HK,CLP HOLDINGS,2025,Q_G_ASSET_TURNOVER,1,0.372676,168,0.372676,single_or_consistent
00002.HK,CLP HOLDINGS,2025,Q_G_CAPITAL_ACCUMULATION,1,6.63561,168,6.63561,single_or_consistent
00002.HK,CLP HOLDINGS,2025,Q_G_CURRENT_ASSET_TURNOVER,1,3.54361,168,3.54361,single_or_consistent
00002.HK,CLP HOLDINGS,2025,Q_G_DEBT_ASSET_RATE,1,50.7949,168,50.7949,single_or_consistent
00002.HK,CLP HOLDINGS,2025,Q_G_EBITDA_INTEREST,1,8.63495,182,8.63495,single_or_consistent
00002.HK,CLP HOLDINGS,2025,Q_G_EBITDA_MARGIN,1,29.2883,166,29.2883,single_or_consistent
00002.HK,CLP HOLDINGS,2025,Q_G_QUICK_RATIO,1,49.7761,168,49.7761,single_or_consistent
00002.HK,CLP HOLDINGS,2025,Q_G_REVENUE_GROWTH,1,-3.23864,17,-3.23864,single_or_consistent
00002.HK,CLP HOLDINGS,2025,Q_G_ROA,1,6.80036,182,6.80036,single_or_consistent
00002.HK,CLP HOLDINGS,2025,Q_G_ROE,1,10.1484,168,10.1484,single_or_consistent
000027.SZ,深圳能源,2025,Q_E_GHG_INTENSITY,1,6893.59,43,6893.59,single_or_consistent
000027.SZ,深圳能源,2025,Q_E_WATER_INTENSITY,1,12840,55,12840,single_or_consistent
000027.SZ,深圳能源,2025,Q_G_AR_TURNOVER,1,3.03112,132,3.03112,single_or_consistent
000027.SZ,深圳能源,2025,Q_G_ASSET_TURNOVER,1,0.26059,133,0.26059,single_or_consistent
000027.SZ,深圳能源,2025,Q_G_CAPITAL_ACCUMULATION,1,12.2819,135,12.2819,single_or_consistent
000027.SZ,深圳能源,2025,Q_G_CASH_CURRENT_LIABILITY,1,31.0277,144,31.0277,single_or_consistent
000027.SZ,深圳能源,2025,Q_G_CASH_REALIZATION,1,102.914,144,102.914,single_or_consistent
000027.SZ,深圳能源,2025,Q_G_CURRENT_ASSET_TURNOVER,1,1.1568,132,1.1568,single_or_consistent
000027.SZ,深圳能源,2025,Q_G_DEBT_ASSET_RATE,2,61.99|61.9918,119|134,,conflicting_candidates
000027.SZ,深圳能源,2025,Q_G_EBITDA_INTEREST,1,2.67858,139,2.67858,single_or_consistent
000027.SZ,深圳能源,2025,Q_G_OPERATING_MARGIN,1,8.89711,139,8.89711,single_or_consistent
000027.SZ,深圳能源,2025,Q_G_OPERATING_PROFIT_GROWTH,1,2.21973,139,2.21973,single_or_consistent
000027.SZ,深圳能源,2025,Q_G_QUICK_RATIO,1,104.327,134,104.327,single_or_consistent
000027.SZ,深圳能源,2025,Q_G_REVENUE_GROWTH,1,5.3769,7,5.3769,single_or_consistent
000027.SZ,深圳能源,2025,Q_G_ROA,1,4.01325,139,4.01325,single_or_consistent
000027.SZ,深圳能源,2025,Q_G_ROE,2,4.66,8|317,4.66,single_or_consistent
000027.SZ,深圳能源,2025,Q_G_TWO_FUNDS_RATE,1,37.5126,132,37.5126,single_or_consistent
000027.SZ,深圳能源,2025,Q_S_BENEFIT_PER_EMPLOYEE,1,4.83279,230,4.83279,single_or_consistent
000027.SZ,深圳能源,2025,Q_S_DIVIDEND_PER_SHARE,1,0.16,47,0.16,single_or_consistent
000027.SZ,深圳能源,2025,Q_S_EDU_PER_EMPLOYEE,1,0.824436,230,0.824436,single_or_consistent
000027.SZ,深圳能源,2025,Q_S_ENV_INVEST_RATE,1,0.0588704,31,0.0588704,single_or_consistent
000027.SZ,深圳能源,2025,Q_S_PAY_PER_EMPLOYEE,1,23.8832,230,23.8832,single_or_consistent
000027.SZ,深圳能源,2025,Q_S_RD_RATE,1,0.83,20,0.83,single_or_consistent
000037.SZ,深南电A,2025,Q_G_AR_TURNOVER,1,11.6401,71,11.6401,single_or_consistent
000037.SZ,深南电A,2025,Q_G_ASSET_TURNOVER,1,0.185685,71,0.185685,single_or_consistent
000037.SZ,深南电A,2025,Q_G_CAPITAL_ACCUMULATION,1,17.862,71,17.862,single_or_consistent
000037.SZ,深南电A,2025,Q_G_CASH_REALIZATION,1,102.547,77,102.547,single_or_consistent
000037.SZ,深南电A,2025,Q_G_DEBT_ASSET_RATE,2,23.1867|65,43|71,,conflicting_candidates
000037.SZ,深南电A,2025,Q_G_REVENUE_GROWTH,1,-9.32122,7,-9.32122,single_or_consistent
000037.SZ,深南电A,2025,Q_G_ROE,1,10.28,7,10.28,single_or_consistent
000037.SZ,深南电A,2025,Q_S_BENEFIT_PER_EMPLOYEE,1,6.20805,152,6.20805,single_or_consistent
000037.SZ,深南电A,2025,Q_S_DIVIDEND_PER_SHARE,1,0.032,43,0.032,single_or_consistent
000037.SZ,深南电A,2025,Q_S_EDU_PER_EMPLOYEE,1,0.632979,152,0.632979,single_or_consistent
000037.SZ,深南电A,2025,Q_S_PAY_PER_EMPLOYEE,1,29.4318,152,29.4318,single_or_consistent
000037.SZ,深南电A,2025,Q_S_RD_RATE,1,4.25,19,4.25,single_or_consistent
000049.SZ,德赛电池,2025,Q_G_REVENUE_GROWTH,1,7.38366,7,7.38366,single_or_consistent
000049.SZ,德赛电池,2025,Q_G_ROE,1,4.4,7,4.4,single_or_consistent
000049.SZ,德赛电池,2025,Q_S_DIVIDEND_PER_SHARE,1,0.23,38,0.23,single_or_consistent
000049.SZ,德赛电池,2025,Q_S_RD_RATE,1,4.6,18,4.6,single_or_consistent
00006.HK,POWER ASSETS,2025,Q_G_EBITDA_INTEREST,1,29.307,80,29.307,single_or_consistent
00006.HK,POWER ASSETS,2025,Q_G_REVENUE_GROWTH,1,-16.1045,80,-16.1045,single_or_consistent
000096.SZ,广聚能源,2025,Q_G_AR_TURNOVER,1,41.5457,61,41.5457,single_or_consistent
000096.SZ,广聚能源,2025,Q_G_ASSET_TURNOVER,1,0.408286,62,0.408286,single_or_consistent
000096.SZ,广聚能源,2025,Q_G_CAPITAL_ACCUMULATION,1,-2.12223,63,-2.12223,single_or_consistent
000096.SZ,广聚能源,2025,Q_G_CASH_CURRENT_LIABILITY,1,-4.56322,69,-4.56322,single_or_consistent
000096.SZ,广聚能源,2025,Q_G_CASH_REALIZATION,1,145.99,69,145.99,single_or_consistent
000096.SZ,广聚能源,2025,Q_G_COST_REVENUE_RATE,1,94.4887,65,94.4887,single_or_consistent
000096.SZ,广聚能源,2025,Q_G_CURRENT_ASSET_TURNOVER,1,0.99688,61,0.99688,single_or_consistent
000096.SZ,广聚能源,2025,Q_G_DEBT_ASSET_RATE,1,25.3628,63,25.3628,single_or_consistent
000096.SZ,广聚能源,2025,Q_G_EBITDA_INTEREST,1,109.218,66,109.218,single_or_consistent
000096.SZ,广聚能源,2025,Q_G_EBITDA_MARGIN,1,11.7301,66,11.7301,single_or_consistent
