company_code,company_name,indicator_code,value,source,industry,sample_count
000009.SZ,中国宝安,Q_E_GHG_INTENSITY,96.0,industry_median,Unknown,105
000009.SZ,中国宝安,Q_E_GHG_REDUCTION_RATE,13.6783156641,industry_median,Unknown,25
000009.SZ,中国宝安,Q_E_ENERGY_INTENSITY,84.0,industry_median,Unknown,86
000009.SZ,中国宝安,Q_E_CLEAN_ENERGY_INTENSITY,60.0,industry_median,Unknown,55
000009.SZ,中国宝安,Q_E_NOX_INTENSITY,46.8914518705,industry_median,Unknown,37
000009.SZ,中国宝安,Q_E_SO2_INTENSITY,88.6712070065,industry_median,Unknown,26
000009.SZ,中国宝安,Q_E_PM_INTENSITY,11.6011859525,industry_median,Unknown,35
000009.SZ,中国宝安,Q_E_WASTEWATER_INTENSITY,134.102018567,industry_median,Unknown,44
000009.SZ,中国宝安,Q_E_WATER_INTENSITY,124.0,industry_median,Unknown,82
000009.SZ,中国宝安,Q_E_ALTERNATIVE_WATER_RATE,48.97,industry_median,Unknown,23
000009.SZ,中国宝安,Q_E_SOLID_WASTE_INTENSITY,7.1,industry_median,Unknown,50
000009.SZ,中国宝安,Q_E_HAZ_WASTE_INTENSITY,0.500762563488,industry_median,Unknown,27
000009.SZ,中国宝安,Q_S_SAFETY_INVEST_RATE,8.0,industry_median,Unknown,57
000009.SZ,中国宝安,Q_S_ENV_INVEST_RATE,3.0,industry_median,Unknown,61
000009.SZ,中国宝安,Q_S_DONATION_RATE,0.0101674609757,industry_median,Unknown,270
000009.SZ,中国宝安,Q_S_EDU_PER_EMPLOYEE,134.0,industry_median,Unknown,222
000009.SZ,中国宝安,Q_G_ROA,4.82964985516,industry_median,Unknown,214
000009.SZ,中国宝安,Q_G_OPERATING_MARGIN,7.79810136571,industry_median,Unknown,243
000009.SZ,中国宝安,Q_G_EBITDA_MARGIN,14.3784319991,industry_median,Unknown,215
000009.SZ,中国宝安,Q_G_COST_REVENUE_RATE,95.1661055048,industry_median,Unknown,302
