company_code,company_name,report_year,document_type,action,research_status,ci_source_url,ci_local_path,ci_sha256
000922.SZ,佳电股份,2025,esg_report,conflict_or_different_hash,present_different,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-28/cab02453-b984-402a-8d4c-3305d426bc8f.PDF,/Users/fengwang/Documents/trae_projects/aegisESP/data/raw/ci_collection/000922.SZ/2025/esg_report.pdf,f411fc4708f05b5a032f50e344e45047ba0696d656c1c73d7029f4f5679beafb
002506.SZ,协鑫集成,2025,esg_report,conflict_or_different_hash,present_different,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/881073a1-8458-4341-a391-666f5895afb5.PDF,/Users/fengwang/Documents/trae_projects/aegisESP/data/raw/ci_collection/002506.SZ/2025/esg_report.pdf,ea6e73d9ef2ab21724637f97de2344cdaf864a8ecb6d64de70f5df858f9a4eb1
002531.SZ,天顺风能,2025,esg_report,conflict_or_different_hash,present_different,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-31/dc07f8dc-2fd8-483d-8719-4d6bbd229f6a.PDF,/Users/fengwang/Documents/trae_projects/aegisESP/data/raw/ci_collection/002531.SZ/2025/esg_report.pdf,b64e52f78e577e9bbbf6a02cdf075bf93bcb2aa94aba48c8cae62220e3256fad
002629.SZ,仁智股份,2025,annual_report,conflict_or_different_hash,present_different,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-16/a3538fd0-f7d9-43d9-a326-7b6d0bc4dcfa.PDF,/Users/fengwang/Documents/trae_projects/aegisESP/data/raw/ci_collection/002629.SZ/2025/annual_report.pdf,a47d58d5208a0b4061d32beb322a4720f1d8d7fc109cb65c022179d8a160ac79
002812.SZ,恩捷股份,2025,annual_report,conflict_or_different_hash,present_different,https://disc.static.szse.cn/disc/disk03/finalpage/2026-05-19/a5848564-a512-4e91-804f-609e6cbcb48a.PDF,/Users/fengwang/Documents/trae_projects/aegisESP/data/raw/ci_collection/002812.SZ/2025/annual_report.pdf,b77391bd59f9f82f5ef2f6af3147e749ed8e81203ddcbf32c7728294aa367b92
003816.SZ,中国广核,2025,annual_report,conflict_or_different_hash,present_different,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-16/d5d81427-7c31-4fed-9d3b-404d9c7679c4.PDF,/Users/fengwang/Documents/trae_projects/aegisESP/data/raw/ci_collection/003816.SZ/2025/annual_report.pdf,c667b8dfecccb7b7916a57bc6b85a807b4a8fa25a46cbdaf00cd7caf8c435cae
00467.HK,UNITEDENERGY GP,2024,annual_report,conflict_or_different_hash,present_different,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0911/2025091101102.pdf,/Users/fengwang/Documents/trae_projects/aegisESP/data/raw/ci_collection/00467.HK/2024/annual_report.pdf,b65e5a2a2303ef13746df8eaa659231088dc307734f40ad13d1be361e61d1c02
00554.HK,HANS GP HLDGS,2025,esg_report,conflict_or_different_hash,present_different,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0423/2026042301689.pdf,/Users/fengwang/Documents/trae_projects/aegisESP/data/raw/ci_collection/00554.HK/2025/esg_report.pdf,39efe253b078c22359967997433ab1c296765a073b75403d31a8d03bdc0a83b2
03868.HK,XINYI ENERGY,2024,esg_report,conflict_or_different_hash,present_different,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0430/2025043003035.pdf,/Users/fengwang/Documents/trae_projects/aegisESP/data/raw/ci_collection/03868.HK/2024/esg_report.pdf,f537bfd4d3b980a45c563f5ba42fa5bb3639d679cddd861655e7a987bb490ea6
300207.SZ,欣旺达,2025,esg_report,conflict_or_different_hash,present_different,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-24/97836cb1-a7ed-4a3c-8686-8f92d7c6019e.PDF,/Users/fengwang/Documents/trae_projects/aegisESP/data/raw/ci_collection/300207.SZ/2025/esg_report.pdf,d5eed3fa7711246b88b1990eefd162a4aea121df9a81d6da33d3d377df4a4e12
300870.SZ,欧陆通,2025,esg_report,conflict_or_different_hash,present_different,https://disc.static.szse.cn/disc/disk03/finalpage/2026-05-13/a5ba8b26-659c-4d02-a67b-99388ec5b111.PDF,/Users/fengwang/Documents/trae_projects/aegisESP/data/raw/ci_collection/300870.SZ/2025/esg_report.pdf,e1c471e87a126927aa9cec2cdc4b4bec7f38c87192822f7d3f454c849f8bd117
300880.SZ,迦南智能,2025,esg_report,conflict_or_different_hash,present_different,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-21/5139f38d-ef10-4d94-b95d-3f5064bb2d63.PDF,/Users/fengwang/Documents/trae_projects/aegisESP/data/raw/ci_collection/300880.SZ/2025/esg_report.pdf,f040f7f59a05345570e934a715a2f960fb0c736c20672f5c8004caaca6964f29
301325.SZ,曼恩斯特,2025,esg_report,conflict_or_different_hash,present_different,https://disc.static.szse.cn/disc/disk03/finalpage/2026-05-21/e030db47-babd-4201-b092-3661e48ab4c1.PDF,/Users/fengwang/Documents/trae_projects/aegisESP/data/raw/ci_collection/301325.SZ/2025/esg_report.pdf,9c80da234f9492aa9137b2c37042eaf1c3b9dc2cfdbf650eaf400930f95db3be
600011.SH,华能国际,2025,annual_report,conflict_or_different_hash,present_different,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-18/600011_20260418_OYK6.pdf,/Users/fengwang/Documents/trae_projects/aegisESP/data/raw/ci_collection/600011.SH/2025/annual_report.pdf,a0e700f87e23e80090b80f0e55e8701e6c83594c57462d452f2a723de14e5c93
600207.SH,安彩高科,2025,esg_report,conflict_or_different_hash,present_different,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-05-14/600207_20260514_WA3G.pdf,/Users/fengwang/Documents/trae_projects/aegisESP/data/raw/ci_collection/600207.SH/2025/esg_report.pdf,df8820c6d31334f0cc02ad09f9d777fadf4bbd3912587eb6286c31639e5ddc76
600346.SH,恒力石化,2025,annual_report,conflict_or_different_hash,present_different,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-05-12/600346_20260512_QVZG.pdf,/Users/fengwang/Documents/trae_projects/aegisESP/data/raw/ci_collection/600346.SH/2025/annual_report.pdf,8e83f88c1ebc46711ae22a658a66da0043828af095c458cf7377433a0d3d20c2
600438.SH,通威股份,2025,annual_report,conflict_or_different_hash,present_different,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-06-17/600438_20260617_MZ0P.pdf,/Users/fengwang/Documents/trae_projects/aegisESP/data/raw/ci_collection/600438.SH/2025/annual_report.pdf,80ea6954050340d5f10d816db2aeaf85721ce3953853974b49034f677f78eb85
600438.SH,通威股份,2025,esg_report,conflict_or_different_hash,present_different,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-06-17/600438_20260617_PJQ9.pdf,/Users/fengwang/Documents/trae_projects/aegisESP/data/raw/ci_collection/600438.SH/2025/esg_report.pdf,40bcac685e95d94b399f73a91e45190fa9c112fd13015be1df733b9ed39b3f30
601808.SH,中海油服,2025,annual_report,conflict_or_different_hash,present_different,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-15/601808_20260415_QY9T.pdf,/Users/fengwang/Documents/trae_projects/aegisESP/data/raw/ci_collection/601808.SH/2025/annual_report.pdf,5f7fde291fcdb58defc35d837a9ea723ad8fc2f7d907473ce2b378ad4d83d1be
605117.SH,德业股份,2025,esg_report,conflict_or_different_hash,present_different,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-10/605117_20260410_772B.pdf,/Users/fengwang/Documents/trae_projects/aegisESP/data/raw/ci_collection/605117.SH/2025/esg_report.pdf,f61869e55229fa76e4ba4663cda09eedf839c90e5c3aba9b0d4dcf96d4d06ffa
688005.SH,容百科技,2025,esg_report,conflict_or_different_hash,present_different,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-30/688005_20260430_1ZUI.pdf,/Users/fengwang/Documents/trae_projects/aegisESP/data/raw/ci_collection/688005.SH/2025/esg_report.pdf,b551dd87b224ec903a34fbe4cec8a0b49cf04bd9d1d0dff8c1dee10f20788b9f
688339.SH,亿华通,2025,esg_report,conflict_or_different_hash,present_different,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-30/688339_20260430_CIJ3.pdf,/Users/fengwang/Documents/trae_projects/aegisESP/data/raw/ci_collection/688339.SH/2025/esg_report.pdf,9bc20de961682f96efa366ec015c04ccdd7ba2c9aaaec46af8e9948a0d00f911
