rank,company_code,total_score,quantitative_score,qualitative_score
1,002560.SZ,36.25,36.25,0.0
2,300820.SZ,35.44,35.44,0.0
3,301439.SZ,35.18,35.18,0.0
4,600917.SH,34.61,34.61,0.0
5,000819.SZ,34.25,34.25,0.0
6,600968.SH,34.08,34.08,0.0
7,300491.SZ,34.03,34.03,0.0
8,002259.SZ,33.96,33.96,0.0
9,301217.SZ,33.88,33.88,0.0
10,301386.SZ,33.85,33.85,0.0
11,002270.SZ,33.63,33.63,0.0
12,603689.SH,33.55,33.55,0.0
13,002300.SZ,33.38,33.38,0.0
14,605169.SH,33.34,33.34,0.0
15,002498.SZ,33.2,33.2,0.0
16,600956.SH,33.15,33.15,0.0
17,002039.SZ,33.11,33.11,0.0
18,603353.SH,33.1,33.1,0.0
19,603693.SH,33.1,33.1,0.0
20,000533.SZ,33.05,33.05,0.0
21,002986.SZ,33.03,33.03,0.0
22,002441.SZ,32.96,32.96,0.0
23,300882.SZ,32.88,32.88,0.0
24,603396.SH,32.83,32.83,0.0
25,09689.HK,32.78,32.78,0.0
26,300407.SZ,32.77,32.77,0.0
27,920914.BJ,32.75,32.75,0.0
28,002953.SZ,32.72,32.72,0.0
29,301163.SZ,32.71,32.71,0.0
30,301002.SZ,32.69,32.69,0.0
31,920110.BJ,32.69,32.69,0.0
32,301023.SZ,32.68,32.68,0.0
33,688005.SH,32.63,32.63,0.0
34,001376.SZ,32.55,32.55,0.0
35,301222.SZ,32.55,32.55,0.0
36,300129.SZ,32.54,32.54,0.0
37,605090.SH,32.51,32.51,0.0
38,600577.SH,32.41,32.41,0.0
39,002533.SZ,32.36,32.36,0.0
40,688676.SH,32.36,32.36,0.0
41,301278.SZ,32.31,32.31,0.0
42,002980.SZ,32.29,32.29,0.0
43,600885.SH,32.29,32.29,0.0
44,002125.SZ,32.27,32.27,0.0
45,001301.SZ,32.26,32.26,0.0
46,002221.SZ,32.24,32.24,0.0
47,002911.SZ,32.17,32.17,0.0
48,002580.SZ,32.15,32.15,0.0
49,920046.BJ,32.15,32.15,0.0
50,000593.SZ,32.12,32.12,0.0
51,600674.SH,32.09,32.09,0.0
52,002267.SZ,32.08,32.08,0.0
53,301150.SZ,32.08,32.08,0.0
54,603080.SH,32.06,32.06,0.0
55,002692.SZ,32.05,32.05,0.0
56,301040.SZ,32.05,32.05,0.0
57,920185.BJ,32.04,32.04,0.0
58,00632.HK,32.0,32.0,0.0
59,002452.SZ,31.99,31.99,0.0
60,300919.SZ,31.99,31.99,0.0
61,920299.BJ,31.99,31.99,0.0
62,600098.SH,31.98,31.98,0.0
63,688248.SH,31.96,31.96,0.0
64,301502.SZ,31.95,31.95,0.0
65,601778.SH,31.94,31.94,0.0
66,000682.SZ,31.93,31.93,0.0
67,300274.SZ,31.91,31.91,0.0
68,300514.SZ,31.91,31.91,0.0
69,002350.SZ,31.9,31.9,0.0
70,300880.SZ,31.9,31.9,0.0
71,301358.SZ,31.9,31.9,0.0
72,002893.SZ,31.88,31.88,0.0
73,002927.SZ,31.88,31.88,0.0
74,300724.SZ,31.87,31.87,0.0
75,002249.SZ,31.84,31.84,0.0
76,601877.SH,31.78,31.78,0.0
77,300283.SZ,31.76,31.76,0.0
78,002850.SZ,31.75,31.75,0.0
79,688063.SH,31.72,31.72,0.0
80,300035.SZ,31.7,31.7,0.0
81,301388.SZ,31.7,31.7,0.0
82,000009.SZ,31.69,31.69,0.0
83,002882.SZ,31.69,31.69,0.0
84,688345.SH,31.69,31.69,0.0
85,000899.SZ,31.65,31.65,0.0
86,002823.SZ,31.65,31.65,0.0
87,600508.SH,31.65,31.65,0.0
88,301226.SZ,31.62,31.62,0.0
89,301266.SZ,31.62,31.62,0.0
90,920252.BJ,31.62,31.62,0.0
91,600995.SH,31.6,31.6,0.0
92,000922.SZ,31.57,31.57,0.0
93,002056.SZ,31.57,31.57,0.0
94,002335.SZ,31.57,31.57,0.0
95,300690.SZ,31.56,31.56,0.0
96,002606.SZ,31.55,31.55,0.0
97,002629.SZ,31.54,31.54,0.0
98,301349.SZ,31.52,31.52,0.0
99,601311.SH,31.52,31.52,0.0
100,688779.SH,31.47,31.47,0.0
101,300040.SZ,31.44,31.44,0.0
102,001331.SZ,31.43,31.43,0.0
103,600821.SH,31.43,31.43,0.0
104,601139.SH,31.43,31.43,0.0
105,300617.SZ,31.42,31.42,0.0
106,600101.SH,31.4,31.4,0.0
107,002892.SZ,31.38,31.38,0.0
108,300073.SZ,31.37,31.37,0.0
109,300432.SZ,31.36,31.36,0.0
110,920779.BJ,31.35,31.35,0.0
111,301012.SZ,31.34,31.34,0.0
112,300693.SZ,31.32,31.32,0.0
113,300286.SZ,31.31,31.31,0.0
114,688147.SH,31.31,31.31,0.0
115,002112.SZ,31.3,31.3,0.0
116,300409.SZ,31.29,31.29,0.0
117,920239.BJ,31.29,31.29,0.0
118,300907.SZ,31.28,31.28,0.0
119,000096.SZ,31.26,31.26,0.0
120,600681.SH,31.26,31.26,0.0
121,002451.SZ,31.25,31.25,0.0
122,603320.SH,31.24,31.24,0.0
123,920496.BJ,31.23,31.23,0.0
124,300265.SZ,31.22,31.22,0.0
125,002879.SZ,31.21,31.21,0.0
126,301063.SZ,31.2,31.2,0.0
127,000966.SZ,31.19,31.19,0.0
128,300014.SZ,31.19,31.19,0.0
129,002576.SZ,31.18,31.18,0.0
130,300568.SZ,31.17,31.17,0.0
131,688388.SH,31.17,31.17,0.0
132,603344.SH,31.15,31.15,0.0
133,001896.SZ,31.14,31.14,0.0
134,301120.SZ,31.13,31.13,0.0
135,002801.SZ,31.12,31.12,0.0
136,688503.SH,31.12,31.12,0.0
137,920627.BJ,31.11,31.11,0.0
138,002527.SZ,31.08,31.08,0.0
139,600483.SH,31.07,31.07,0.0
140,605378.SH,31.07,31.07,0.0
141,000637.SZ,31.06,31.06,0.0
142,002700.SZ,31.06,31.06,0.0
143,300444.SZ,31.06,31.06,0.0
144,003022.SZ,31.05,31.05,0.0
145,920237.BJ,31.05,31.05,0.0
146,000421.SZ,31.04,31.04,0.0
147,300443.SZ,31.04,31.04,0.0
