序号,证券代码,公司简称,数值类别,披露率%,定量分,定性分,温室气体排放强度,综合能源消耗强度,氮氧化物排放强度,二氧化硫排放强度,水资源使用强度,一般固体废物排放强度,安全生产投入占比,研发费用占比,现金分红,资产负债率,可持续发展(ESG)分值
1,300776.SZ,帝尔激光,指标数值,81.25,49.42,65.83,11.5972,3.1,,,44.2712,0.1559,,11.28,0.39,41.1,52.7
1,300776.SZ,帝尔激光,指标分值,,,,6.0944,4.4384,,,1.4205,2.5869,,2.8644,2.3273,2.4497,
2,600482.SH,中国动力,指标数值,77.5,49.48,58.5,121,28.0157,17.7907,,810,10.2014,0.2178,5.35,0.2844,54.0553,51.29
2,600482.SH,中国动力,指标分值,,,,6.0146,4.4039,1.8549,,1.4166,2.5729,0.7184,1.746,1.8695,2.7729,
3,600236.SH,桂冠电力,指标数值,72.5,48.7,56.42,2880,327.3445,163.5727,,913.1731,1862.6,,1.92,0.293,54.22,50.24
3,600236.SH,桂冠电力,指标分值,,,,3.8422,3.9724,1.7328,,1.4161,0.2928,,0.7709,1.9104,2.7696,
4,603031.SH,安孚科技,指标数值,76.25,48.7,52.12,48,11.6,,0.0314,581.7865,10.1775,0.06,2.55,0.12,53.266,49.39
4,603031.SH,安孚科技,指标分值,,,,6.068,4.4266,,1.9627,1.4178,2.5729,0.6197,0.9311,1.0583,2.7862,
5,688819.SH,天能股份,指标数值,77.5,44.9,62.52,430,109.51,5.1035,,1237.9577,,0.3265,4.05,0.55,60.99,48.42
5,688819.SH,天能股份,指标分值,,,,5.7848,4.2895,1.865,,1.4145,,0.7904,1.3581,2.7714,2.4822,
6,600885.SH,宏发股份,指标数值,72.5,45.95,57.62,100,31,0.1006,0.0186,778,5.294,,5.31,0.347,31.47,48.29
6,600885.SH,宏发股份,指标分值,,,,6.03,4.3998,1.869,1.9627,1.4168,2.5797,,1.7342,2.1542,1.6898,
7,601225.SH,陕西煤业,指标数值,71.25,45.11,59.27,1940,1400,325.6371,138.374,5200,220,,0.42,0.948,41.8429,47.94
7,601225.SH,陕西煤业,指标分值,,,,4.5962,2.3346,1.5857,1.7537,1.3945,2.2679,,0.4554,2.9971,2.4961,
8,603396.SH,金辰股份,指标数值,72.5,43.13,60.87,12.6557,3.1,,,71.5837,0.2932,,6.87,0.15,46.2331,46.68
8,603396.SH,金辰股份,指标分值,,,,6.0936,4.4384,,,1.4203,2.5867,,2.1652,1.202,2.7091,
9,688676.SH,金盘科技,指标数值,71.25,44.04,54.25,2.6,8.4,,,254.1662,,,4.9,0.68,53.76,46.08
9,688676.SH,金盘科技,指标分值,,,,6.1009,4.4311,,,1.4194,,,1.6126,2.9281,2.7784,
10,603063.SH,禾望电气,指标数值,72.5,42.98,55.67,18.7,,,,,4.2917,0.0063,8.85,0.13,43.3102,45.52
10,603063.SH,禾望电气,指标分值,,,,6.0893,,,,,2.5811,0.5878,2.5826,1.1055,2.5795,
11,688551.SH,科威尔,指标数值,73.75,41.39,60.84,28.8,9.5,,,,0.5158,0.09,14.98,0.3,24.01,45.28
11,688551.SH,科威尔,指标分值,,,,6.0819,4.4295,,,,2.5864,0.6379,2.9868,1.9434,1.0761,
12,601001.SH,晋控煤业,指标数值,67.5,44.23,44.94,2678.5471,85.5972,46.8915,22.8927,3569.914,,,1.67,0.547,23,44.37
12,601001.SH,晋控煤业,指标分值,,,,4.0024,4.3233,1.8314,1.9308,1.4028,,,0.7115,2.7659,1.0012,
13,688517.SH,金冠电气,指标数值,71.25,42.17,52.47,136.8,27.8,,,828.4,4,,3.64,0.49,39.42,44.23
