rank,company_code,company_name,esg_score,quantitative_score,qualitative_score,e_score,s_score,g_score,indicator_count,extracted_count,calculated_count,filled_count
1,002259.SZ,升达林业,45.49094694650947,56.863683683136834,0,51.57082417443911,47.51532261068568,66.03545636929188,38,21,0,17
2,002039.SZ,黔源电力,45.156906449860855,56.44613306232606,0,51.57082417443911,55.047538191961074,62.33904473477775,39,14,0,25
3,603689.SH,皖天然气,44.40108845804479,55.50136057255598,0,55.23779794028804,51.35449662344017,57.967748354203955,43,32,0,11
4,002911.SZ,佛燃能源,43.732843866082334,54.66605483260292,0,51.57082417443911,50.63315645111885,59.833054568813665,39,18,0,21
5,000819.SZ,岳阳兴长,43.636344309486766,54.545430386858456,0,57.45172162127769,47.91779197552886,54.27448308618988,48,27,2,19
6,600674.SH,川投能源,43.53709311811508,54.42136639764385,0,51.659164523324065,65.14698803905873,51.43576632866407,41,26,0,15
7,002056.SZ,横店东磁,43.5111278502918,54.388909812864746,0,51.57082417443911,66.40315892106207,49.65532248929391,38,9,0,29
8,603606.SH,东方电缆,43.308930979417994,54.13616372427249,0,51.57082417443911,50.62167282813065,58.26837237646415,38,19,0,19
9,002560.SZ,通达股份,43.21284843026879,54.01606053783599,0,55.657014727550525,53.6853554646261,51.779771483041635,50,36,1,13
10,002850.SZ,科达利,43.09884170438082,53.873552130476014,0,51.57082417443911,62.999429739952035,50.72310115860998,38,10,0,28
11,301439.SZ,泓淋电力,43.014424393222015,53.76803049152751,0,55.24866846851152,59.57248703098359,48.18901570780903,46,30,0,16
12,601225.SH,陕西煤业,43.003042660827276,53.753803326034095,0,43.88703510038059,68.07724706603605,58.43321182078507,50,41,1,8
13,09689.HK,JTF INTL,42.935683007898234,53.66960375987279,0,58.60824923986949,47.04144807043,51.24972656561135,37,7,0,30
14,300491.SZ,通合科技,42.83476267403139,53.54345334253923,0,52.03342970007941,63.04648873492131,49.31173714627974,48,31,1,16
