stock_code,universe_name,snapshot_name,included,status,source_action,date_action,entity_action,reason
300274.SZ,阳光电源,阳光电源,True,matched,filled,filled,preserved,证券代码及名称匹配
02688.HK,ENN ENERGY,ENN ENERGY,True,matched,filled,filled,preserved,证券代码及名称匹配
600900.SH,长江电力,长江电力,True,matched,filled,filled,preserved,证券代码及名称匹配
000400.SZ,许继电气,许继电气,True,matched,filled,filled,preserved,证券代码及名称匹配
600956.SH,新天绿能,新天绿能,True,matched,filled,filled,preserved,证券代码及名称匹配
01600.HK,TIAN LUN GAS,TIAN LUN GAS,True,matched,filled,filled,preserved,证券代码及名称匹配
00135.HK,KUNLUN ENERGY,KUNLUN ENERGY,True,matched,filled,filled,preserved,证券代码及名称匹配
00384.HK,CHINA GAS HOLD,CHINA GAS HOLD,True,matched,filled,filled,preserved,证券代码及名称匹配
600438.SH,通威股份,通威股份,True,matched,filled,filled,preserved,证券代码及名称匹配
03868.HK,XINYI ENERGY,XINYI ENERGY,True,matched,filled,filled,preserved,证券代码及名称匹配
00686.HK,BJ ENERGY INTL,BJ ENERGY INTL,True,matched,filled,filled,preserved,证券代码及名称匹配
688599.SH,天合光能,天合光能,True,matched,filled,filled,preserved,证券代码及名称匹配
600406.SH,国电南瑞,国电南瑞,True,matched,filled,filled,preserved,证券代码及名称匹配
01798.HK,DATANG RENEW,DATANG RENEW,True,matched,filled,filled,preserved,证券代码及名称匹配
03633.HK,ZHONGYU ENERGY,ZHONGYU ENERGY,True,matched,filled,filled,preserved,证券代码及名称匹配
002459.SZ,晶澳科技,晶澳科技,True,matched,filled,filled,preserved,证券代码及名称匹配
600732.SH,爱旭股份,爱旭股份,True,matched,filled,filled,preserved,证券代码及名称匹配
688390.SH,固德威,固德威,True,matched,filled,filled,preserved,证券代码及名称匹配
601615.SH,明阳智能,明阳智能,True,matched,filled,filled,preserved,证券代码及名称匹配
688676.SH,金盘科技,金盘科技,True,matched,filled,filled,preserved,证券代码及名称匹配
002129.SZ,TCL中环,TCL中环,True,matched,filled,filled,preserved,证券代码及名称匹配
601727.SH,上海电气,上海电气,True,matched,filled,filled,preserved,证券代码及名称匹配
