company_code,company_name,report_year,indicator_code,decision,candidate_count,distinct_values,selected_value,policy_version,reason
00002.HK,CLP HOLDINGS,2025,Q_G_CAPITAL_ACCUMULATION,auto_confirmed,1,2.9043,2.9043,public-disclosure-v4,official_annual_direct_consistent
00002.HK,CLP HOLDINGS,2025,Q_G_EBITDA_MARGIN,auto_confirmed,1,29.3248,29.3248,public-disclosure-v4,strict_extraction_evidence_consistent
00002.HK,CLP HOLDINGS,2025,Q_G_REVENUE_GROWTH,auto_confirmed,1,3.347,3.347,public-disclosure-v4,official_annual_direct_consistent
00002.HK,CLP HOLDINGS,2025,Q_G_ROE,auto_confirmed,1,10.9664,10.9664,public-disclosure-v4,official_annual_direct_consistent
00003.HK,HK & CHINA GAS,0,Q_G_CAPITAL_ACCUMULATION,auto_confirmed,1,4.4719,4.4719,public-disclosure-v4,official_annual_direct_consistent
00006.HK,POWER ASSETS,2025,Q_G_EBITDA_INTEREST,auto_confirmed,1,29.307,29.307,public-disclosure-v4,official_annual_direct_consistent
00006.HK,POWER ASSETS,2025,Q_G_REVENUE_GROWTH,auto_confirmed,1,-16.1045,-16.1045,public-disclosure-v4,official_annual_direct_consistent
00042.HK,NE ELECTRIC,2025,Q_G_EBITDA_INTEREST,auto_confirmed,1,-281.322,-281.322,public-disclosure-v4,official_annual_direct_consistent
00042.HK,NE ELECTRIC,2025,Q_G_EBITDA_MARGIN,auto_confirmed,1,-43.9642,-43.9642,public-disclosure-v4,strict_extraction_evidence_consistent
00042.HK,NE ELECTRIC,2025,Q_G_REVENUE_GROWTH,auto_confirmed,1,4.9405,4.9405,public-disclosure-v4,official_annual_direct_consistent
00061.HK,GREEN LEADER,2025,Q_G_REVENUE_GROWTH,auto_confirmed,1,28.0312,28.0312,public-disclosure-v4,official_annual_direct_consistent
00065.HK,GRAND OCEAN AR,2025,Q_G_CAPITAL_ACCUMULATION,auto_confirmed,1,-27.3758,-27.3758,public-disclosure-v4,official_annual_direct_consistent
00065.HK,GRAND OCEAN AR,2025,Q_G_CASH_CURRENT_LIABILITY,auto_confirmed,1,-14.4056,-14.4056,public-disclosure-v4,official_annual_direct_consistent
00065.HK,GRAND OCEAN AR,2025,Q_G_CURRENT_ASSET_TURNOVER,auto_confirmed,1,1.4553,1.4553,public-disclosure-v4,official_annual_direct_consistent
00065.HK,GRAND OCEAN AR,2025,Q_G_QUICK_RATIO,auto_confirmed,1,139.118,139.118,public-disclosure-v4,strict_extraction_evidence_consistent
00065.HK,GRAND OCEAN AR,2025,Q_G_REVENUE_GROWTH,auto_confirmed,1,-10.7122,-10.7122,public-disclosure-v4,official_annual_direct_consistent
00065.HK,GRAND OCEAN AR,2025,Q_G_ROE,auto_confirmed,1,-47.0432,-47.0432,public-disclosure-v4,official_annual_direct_consistent
00135.HK,KUNLUN ENERGY,2025,Q_G_CAPITAL_ACCUMULATION,auto_confirmed,1,3.8746,3.8746,public-disclosure-v4,official_annual_direct_consistent
00135.HK,KUNLUN ENERGY,2025,Q_G_DEBT_ASSET_RATE,auto_confirmed,1,35.9717,35.9717,public-disclosure-v4,official_annual_direct_consistent
00135.HK,KUNLUN ENERGY,2025,Q_S_DIVIDEND_PER_SHARE,auto_confirmed,1,0.3158,0.3158,public-disclosure-v4,official_annual_direct_consistent
00182.HK,CONCORD NE,2025,Q_G_CAPITAL_ACCUMULATION,auto_confirmed,1,-2.8503,-2.8503,public-disclosure-v4,official_annual_direct_consistent
00182.HK,CONCORD NE,2025,Q_G_DEBT_ASSET_RATE,auto_confirmed,1,73.9046,73.9046,public-disclosure-v4,official_annual_direct_consistent
00182.HK,CONCORD NE,2025,Q_G_EBITDA_INTEREST,auto_confirmed,1,1.4296,1.4296,public-disclosure-v4,official_annual_direct_consistent
00182.HK,CONCORD NE,2025,Q_G_ROA,auto_confirmed,1,2.7752,2.7752,public-disclosure-v4,official_annual_direct_consistent
00182.HK,CONCORD NE,2025,Q_G_ROE,auto_confirmed,1,1.7841,1.7841,public-disclosure-v4,official_annual_direct_consistent
00196.HK,HONGHUA GROUP,2025,Q_E_GHG_REDUCTION_RATE,auto_confirmed,1,31.7124,31.7124,public-disclosure-v4,strict_extraction_evidence_consistent
00196.HK,HONGHUA GROUP,2025,Q_E_HAZ_WASTE_INTENSITY,auto_confirmed,2,10,10,public-disclosure-v4,strict_extraction_evidence_consistent
00196.HK,HONGHUA GROUP,2025,Q_E_SOLID_WASTE_INTENSITY,auto_confirmed,2,30,30,public-disclosure-v4,strict_extraction_evidence_consistent
00196.HK,HONGHUA GROUP,2025,Q_E_WATER_INTENSITY,auto_confirmed,2,630,630,public-disclosure-v4,official_esg_direct_consistent
00196.HK,HONGHUA GROUP,2025,Q_G_ASSET_TURNOVER,auto_confirmed,1,0.4477,0.4477,public-disclosure-v4,official_annual_direct_consistent
00196.HK,HONGHUA GROUP,2025,Q_G_DEBT_ASSET_RATE,auto_confirmed,1,71.1288,71.1288,public-disclosure-v4,official_annual_direct_consistent
00196.HK,HONGHUA GROUP,2025,Q_G_OPERATING_MARGIN,auto_confirmed,1,3.1377,3.1377,public-disclosure-v4,official_annual_direct_consistent
00196.HK,HONGHUA GROUP,2025,Q_G_OPERATING_PROFIT_GROWTH,auto_confirmed,1,16.3215,16.3215,public-disclosure-v4,official_annual_direct_consistent
00196.HK,HONGHUA GROUP,2025,Q_G_REVENUE_GROWTH,auto_confirmed,1,-2.4866,-2.4866,public-disclosure-v4,official_annual_direct_consistent
00196.HK,HONGHUA GROUP,2025,Q_S_RD_RATE,manual_required,3,2.9776|5.2,,public-disclosure-v4,conflicting_or_ineligible_sources
00206.HK,CM-ENERGY,2025,Q_G_CAPITAL_ACCUMULATION,auto_confirmed,1,2.2929,2.2929,public-disclosure-v4,official_annual_direct_consistent
00206.HK,CM-ENERGY,2025,Q_G_ROE,auto_confirmed,1,0.9785,0.9785,public-disclosure-v4,official_annual_direct_consistent
00228.HK,CHINA ENERGY,2025,Q_G_AR_TURNOVER,auto_confirmed,1,1.9406,1.9406,public-disclosure-v4,official_annual_direct_consistent
00228.HK,CHINA ENERGY,2025,Q_G_CAPITAL_ACCUMULATION,auto_confirmed,1,19.3007,19.3007,public-disclosure-v4,official_annual_direct_consistent
00228.HK,CHINA ENERGY,2025,Q_G_CURRENT_ASSET_TURNOVER,auto_confirmed,1,0.7512,0.7512,public-disclosure-v4,official_annual_direct_consistent
00228.HK,CHINA ENERGY,2025,Q_G_EBITDA_INTEREST,auto_confirmed,1,2.6354,2.6354,public-disclosure-v4,official_annual_direct_consistent
00228.HK,CHINA ENERGY,2025,Q_G_REVENUE_GROWTH,auto_confirmed,1,-21.9403,-21.9403,public-disclosure-v4,official_annual_direct_consistent
00228.HK,CHINA ENERGY,2025,Q_G_ROE,auto_confirmed,1,1.1445,1.1445,public-disclosure-v4,official_annual_direct_consistent
00276.HK,MONGOLIA ENERGY,2026,Q_G_REVENUE_GROWTH,auto_confirmed,1,-29.4937,-29.4937,public-disclosure-v4,official_annual_direct_consistent
00295.HK,KONG SUN HOLD,2025,Q_G_ASSET_TURNOVER,auto_confirmed,1,0.0708,0.0708,public-disclosure-v4,official_annual_direct_consistent
00295.HK,KONG SUN HOLD,2025,Q_G_CURRENT_ASSET_TURNOVER,auto_confirmed,1,0.1508,0.1508,public-disclosure-v4,official_annual_direct_consistent
00295.HK,KONG SUN HOLD,2025,Q_G_DEBT_ASSET_RATE,auto_confirmed,1,53.7893,53.7893,public-disclosure-v4,official_annual_direct_consistent
00295.HK,KONG SUN HOLD,2025,Q_G_EBITDA_INTEREST,auto_confirmed,1,-1.1964,-1.1964,public-disclosure-v4,official_annual_direct_consistent
00295.HK,KONG SUN HOLD,2025,Q_G_REVENUE_GROWTH,auto_confirmed,1,-18.2081,-18.2081,public-disclosure-v4,official_annual_direct_consistent
00295.HK,KONG SUN HOLD,2025,Q_G_ROA,auto_confirmed,1,-2.5822,-2.5822,public-disclosure-v4,official_annual_direct_consistent
00332.HK,YUANHENGGAS-NEW,2025,Q_E_GHG_REDUCTION_RATE,auto_confirmed,1,-12.0504,-12.0504,public-disclosure-v4,strict_extraction_evidence_consistent
00332.HK,YUANHENGGAS-NEW,2026,Q_G_CAPITAL_ACCUMULATION,auto_confirmed,1,-10.5594,-10.5594,public-disclosure-v4,official_annual_direct_consistent
00332.HK,YUANHENGGAS-NEW,2026,Q_G_EBITDA_INTEREST,auto_confirmed,1,-0.1853,-0.1853,public-disclosure-v4,official_annual_direct_consistent
00332.HK,YUANHENGGAS-NEW,2026,Q_G_ROE,auto_confirmed,1,-62.8291,-62.8291,public-disclosure-v4,official_annual_direct_consistent
00346.HK,YANCHANG PETRO,2025,Q_G_AR_TURNOVER,auto_confirmed,1,22.1717,22.1717,public-disclosure-v4,official_annual_direct_consistent
00346.HK,YANCHANG PETRO,2025,Q_G_ASSET_TURNOVER,auto_confirmed,1,6.2282,6.2282,public-disclosure-v4,official_annual_direct_consistent
00346.HK,YANCHANG PETRO,2025,Q_G_CAPITAL_ACCUMULATION,auto_confirmed,1,-55.2971,-55.2971,public-disclosure-v4,official_annual_direct_consistent
00346.HK,YANCHANG PETRO,2025,Q_G_DEBT_ASSET_RATE,auto_confirmed,1,78.9713,78.9713,public-disclosure-v4,official_annual_direct_consistent
00346.HK,YANCHANG PETRO,2025,Q_G_REVENUE_GROWTH,auto_confirmed,1,-40.6319,-40.6319,public-disclosure-v4,official_annual_direct_consistent
00353.HK,ENERGY INTINV,2024,Q_G_CAPITAL_ACCUMULATION,auto_confirmed,1,32.9297,32.9297,public-disclosure-v4,official_annual_direct_consistent
